K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.920070, test acc: 0.800000, test avg acc: 0.794444
Train 44, loss: 0.967403, train acc: 0.793333, train avg acc: 0.787509
Test 44, loss: 0.941889, test acc: 0.775000, test avg acc: 0.763889
Train 45, loss: 0.973627, train acc: 0.780000, train avg acc: 0.782895
Test 45, loss: 0.918858, test acc: 0.800000, test avg acc: 0.786111
Train 46, loss: 0.970744, train acc: 0.786667, train avg acc: 0.796223
Test 46, loss: 0.908168, test acc: 0.825000, test avg acc: 0.813889
Train 47, loss: 0.939514, train acc: 0.853333, train avg acc: 0.854699
Test 47, loss: 0.917643, test acc: 0.800000, test avg acc: 0.797222
Train 48, loss: 0.952805, train acc: 0.786667, train avg acc: 0.789852
Test 48, loss: 0.912241, test acc: 0.800000, test avg acc: 0.786111
Train 49, loss: 0.954468, train acc: 0.806667, train avg acc: 0.810532
Test 49, loss: 0.916155, test acc: 0.775000, test avg acc: 0.758333
Train 50, loss: 0.992212, train acc: 0.766667, train avg acc: 0.776279
Test 50, loss: 0.937398, test acc: 0.825000, test avg acc: 0.825000
Train 51, loss: 0.955039, train acc: 0.786667, train avg acc: 0.786368
Test 51, loss: 0.914625, test acc: 0.775000, test avg acc: 0.766667
Train 52, loss: 0.976799, train acc: 0.800000, train avg acc: 0.798049
Test 52, loss: 0.911519, test acc: 0.800000, test avg acc: 0.783333
Train 53, loss: 0.956059, train acc: 0.780000, train avg acc: 0.784315
Test 53, loss: 0.929067, test acc: 0.775000, test avg acc: 0.758333
Train 54, loss: 0.950130, train acc: 0.786667, train avg acc: 0.786620
Test 54, loss: 0.908465, test acc: 0.800000, test avg acc: 0.783333
Train 55, loss: 0.929090, train acc: 0.833333, train avg acc: 0.837213
Test 55, loss: 0.912822, test acc: 0.825000, test avg acc: 0.816667
Train 56, loss: 0.950923, train acc: 0.840000, train avg acc: 0.845620
Test 56, loss: 0.913751, test acc: 0.825000, test avg acc: 0.816667
Train 57, loss: 0.911428, train acc: 0.820000, train avg acc: 0.826360
Test 57, loss: 0.916553, test acc: 0.800000, test avg acc: 0.788889
Train 58, loss: 0.966669, train acc: 0.800000, train avg acc: 0.804899
Test 58, loss: 0.921758, test acc: 0.800000, test avg acc: 0.786111
Train 59, loss: 0.968918, train acc: 0.806667, train avg acc: 0.810354
Test 59, loss: 0.916347, test acc: 0.775000, test avg acc: 0.758333
Train 60, loss: 0.948784, train acc: 0.786667, train avg acc: 0.794737
Test 60, loss: 0.933207, test acc: 0.775000, test avg acc: 0.766667
Train 61, loss: 0.938476, train acc: 0.800000, train avg acc: 0.802632
Test 61, loss: 0.925168, test acc: 0.800000, test avg acc: 0.791667
Train 62, loss: 0.954014, train acc: 0.793333, train avg acc: 0.793385
Test 62, loss: 0.917699, test acc: 0.825000, test avg acc: 0.811111
Train 63, loss: 0.931077, train acc: 0.846667, train avg acc: 0.845839
Test 63, loss: 0.910445, test acc: 0.825000, test avg acc: 0.816667
Train 64, loss: 0.936684, train acc: 0.820000, train avg acc: 0.819346
Test 64, loss: 0.917469, test acc: 0.850000, test avg acc: 0.841667
Train 65, loss: 0.919880, train acc: 0.780000, train avg acc: 0.774155
Test 65, loss: 0.915910, test acc: 0.800000, test avg acc: 0.786111
Train 66, loss: 0.942676, train acc: 0.806667, train avg acc: 0.809910
Test 66, loss: 0.918908, test acc: 0.800000, test avg acc: 0.788889
Train 67, loss: 0.941451, train acc: 0.840000, train avg acc: 0.843731
Test 67, loss: 0.914672, test acc: 0.775000, test avg acc: 0.761111
Train 68, loss: 0.932150, train acc: 0.806667, train avg acc: 0.806721
Test 68, loss: 0.919288, test acc: 0.800000, test avg acc: 0.783333
Train 69, loss: 0.904659, train acc: 0.846667, train avg acc: 0.847440
Test 69, loss: 0.911842, test acc: 0.875000, test avg acc: 0.863889
Train 70, loss: 0.946641, train acc: 0.786667, train avg acc: 0.790367
Test 70, loss: 0.912339, test acc: 0.825000, test avg acc: 0.813889
Train 71, loss: 0.917387, train acc: 0.820000, train avg acc: 0.820057
Test 71, loss: 0.919272, test acc: 0.825000, test avg acc: 0.813889
Train 72, loss: 0.930499, train acc: 0.826667, train avg acc: 0.826270
Test 72, loss: 0.921608, test acc: 0.825000, test avg acc: 0.816667
Train 73, loss: 0.917939, train acc: 0.813333, train avg acc: 0.810811
Test 73, loss: 0.916006, test acc: 0.800000, test avg acc: 0.786111
Train 74, loss: 0.920526, train acc: 0.853333, train avg acc: 0.855263
Test 74, loss: 0.911454, test acc: 0.775000, test avg acc: 0.761111
Train 75, loss: 0.930946, train acc: 0.840000, train avg acc: 0.840683
Test 75, loss: 0.913651, test acc: 0.825000, test avg acc: 0.813889
Train 76, loss: 0.938058, train acc: 0.786667, train avg acc: 0.792173
Test 76, loss: 0.925756, test acc: 0.775000, test avg acc: 0.761111
Train 77, loss: 0.927205, train acc: 0.800000, train avg acc: 0.802454
Test 77, loss: 0.914288, test acc: 0.725000, test avg acc: 0.708333
Train 78, loss: 0.949644, train acc: 0.773333, train avg acc: 0.784429
Test 78, loss: 0.922212, test acc: 0.775000, test avg acc: 0.763889
Train 79, loss: 0.934607, train acc: 0.826667, train avg acc: 0.826795
Test 79, loss: 0.939754, test acc: 0.800000, test avg acc: 0.788889
Train 80, loss: 0.941560, train acc: 0.786667, train avg acc: 0.790021
Test 80, loss: 0.924639, test acc: 0.775000, test avg acc: 0.761111
Train 81, loss: 0.920917, train acc: 0.833333, train avg acc: 0.837185
Test 81, loss: 0.924100, test acc: 0.775000, test avg acc: 0.761111
Train 82, loss: 0.949933, train acc: 0.800000, train avg acc: 0.804899
Test 82, loss: 0.925661, test acc: 0.750000, test avg acc: 0.738889
Train 83, loss: 0.909178, train acc: 0.866667, train avg acc: 0.870951
Test 83, loss: 0.942460, test acc: 0.800000, test avg acc: 0.788889
Train 84, loss: 0.916659, train acc: 0.846667, train avg acc: 0.848406
Test 84, loss: 0.931373, test acc: 0.750000, test avg acc: 0.730556
Train 85, loss: 0.925774, train acc: 0.800000, train avg acc: 0.801109
Test 85, loss: 0.925178, test acc: 0.825000, test avg acc: 0.811111
Train 86, loss: 0.939043, train acc: 0.833333, train avg acc: 0.830775
Test 86, loss: 0.930996, test acc: 0.775000, test avg acc: 0.766667
Train 87, loss: 0.939133, train acc: 0.813333, train avg acc: 0.821635
Test 87, loss: 0.938735, test acc: 0.775000, test avg acc: 0.766667
Train 88, loss: 0.926022, train acc: 0.806667, train avg acc: 0.808647
Test 88, loss: 0.922852, test acc: 0.825000, test avg acc: 0.813889
Train 89, loss: 0.918388, train acc: 0.813333, train avg acc: 0.813834
Test 89, loss: 0.918448, test acc: 0.800000, test avg acc: 0.788889
Train 90, loss: 0.937266, train acc: 0.813333, train avg acc: 0.820066
Test 90, loss: 0.934628, test acc: 0.775000, test avg acc: 0.766667
Train 91, loss: 0.917180, train acc: 0.820000, train avg acc: 0.824393
Test 91, loss: 0.926183, test acc: 0.800000, test avg acc: 0.788889
Train 92, loss: 0.929755, train acc: 0.813333, train avg acc: 0.811038
Test 92, loss: 0.922966, test acc: 0.775000, test avg acc: 0.763889
Train 93, loss: 0.919109, train acc: 0.820000, train avg acc: 0.828274
Test 93, loss: 0.929913, test acc: 0.775000, test avg acc: 0.763889
Train 94, loss: 0.917911, train acc: 0.846667, train avg acc: 0.847222
Test 94, loss: 0.925668, test acc: 0.800000, test avg acc: 0.786111
Train 95, loss: 0.901078, train acc: 0.866667, train avg acc: 0.866821
Test 95, loss: 0.924415, test acc: 0.800000, test avg acc: 0.786111
Train 96, loss: 0.918312, train acc: 0.833333, train avg acc: 0.838057
Test 96, loss: 0.932023, test acc: 0.750000, test avg acc: 0.736111
