K: 15, local_K: 15, Batch: 26.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.925000, test acc: 0.825000, test avg acc: 0.811111
Train 44, loss: 0.955357, train acc: 0.801282, train avg acc: 0.804405
Test 44, loss: 0.907677, test acc: 0.825000, test avg acc: 0.813889
Train 45, loss: 0.983874, train acc: 0.762821, train avg acc: 0.763462
Test 45, loss: 0.901480, test acc: 0.850000, test avg acc: 0.836111
Train 46, loss: 0.952367, train acc: 0.826923, train avg acc: 0.831250
Test 46, loss: 0.912426, test acc: 0.875000, test avg acc: 0.863889
Train 47, loss: 0.942847, train acc: 0.788462, train avg acc: 0.788158
Test 47, loss: 0.921540, test acc: 0.825000, test avg acc: 0.822222
Train 48, loss: 0.961957, train acc: 0.833333, train avg acc: 0.836426
Test 48, loss: 0.910272, test acc: 0.850000, test avg acc: 0.841667
Train 49, loss: 0.956980, train acc: 0.750000, train avg acc: 0.752075
Test 49, loss: 0.922581, test acc: 0.850000, test avg acc: 0.838889
Train 50, loss: 0.972364, train acc: 0.801282, train avg acc: 0.806090
Test 50, loss: 0.931126, test acc: 0.825000, test avg acc: 0.816667
Train 51, loss: 0.940260, train acc: 0.782051, train avg acc: 0.782051
Test 51, loss: 0.924035, test acc: 0.825000, test avg acc: 0.816667
Train 52, loss: 0.964407, train acc: 0.807692, train avg acc: 0.811166
Test 52, loss: 0.920266, test acc: 0.825000, test avg acc: 0.811111
Train 53, loss: 0.989091, train acc: 0.788462, train avg acc: 0.792378
Test 53, loss: 0.927817, test acc: 0.850000, test avg acc: 0.841667
Train 54, loss: 0.961547, train acc: 0.807692, train avg acc: 0.810737
Test 54, loss: 0.908956, test acc: 0.850000, test avg acc: 0.841667
Train 55, loss: 0.934595, train acc: 0.807692, train avg acc: 0.810417
Test 55, loss: 0.912878, test acc: 0.825000, test avg acc: 0.816667
Train 56, loss: 0.966057, train acc: 0.782051, train avg acc: 0.786512
Test 56, loss: 0.900401, test acc: 0.850000, test avg acc: 0.838889
Train 57, loss: 0.960361, train acc: 0.775641, train avg acc: 0.779006
Test 57, loss: 0.904237, test acc: 0.850000, test avg acc: 0.838889
Train 58, loss: 0.936997, train acc: 0.820513, train avg acc: 0.822267
Test 58, loss: 0.911935, test acc: 0.875000, test avg acc: 0.866667
Train 59, loss: 0.959487, train acc: 0.814103, train avg acc: 0.817763
Test 59, loss: 0.902334, test acc: 0.825000, test avg acc: 0.811111
Train 60, loss: 0.949276, train acc: 0.833333, train avg acc: 0.835096
Test 60, loss: 0.914288, test acc: 0.850000, test avg acc: 0.847222
Train 61, loss: 0.956283, train acc: 0.839744, train avg acc: 0.841506
Test 61, loss: 0.906168, test acc: 0.850000, test avg acc: 0.844444
Train 62, loss: 0.962855, train acc: 0.788462, train avg acc: 0.791346
Test 62, loss: 0.914493, test acc: 0.850000, test avg acc: 0.841667
Train 63, loss: 0.945832, train acc: 0.794872, train avg acc: 0.800813
Test 63, loss: 0.907009, test acc: 0.875000, test avg acc: 0.869444
Train 64, loss: 0.945256, train acc: 0.833333, train avg acc: 0.833333
Test 64, loss: 0.916190, test acc: 0.825000, test avg acc: 0.816667
Train 65, loss: 0.924997, train acc: 0.820513, train avg acc: 0.817637
Test 65, loss: 0.913928, test acc: 0.825000, test avg acc: 0.816667
Train 66, loss: 0.952725, train acc: 0.839744, train avg acc: 0.840822
Test 66, loss: 0.913837, test acc: 0.825000, test avg acc: 0.819444
Train 67, loss: 0.942316, train acc: 0.820513, train avg acc: 0.822529
Test 67, loss: 0.906719, test acc: 0.850000, test avg acc: 0.841667
Train 68, loss: 0.931050, train acc: 0.839744, train avg acc: 0.844594
Test 68, loss: 0.906736, test acc: 0.850000, test avg acc: 0.838889
Train 69, loss: 0.942135, train acc: 0.807692, train avg acc: 0.810248
Test 69, loss: 0.907356, test acc: 0.850000, test avg acc: 0.838889
Train 70, loss: 0.917500, train acc: 0.846154, train avg acc: 0.845724
Test 70, loss: 0.913714, test acc: 0.825000, test avg acc: 0.816667
Train 71, loss: 0.950294, train acc: 0.775641, train avg acc: 0.777919
Test 71, loss: 0.914168, test acc: 0.850000, test avg acc: 0.838889
Train 72, loss: 0.975628, train acc: 0.769231, train avg acc: 0.769087
Test 72, loss: 0.910519, test acc: 0.825000, test avg acc: 0.813889
Train 73, loss: 0.931394, train acc: 0.871795, train avg acc: 0.875000
Test 73, loss: 0.909586, test acc: 0.850000, test avg acc: 0.838889
Train 74, loss: 0.942809, train acc: 0.839744, train avg acc: 0.838158
Test 74, loss: 0.913573, test acc: 0.825000, test avg acc: 0.813889
Train 75, loss: 0.943194, train acc: 0.801282, train avg acc: 0.804327
Test 75, loss: 0.910143, test acc: 0.800000, test avg acc: 0.788889
Train 76, loss: 0.937039, train acc: 0.858974, train avg acc: 0.860889
Test 76, loss: 0.907694, test acc: 0.825000, test avg acc: 0.813889
Train 77, loss: 0.939257, train acc: 0.807692, train avg acc: 0.812839
Test 77, loss: 0.916223, test acc: 0.900000, test avg acc: 0.894444
Train 78, loss: 0.940304, train acc: 0.801282, train avg acc: 0.806250
Test 78, loss: 0.916310, test acc: 0.850000, test avg acc: 0.844444
Train 79, loss: 0.931483, train acc: 0.794872, train avg acc: 0.794872
Test 79, loss: 0.908653, test acc: 0.875000, test avg acc: 0.866667
Train 80, loss: 0.945021, train acc: 0.833333, train avg acc: 0.834219
Test 80, loss: 0.907413, test acc: 0.900000, test avg acc: 0.894444
Train 81, loss: 0.939673, train acc: 0.826923, train avg acc: 0.825987
Test 81, loss: 0.905236, test acc: 0.900000, test avg acc: 0.894444
Train 82, loss: 0.930398, train acc: 0.839744, train avg acc: 0.842266
Test 82, loss: 0.916817, test acc: 0.825000, test avg acc: 0.819444
Train 83, loss: 0.934730, train acc: 0.814103, train avg acc: 0.816346
Test 83, loss: 0.917038, test acc: 0.875000, test avg acc: 0.872222
Train 84, loss: 0.938548, train acc: 0.826923, train avg acc: 0.827083
Test 84, loss: 0.904964, test acc: 0.850000, test avg acc: 0.841667
Train 85, loss: 0.930300, train acc: 0.814103, train avg acc: 0.820669
Test 85, loss: 0.908580, test acc: 0.825000, test avg acc: 0.816667
Train 86, loss: 0.937606, train acc: 0.820513, train avg acc: 0.819745
