K: 25, local_K: 25, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.960637, test acc: 0.750000, test avg acc: 0.750000
Train 44, loss: 1.010736, train acc: 0.731250, train avg acc: 0.732294
Test 44, loss: 0.914940, test acc: 0.800000, test avg acc: 0.780556
Train 45, loss: 1.008730, train acc: 0.750000, train avg acc: 0.752423
Test 45, loss: 0.922361, test acc: 0.850000, test avg acc: 0.844444
Train 46, loss: 0.972663, train acc: 0.800000, train avg acc: 0.803193
Test 46, loss: 0.942417, test acc: 0.775000, test avg acc: 0.769444
Train 47, loss: 0.968004, train acc: 0.825000, train avg acc: 0.826829
Test 47, loss: 0.924642, test acc: 0.800000, test avg acc: 0.780556
Train 48, loss: 1.014830, train acc: 0.775000, train avg acc: 0.777896
Test 48, loss: 0.921957, test acc: 0.775000, test avg acc: 0.763889
Train 49, loss: 1.016304, train acc: 0.737500, train avg acc: 0.740357
Test 49, loss: 0.942477, test acc: 0.800000, test avg acc: 0.794444
Train 50, loss: 0.966123, train acc: 0.750000, train avg acc: 0.751974
Test 50, loss: 0.927921, test acc: 0.825000, test avg acc: 0.808333
Train 51, loss: 0.980095, train acc: 0.806250, train avg acc: 0.809146
Test 51, loss: 0.971353, test acc: 0.775000, test avg acc: 0.772222
Train 52, loss: 0.990735, train acc: 0.775000, train avg acc: 0.778201
Test 52, loss: 0.927067, test acc: 0.800000, test avg acc: 0.788889
Train 53, loss: 0.983253, train acc: 0.800000, train avg acc: 0.801821
Test 53, loss: 0.930116, test acc: 0.800000, test avg acc: 0.780556
Train 54, loss: 0.986209, train acc: 0.787500, train avg acc: 0.789931
Test 54, loss: 0.920586, test acc: 0.825000, test avg acc: 0.816667
Train 55, loss: 1.012492, train acc: 0.743750, train avg acc: 0.747096
Test 55, loss: 0.929532, test acc: 0.825000, test avg acc: 0.813889
Train 56, loss: 0.937372, train acc: 0.831250, train avg acc: 0.833079
Test 56, loss: 0.917600, test acc: 0.800000, test avg acc: 0.786111
Train 57, loss: 0.995785, train acc: 0.793750, train avg acc: 0.797401
Test 57, loss: 0.933257, test acc: 0.750000, test avg acc: 0.744444
Train 58, loss: 0.996159, train acc: 0.756250, train avg acc: 0.757919
Test 58, loss: 0.921024, test acc: 0.800000, test avg acc: 0.783333
Train 59, loss: 1.007233, train acc: 0.750000, train avg acc: 0.752439
Test 59, loss: 0.918919, test acc: 0.800000, test avg acc: 0.788889
Train 60, loss: 0.965420, train acc: 0.843750, train avg acc: 0.846341
Test 60, loss: 0.910201, test acc: 0.825000, test avg acc: 0.816667
Train 61, loss: 0.976456, train acc: 0.812500, train avg acc: 0.814482
Test 61, loss: 0.914192, test acc: 0.850000, test avg acc: 0.836111
Train 62, loss: 0.978607, train acc: 0.812500, train avg acc: 0.815244
Test 62, loss: 0.919350, test acc: 0.800000, test avg acc: 0.791667
Train 63, loss: 0.954821, train acc: 0.812500, train avg acc: 0.814177
Test 63, loss: 0.909783, test acc: 0.775000, test avg acc: 0.761111
Train 64, loss: 0.956674, train acc: 0.800000, train avg acc: 0.803049
Test 64, loss: 0.922468, test acc: 0.775000, test avg acc: 0.772222
Train 65, loss: 0.966327, train acc: 0.768750, train avg acc: 0.771189
Test 65, loss: 0.907885, test acc: 0.800000, test avg acc: 0.780556
Train 66, loss: 0.985738, train acc: 0.806250, train avg acc: 0.809291
Test 66, loss: 0.928656, test acc: 0.750000, test avg acc: 0.747222
