K: 5, local_K: 5, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.953479, test acc: 0.800000, test avg acc: 0.791667
Train 44, loss: 1.001460, train acc: 0.733333, train avg acc: 0.737050
Test 44, loss: 0.934151, test acc: 0.825000, test avg acc: 0.813889
Train 45, loss: 0.956371, train acc: 0.813333, train avg acc: 0.824936
Test 45, loss: 0.943416, test acc: 0.775000, test avg acc: 0.763889
Train 46, loss: 0.983822, train acc: 0.786667, train avg acc: 0.795322
Test 46, loss: 0.937115, test acc: 0.825000, test avg acc: 0.819444
Train 47, loss: 0.961930, train acc: 0.760000, train avg acc: 0.757103
Test 47, loss: 0.927243, test acc: 0.825000, test avg acc: 0.819444
Train 48, loss: 0.964005, train acc: 0.766667, train avg acc: 0.776739
Test 48, loss: 0.933935, test acc: 0.800000, test avg acc: 0.791667
Train 49, loss: 0.957875, train acc: 0.833333, train avg acc: 0.833570
Test 49, loss: 0.954737, test acc: 0.775000, test avg acc: 0.766667
Train 50, loss: 0.985769, train acc: 0.786667, train avg acc: 0.792341
Test 50, loss: 0.940748, test acc: 0.800000, test avg acc: 0.791667
Train 51, loss: 0.973426, train acc: 0.793333, train avg acc: 0.802196
Test 51, loss: 0.936673, test acc: 0.750000, test avg acc: 0.730556
Train 52, loss: 0.938868, train acc: 0.846667, train avg acc: 0.843805
Test 52, loss: 0.956631, test acc: 0.800000, test avg acc: 0.791667
Train 53, loss: 0.952398, train acc: 0.800000, train avg acc: 0.810417
Test 53, loss: 0.948940, test acc: 0.800000, test avg acc: 0.788889
Train 54, loss: 0.970109, train acc: 0.786667, train avg acc: 0.784357
Test 54, loss: 0.939573, test acc: 0.775000, test avg acc: 0.761111
Train 55, loss: 0.986869, train acc: 0.780000, train avg acc: 0.788371
Test 55, loss: 0.933046, test acc: 0.800000, test avg acc: 0.786111
Train 56, loss: 0.982519, train acc: 0.793333, train avg acc: 0.797880
Test 56, loss: 0.932930, test acc: 0.800000, test avg acc: 0.786111
Train 57, loss: 0.933735, train acc: 0.866667, train avg acc: 0.864865
Test 57, loss: 0.939521, test acc: 0.800000, test avg acc: 0.788889
Train 58, loss: 0.968099, train acc: 0.820000, train avg acc: 0.827632
Test 58, loss: 0.927577, test acc: 0.800000, test avg acc: 0.786111
Train 59, loss: 0.967325, train acc: 0.733333, train avg acc: 0.736838
Test 59, loss: 0.934500, test acc: 0.825000, test avg acc: 0.822222
Train 60, loss: 0.948644, train acc: 0.800000, train avg acc: 0.808516
Test 60, loss: 0.930344, test acc: 0.825000, test avg acc: 0.819444
Train 61, loss: 0.956999, train acc: 0.773333, train avg acc: 0.772937
Test 61, loss: 0.926514, test acc: 0.825000, test avg acc: 0.813889
Train 62, loss: 0.942983, train acc: 0.793333, train avg acc: 0.795875
Test 62, loss: 0.924823, test acc: 0.825000, test avg acc: 0.816667
Train 63, loss: 0.949744, train acc: 0.793333, train avg acc: 0.798164
Test 63, loss: 0.931246, test acc: 0.800000, test avg acc: 0.791667
Train 64, loss: 0.954775, train acc: 0.786667, train avg acc: 0.793546
Test 64, loss: 0.929323, test acc: 0.825000, test avg acc: 0.816667
Train 65, loss: 0.948648, train acc: 0.800000, train avg acc: 0.802148
Test 65, loss: 0.916535, test acc: 0.850000, test avg acc: 0.841667
Train 66, loss: 0.958673, train acc: 0.766667, train avg acc: 0.766676
Test 66, loss: 0.924718, test acc: 0.800000, test avg acc: 0.788889
Train 67, loss: 0.953656, train acc: 0.773333, train avg acc: 0.773115
Test 67, loss: 0.933014, test acc: 0.775000, test avg acc: 0.763889
Train 68, loss: 0.972600, train acc: 0.753333, train avg acc: 0.761664
Test 68, loss: 0.938762, test acc: 0.825000, test avg acc: 0.813889
Train 69, loss: 0.929662, train acc: 0.860000, train avg acc: 0.854876
Test 69, loss: 0.950467, test acc: 0.775000, test avg acc: 0.763889
Train 70, loss: 0.934842, train acc: 0.826667, train avg acc: 0.824671
Test 70, loss: 0.943677, test acc: 0.800000, test avg acc: 0.788889
Train 71, loss: 0.934148, train acc: 0.826667, train avg acc: 0.828314
Test 71, loss: 0.938209, test acc: 0.800000, test avg acc: 0.788889
Train 72, loss: 0.970881, train acc: 0.806667, train avg acc: 0.805021
Test 72, loss: 0.942293, test acc: 0.825000, test avg acc: 0.816667
Train 73, loss: 0.965588, train acc: 0.786667, train avg acc: 0.784160
Test 73, loss: 0.928422, test acc: 0.850000, test avg acc: 0.844444
Train 74, loss: 0.952866, train acc: 0.806667, train avg acc: 0.809211
Test 74, loss: 0.938606, test acc: 0.800000, test avg acc: 0.797222
Train 75, loss: 0.958849, train acc: 0.806667, train avg acc: 0.802918
Test 75, loss: 0.924560, test acc: 0.825000, test avg acc: 0.816667
Train 76, loss: 0.951777, train acc: 0.766667, train avg acc: 0.766536
Test 76, loss: 0.926373, test acc: 0.825000, test avg acc: 0.813889
Train 77, loss: 0.931636, train acc: 0.860000, train avg acc: 0.862454
Test 77, loss: 0.925458, test acc: 0.850000, test avg acc: 0.841667
Train 78, loss: 0.918536, train acc: 0.853333, train avg acc: 0.856895
Test 78, loss: 0.930493, test acc: 0.825000, test avg acc: 0.822222
Train 79, loss: 0.938974, train acc: 0.820000, train avg acc: 0.824055
Test 79, loss: 0.932869, test acc: 0.875000, test avg acc: 0.872222
Train 80, loss: 0.938340, train acc: 0.820000, train avg acc: 0.822718
Test 80, loss: 0.926946, test acc: 0.850000, test avg acc: 0.841667
Train 81, loss: 0.910873, train acc: 0.866667, train avg acc: 0.867176
Test 81, loss: 0.938543, test acc: 0.850000, test avg acc: 0.841667
Train 82, loss: 0.959678, train acc: 0.786667, train avg acc: 0.789474
Test 82, loss: 0.929108, test acc: 0.825000, test avg acc: 0.813889
Train 83, loss: 0.940870, train acc: 0.806667, train avg acc: 0.811066
Test 83, loss: 0.933759, test acc: 0.775000, test avg acc: 0.766667
Train 84, loss: 0.928494, train acc: 0.826667, train avg acc: 0.825925
Test 84, loss: 0.924809, test acc: 0.775000, test avg acc: 0.763889
Train 85, loss: 0.947105, train acc: 0.780000, train avg acc: 0.787729
Test 85, loss: 0.924334, test acc: 0.800000, test avg acc: 0.786111
Train 86, loss: 0.945274, train acc: 0.806667, train avg acc: 0.806694
Test 86, loss: 0.919388, test acc: 0.775000, test avg acc: 0.758333
Train 87, loss: 0.952635, train acc: 0.806667, train avg acc: 0.806010
Test 87, loss: 0.925332, test acc: 0.800000, test avg acc: 0.788889
Train 88, loss: 0.912568, train acc: 0.826667, train avg acc: 0.825000
Test 88, loss: 0.933429, test acc: 0.750000, test avg acc: 0.741667
Train 89, loss: 0.941419, train acc: 0.786667, train avg acc: 0.799013
Test 89, loss: 0.936326, test acc: 0.800000, test avg acc: 0.797222
Train 90, loss: 0.936404, train acc: 0.800000, train avg acc: 0.802632
Test 90, loss: 0.922416, test acc: 0.825000, test avg acc: 0.813889
Train 91, loss: 0.935077, train acc: 0.793333, train avg acc: 0.789474
Test 91, loss: 0.925914, test acc: 0.800000, test avg acc: 0.786111
Train 92, loss: 0.952810, train acc: 0.826667, train avg acc: 0.829700
Test 92, loss: 0.920569, test acc: 0.850000, test avg acc: 0.844444
Train 93, loss: 0.931625, train acc: 0.806667, train avg acc: 0.811404
Test 93, loss: 0.918181, test acc: 0.850000, test avg acc: 0.844444
Train 94, loss: 0.940928, train acc: 0.793333, train avg acc: 0.791301
