K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Test 43, loss: 0.943780, test acc: 0.850000, test avg acc: 0.844444
Train 44, loss: 1.031582, train acc: 0.753333, train avg acc: 0.747156
Test 44, loss: 0.924319, test acc: 0.800000, test avg acc: 0.791667
Train 45, loss: 1.017872, train acc: 0.773333, train avg acc: 0.776316
Test 45, loss: 0.904327, test acc: 0.850000, test avg acc: 0.836111
Train 46, loss: 1.049297, train acc: 0.706667, train avg acc: 0.715575
Test 46, loss: 0.912912, test acc: 0.825000, test avg acc: 0.808333
Train 47, loss: 0.965281, train acc: 0.800000, train avg acc: 0.802800
Test 47, loss: 0.919343, test acc: 0.825000, test avg acc: 0.816667
Train 48, loss: 0.971774, train acc: 0.786667, train avg acc: 0.790367
Test 48, loss: 0.953749, test acc: 0.750000, test avg acc: 0.736111
Train 49, loss: 0.988523, train acc: 0.753333, train avg acc: 0.758566
Test 49, loss: 0.924349, test acc: 0.800000, test avg acc: 0.783333
Train 50, loss: 1.045378, train acc: 0.773333, train avg acc: 0.781140
Test 50, loss: 0.908957, test acc: 0.825000, test avg acc: 0.816667
Train 51, loss: 0.992426, train acc: 0.766667, train avg acc: 0.766415
Test 51, loss: 0.938677, test acc: 0.775000, test avg acc: 0.761111
Train 52, loss: 0.955130, train acc: 0.826667, train avg acc: 0.825461
Test 52, loss: 0.947508, test acc: 0.825000, test avg acc: 0.811111
Train 53, loss: 0.998406, train acc: 0.793333, train avg acc: 0.799107
Test 53, loss: 0.931946, test acc: 0.775000, test avg acc: 0.761111
Train 54, loss: 1.017789, train acc: 0.773333, train avg acc: 0.773097
Test 54, loss: 0.896883, test acc: 0.825000, test avg acc: 0.816667
Train 55, loss: 0.954314, train acc: 0.840000, train avg acc: 0.844130
Test 55, loss: 0.899784, test acc: 0.825000, test avg acc: 0.816667
Train 56, loss: 1.007050, train acc: 0.760000, train avg acc: 0.767094
Test 56, loss: 0.898102, test acc: 0.850000, test avg acc: 0.841667
Train 57, loss: 0.983978, train acc: 0.780000, train avg acc: 0.786326
Test 57, loss: 0.903919, test acc: 0.825000, test avg acc: 0.813889
Train 58, loss: 1.043054, train acc: 0.793333, train avg acc: 0.796565
Test 58, loss: 0.950160, test acc: 0.825000, test avg acc: 0.811111
