K: 25, local_K: 25, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.910545, test acc: 0.850000, test avg acc: 0.838889
Train 44, loss: 0.993185, train acc: 0.750000, train avg acc: 0.751669
Test 44, loss: 0.905636, test acc: 0.850000, test avg acc: 0.838889
Train 45, loss: 1.030741, train acc: 0.750000, train avg acc: 0.753033
Test 45, loss: 0.929638, test acc: 0.850000, test avg acc: 0.841667
Train 46, loss: 1.008923, train acc: 0.800000, train avg acc: 0.802431
Test 46, loss: 0.935392, test acc: 0.825000, test avg acc: 0.819444
Train 47, loss: 0.994826, train acc: 0.768750, train avg acc: 0.770876
Test 47, loss: 0.912352, test acc: 0.825000, test avg acc: 0.808333
Train 48, loss: 0.996112, train acc: 0.768750, train avg acc: 0.771341
Test 48, loss: 0.910087, test acc: 0.800000, test avg acc: 0.791667
Train 49, loss: 0.983590, train acc: 0.762500, train avg acc: 0.764443
Test 49, loss: 0.925968, test acc: 0.825000, test avg acc: 0.811111
Train 50, loss: 1.011126, train acc: 0.768750, train avg acc: 0.769809
Test 50, loss: 0.918560, test acc: 0.825000, test avg acc: 0.811111
Train 51, loss: 1.047585, train acc: 0.731250, train avg acc: 0.734299
Test 51, loss: 0.932712, test acc: 0.825000, test avg acc: 0.816667
Train 52, loss: 1.018228, train acc: 0.743750, train avg acc: 0.746013
Test 52, loss: 0.953108, test acc: 0.775000, test avg acc: 0.772222
Train 53, loss: 0.965112, train acc: 0.806250, train avg acc: 0.808689
Test 53, loss: 0.909702, test acc: 0.825000, test avg acc: 0.811111
Train 54, loss: 0.957240, train acc: 0.837500, train avg acc: 0.839329
Test 54, loss: 0.923567, test acc: 0.850000, test avg acc: 0.838889
Train 55, loss: 1.021520, train acc: 0.787500, train avg acc: 0.790068
Test 55, loss: 0.950440, test acc: 0.800000, test avg acc: 0.797222
Train 56, loss: 1.003054, train acc: 0.756250, train avg acc: 0.759139
Test 56, loss: 0.938546, test acc: 0.800000, test avg acc: 0.800000
Train 57, loss: 0.957597, train acc: 0.818750, train avg acc: 0.821037
Test 57, loss: 0.920846, test acc: 0.825000, test avg acc: 0.808333
Train 58, loss: 0.972630, train acc: 0.775000, train avg acc: 0.776509
Test 58, loss: 0.917064, test acc: 0.825000, test avg acc: 0.816667
Train 59, loss: 0.979933, train acc: 0.806250, train avg acc: 0.808681
Test 59, loss: 0.932355, test acc: 0.800000, test avg acc: 0.797222
Train 60, loss: 0.975889, train acc: 0.793750, train avg acc: 0.795267
Test 60, loss: 0.925548, test acc: 0.800000, test avg acc: 0.786111
Train 61, loss: 0.995746, train acc: 0.768750, train avg acc: 0.771166
Test 61, loss: 0.923476, test acc: 0.800000, test avg acc: 0.788889
Train 62, loss: 0.962295, train acc: 0.793750, train avg acc: 0.795732
Test 62, loss: 0.921588, test acc: 0.800000, test avg acc: 0.780556
Train 63, loss: 1.013597, train acc: 0.775000, train avg acc: 0.778041
Test 63, loss: 0.918435, test acc: 0.775000, test avg acc: 0.769444
Train 64, loss: 0.984292, train acc: 0.768750, train avg acc: 0.770724
Test 64, loss: 0.900374, test acc: 0.875000, test avg acc: 0.863889
Train 65, loss: 1.004258, train acc: 0.725000, train avg acc: 0.728803
Test 65, loss: 0.916387, test acc: 0.850000, test avg acc: 0.841667
Train 66, loss: 0.985083, train acc: 0.800000, train avg acc: 0.802279
Test 66, loss: 0.916879, test acc: 0.825000, test avg acc: 0.816667
Train 67, loss: 0.948724, train acc: 0.843750, train avg acc: 0.845884
Test 67, loss: 0.927205, test acc: 0.750000, test avg acc: 0.741667
Train 68, loss: 0.982166, train acc: 0.768750, train avg acc: 0.771486
Test 68, loss: 0.914106, test acc: 0.825000, test avg acc: 0.813889
Train 69, loss: 0.987134, train acc: 0.768750, train avg acc: 0.771486
Test 69, loss: 0.924631, test acc: 0.800000, test avg acc: 0.794444
Train 70, loss: 0.960702, train acc: 0.812500, train avg acc: 0.813872
Test 70, loss: 0.912725, test acc: 0.825000, test avg acc: 0.813889
Train 71, loss: 0.952544, train acc: 0.812500, train avg acc: 0.815854
Test 71, loss: 0.917234, test acc: 0.850000, test avg acc: 0.844444
Train 72, loss: 0.974305, train acc: 0.806250, train avg acc: 0.807774
Test 72, loss: 0.911714, test acc: 0.825000, test avg acc: 0.811111
Train 73, loss: 0.972264, train acc: 0.787500, train avg acc: 0.790396
Test 73, loss: 0.908281, test acc: 0.825000, test avg acc: 0.813889
Train 74, loss: 0.972893, train acc: 0.800000, train avg acc: 0.801524
Test 74, loss: 0.914891, test acc: 0.800000, test avg acc: 0.794444
Train 75, loss: 0.941702, train acc: 0.818750, train avg acc: 0.820724
Test 75, loss: 0.912093, test acc: 0.825000, test avg acc: 0.816667
Train 76, loss: 0.966911, train acc: 0.787500, train avg acc: 0.790091
Test 76, loss: 0.917788, test acc: 0.825000, test avg acc: 0.819444
Train 77, loss: 1.013827, train acc: 0.768750, train avg acc: 0.771181
Test 77, loss: 0.908691, test acc: 0.825000, test avg acc: 0.816667
Train 78, loss: 0.957626, train acc: 0.793750, train avg acc: 0.797104
Test 78, loss: 0.920799, test acc: 0.800000, test avg acc: 0.794444
Train 79, loss: 0.953326, train acc: 0.843750, train avg acc: 0.845579
Test 79, loss: 0.933413, test acc: 0.800000, test avg acc: 0.783333
Train 80, loss: 0.946344, train acc: 0.800000, train avg acc: 0.802896
Test 80, loss: 0.916371, test acc: 0.800000, test avg acc: 0.794444
Train 81, loss: 0.922022, train acc: 0.831250, train avg acc: 0.833079
Test 81, loss: 0.907583, test acc: 0.825000, test avg acc: 0.813889
Train 82, loss: 0.952076, train acc: 0.825000, train avg acc: 0.827439
Test 82, loss: 0.927661, test acc: 0.825000, test avg acc: 0.822222
Train 83, loss: 0.938838, train acc: 0.812500, train avg acc: 0.813872
Test 83, loss: 0.917911, test acc: 0.775000, test avg acc: 0.769444
Train 84, loss: 0.967776, train acc: 0.781250, train avg acc: 0.783834
Test 84, loss: 0.919274, test acc: 0.850000, test avg acc: 0.838889
Train 85, loss: 0.959822, train acc: 0.793750, train avg acc: 0.796791
Test 85, loss: 0.918936, test acc: 0.775000, test avg acc: 0.769444
Train 86, loss: 0.967403, train acc: 0.800000, train avg acc: 0.802439
Test 86, loss: 0.909910, test acc: 0.850000, test avg acc: 0.838889
Train 87, loss: 0.991678, train acc: 0.793750, train avg acc: 0.796181
Test 87, loss: 0.907440, test acc: 0.800000, test avg acc: 0.780556
Train 88, loss: 0.950701, train acc: 0.793750, train avg acc: 0.796646
Test 88, loss: 0.924316, test acc: 0.825000, test avg acc: 0.811111
Train 89, loss: 0.987137, train acc: 0.787500, train avg acc: 0.789626
Test 89, loss: 0.939727, test acc: 0.750000, test avg acc: 0.747222
Train 90, loss: 0.965164, train acc: 0.806250, train avg acc: 0.807454
Test 90, loss: 0.922447, test acc: 0.825000, test avg acc: 0.811111
Train 91, loss: 0.938080, train acc: 0.831250, train avg acc: 0.833529
Test 91, loss: 0.919703, test acc: 0.800000, test avg acc: 0.783333
Train 92, loss: 0.954084, train acc: 0.812500, train avg acc: 0.815244
Test 92, loss: 0.915528, test acc: 0.850000, test avg acc: 0.841667
Train 93, loss: 0.949568, train acc: 0.818750, train avg acc: 0.820876
Test 93, loss: 0.911886, test acc: 0.825000, test avg acc: 0.816667
Train 94, loss: 0.963098, train acc: 0.806250, train avg acc: 0.808071
Test 94, loss: 0.913109, test acc: 0.850000, test avg acc: 0.838889
Train 95, loss: 0.951681, train acc: 0.818750, train avg acc: 0.821189
Test 95, loss: 0.914415, test acc: 0.800000, test avg acc: 0.788889
Train 96, loss: 0.956289, train acc: 0.806250, train avg acc: 0.808384
Test 96, loss: 0.922025, test acc: 0.825000, test avg acc: 0.819444
Train 97, loss: 0.947095, train acc: 0.831250, train avg acc: 0.833232
Test 97, loss: 0.909991, test acc: 0.850000, test avg acc: 0.838889
Train 98, loss: 0.962072, train acc: 0.818750, train avg acc: 0.821181
Test 98, loss: 0.921705, test acc: 0.825000, test avg acc: 0.813889
Train 99, loss: 0.952888, train acc: 0.800000, train avg acc: 0.802744
Test 99, loss: 0.908466, test acc: 0.850000, test avg acc: 0.841667
Train 100, loss: 0.921323, train acc: 0.818750, train avg acc: 0.821646
Test 100, loss: 0.902844, test acc: 0.875000, test avg acc: 0.866667
Train 101, loss: 0.949541, train acc: 0.781250, train avg acc: 0.783834
Test 101, loss: 0.911831, test acc: 0.850000, test avg acc: 0.838889
Train 102, loss: 0.958536, train acc: 0.837500, train avg acc: 0.840076
Test 102, loss: 0.908635, test acc: 0.875000, test avg acc: 0.863889
Train 103, loss: 0.933030, train acc: 0.825000, train avg acc: 0.826220
Test 103, loss: 0.901392, test acc: 0.875000, test avg acc: 0.863889
Train 104, loss: 0.934425, train acc: 0.831250, train avg acc: 0.834299
Test 104, loss: 0.923823, test acc: 0.850000, test avg acc: 0.841667
Train 105, loss: 0.920592, train acc: 0.837500, train avg acc: 0.839024
Test 105, loss: 0.908016, test acc: 0.850000, test avg acc: 0.841667
Train 106, loss: 0.927279, train acc: 0.868750, train avg acc: 0.870579
Test 106, loss: 0.916907, test acc: 0.825000, test avg acc: 0.816667
Train 107, loss: 0.945383, train acc: 0.800000, train avg acc: 0.802287
Test 107, loss: 0.910224, test acc: 0.850000, test avg acc: 0.838889
Train 108, loss: 0.971721, train acc: 0.800000, train avg acc: 0.802584
