K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Test 43, loss: 1.297756, test acc: 0.550000, test avg acc: 0.538384
Train 44, loss: 1.351337, train acc: 0.386667, train avg acc: 0.389208
Test 44, loss: 1.295475, test acc: 0.425000, test avg acc: 0.427525
Train 45, loss: 1.330194, train acc: 0.533333, train avg acc: 0.533421
Test 45, loss: 1.291847, test acc: 0.425000, test avg acc: 0.400000
Train 46, loss: 1.373771, train acc: 0.446667, train avg acc: 0.449217
Test 46, loss: 1.328895, test acc: 0.325000, test avg acc: 0.302778
Train 47, loss: 1.307543, train acc: 0.353333, train avg acc: 0.352640
Test 47, loss: 1.885802, test acc: 0.375000, test avg acc: 0.352273
Train 48, loss: 1.491777, train acc: 0.340000, train avg acc: 0.341750
Test 48, loss: 1.478342, test acc: 0.275000, test avg acc: 0.250000
Train 49, loss: 1.354124, train acc: 0.420000, train avg acc: 0.430648
Test 49, loss: 1.513866, test acc: 0.275000, test avg acc: 0.250000
Train 50, loss: 1.351761, train acc: 0.406667, train avg acc: 0.411474
Test 50, loss: 1.450501, test acc: 0.300000, test avg acc: 0.277778
Train 51, loss: 1.447464, train acc: 0.433333, train avg acc: 0.437009
Test 51, loss: 1.382940, test acc: 0.400000, test avg acc: 0.375000
Train 52, loss: 1.352638, train acc: 0.560000, train avg acc: 0.570861
Test 52, loss: 1.291120, test acc: 0.550000, test avg acc: 0.525000
Train 53, loss: 1.312699, train acc: 0.506667, train avg acc: 0.513167
Test 53, loss: 1.275877, test acc: 0.500000, test avg acc: 0.477778
Train 54, loss: 1.375410, train acc: 0.466667, train avg acc: 0.463630
Test 54, loss: 1.243313, test acc: 0.525000, test avg acc: 0.505051
Train 55, loss: 1.412849, train acc: 0.400000, train avg acc: 0.399925
Test 55, loss: 1.367534, test acc: 0.475000, test avg acc: 0.462374
Train 56, loss: 1.358977, train acc: 0.360000, train avg acc: 0.361746
Test 56, loss: 1.358619, test acc: 0.425000, test avg acc: 0.419697
Train 57, loss: 1.314753, train acc: 0.446667, train avg acc: 0.449561
Test 57, loss: 1.283747, test acc: 0.525000, test avg acc: 0.500000
Train 58, loss: 1.402958, train acc: 0.400000, train avg acc: 0.397997
Test 58, loss: 1.321606, test acc: 0.550000, test avg acc: 0.525000
Train 59, loss: 1.405337, train acc: 0.453333, train avg acc: 0.450813
Test 59, loss: 1.342209, test acc: 0.350000, test avg acc: 0.340909
Train 60, loss: 1.323356, train acc: 0.486667, train avg acc: 0.484547
Test 60, loss: 1.307897, test acc: 0.475000, test avg acc: 0.461364
Train 61, loss: 1.263029, train acc: 0.533333, train avg acc: 0.534317
Test 61, loss: 1.339833, test acc: 0.400000, test avg acc: 0.406566
Train 62, loss: 1.260838, train acc: 0.453333, train avg acc: 0.461658
Test 62, loss: 1.274382, test acc: 0.550000, test avg acc: 0.538889
Train 63, loss: 1.292275, train acc: 0.433333, train avg acc: 0.427834
Test 63, loss: 1.298777, test acc: 0.500000, test avg acc: 0.481818
Train 64, loss: 1.241162, train acc: 0.526667, train avg acc: 0.537536
Test 64, loss: 1.246018, test acc: 0.525000, test avg acc: 0.506818
Train 65, loss: 1.265618, train acc: 0.546667, train avg acc: 0.540495
Test 65, loss: 1.215429, test acc: 0.600000, test avg acc: 0.577273
Train 66, loss: 1.251794, train acc: 0.566667, train avg acc: 0.572410
Test 66, loss: 1.161489, test acc: 0.650000, test avg acc: 0.630556
Train 67, loss: 1.200991, train acc: 0.560000, train avg acc: 0.550290
Test 67, loss: 1.177624, test acc: 0.575000, test avg acc: 0.552778
Train 68, loss: 1.217796, train acc: 0.573333, train avg acc: 0.583852
Test 68, loss: 1.139433, test acc: 0.550000, test avg acc: 0.530556
Train 69, loss: 1.211604, train acc: 0.493333, train avg acc: 0.491871
Test 69, loss: 1.154552, test acc: 0.500000, test avg acc: 0.480556
Train 70, loss: 1.214439, train acc: 0.546667, train avg acc: 0.545856
Test 70, loss: 1.140181, test acc: 0.500000, test avg acc: 0.477778
Train 71, loss: 1.188417, train acc: 0.586667, train avg acc: 0.584430
Test 71, loss: 1.151342, test acc: 0.525000, test avg acc: 0.500000
Train 72, loss: 1.223951, train acc: 0.580000, train avg acc: 0.587452
Test 72, loss: 1.212067, test acc: 0.575000, test avg acc: 0.560101
Train 73, loss: 1.222264, train acc: 0.533333, train avg acc: 0.540916
Test 73, loss: 1.191678, test acc: 0.550000, test avg acc: 0.537879
Train 74, loss: 1.179286, train acc: 0.586667, train avg acc: 0.593278
Test 74, loss: 1.161971, test acc: 0.475000, test avg acc: 0.452778
Train 75, loss: 1.201216, train acc: 0.513333, train avg acc: 0.519335
Test 75, loss: 1.170764, test acc: 0.500000, test avg acc: 0.477778
Train 76, loss: 1.155482, train acc: 0.613333, train avg acc: 0.609225
Test 76, loss: 1.152478, test acc: 0.575000, test avg acc: 0.552778
Train 77, loss: 1.181393, train acc: 0.566667, train avg acc: 0.572661
Test 77, loss: 1.169805, test acc: 0.525000, test avg acc: 0.502778
Train 78, loss: 1.150831, train acc: 0.586667, train avg acc: 0.583748
Test 78, loss: 1.133159, test acc: 0.575000, test avg acc: 0.555556
Train 79, loss: 1.172889, train acc: 0.580000, train avg acc: 0.582402
Test 79, loss: 1.116995, test acc: 0.600000, test avg acc: 0.580556
Train 80, loss: 1.186215, train acc: 0.553333, train avg acc: 0.568552
Test 80, loss: 1.105271, test acc: 0.550000, test avg acc: 0.533333
Train 81, loss: 1.167878, train acc: 0.620000, train avg acc: 0.618076
Test 81, loss: 1.138000, test acc: 0.575000, test avg acc: 0.575000
Train 82, loss: 1.157495, train acc: 0.626667, train avg acc: 0.622675
Test 82, loss: 1.137868, test acc: 0.600000, test avg acc: 0.597222
Train 83, loss: 1.217718, train acc: 0.580000, train avg acc: 0.578207
Test 83, loss: 1.172994, test acc: 0.625000, test avg acc: 0.613889
Train 84, loss: 1.161846, train acc: 0.486667, train avg acc: 0.493258
Test 84, loss: 1.129057, test acc: 0.675000, test avg acc: 0.650000
Train 85, loss: 1.143921, train acc: 0.620000, train avg acc: 0.629129
Test 85, loss: 1.161346, test acc: 0.625000, test avg acc: 0.600000
Train 86, loss: 1.165979, train acc: 0.566667, train avg acc: 0.567034
Test 86, loss: 1.162643, test acc: 0.575000, test avg acc: 0.550000
Train 87, loss: 1.146948, train acc: 0.606667, train avg acc: 0.595204
Test 87, loss: 1.125922, test acc: 0.600000, test avg acc: 0.577778
Train 88, loss: 1.152890, train acc: 0.633333, train avg acc: 0.639893
Test 88, loss: 1.115835, test acc: 0.650000, test avg acc: 0.633333
Train 89, loss: 1.154798, train acc: 0.626667, train avg acc: 0.641904
Test 89, loss: 1.225205, test acc: 0.550000, test avg acc: 0.540657
Train 90, loss: 1.173947, train acc: 0.580000, train avg acc: 0.586191
Test 90, loss: 1.132256, test acc: 0.575000, test avg acc: 0.555556
Train 91, loss: 1.139037, train acc: 0.633333, train avg acc: 0.643238
Test 91, loss: 1.221339, test acc: 0.550000, test avg acc: 0.527778
Train 92, loss: 1.138728, train acc: 0.566667, train avg acc: 0.565314
Test 92, loss: 1.198293, test acc: 0.450000, test avg acc: 0.427778
Train 93, loss: 1.145380, train acc: 0.600000, train avg acc: 0.605614
Test 93, loss: 1.109671, test acc: 0.600000, test avg acc: 0.583333
Train 94, loss: 1.111259, train acc: 0.626667, train avg acc: 0.631213
Test 94, loss: 1.099833, test acc: 0.650000, test avg acc: 0.627778
Train 95, loss: 1.146928, train acc: 0.586667, train avg acc: 0.593783
Test 95, loss: 1.145241, test acc: 0.550000, test avg acc: 0.532828
Train 96, loss: 1.160854, train acc: 0.580000, train avg acc: 0.584360
Test 96, loss: 1.120832, test acc: 0.600000, test avg acc: 0.588889
Train 97, loss: 1.100834, train acc: 0.653333, train avg acc: 0.654872
Test 97, loss: 1.080852, test acc: 0.625000, test avg acc: 0.613889
Train 98, loss: 1.137597, train acc: 0.620000, train avg acc: 0.625572
Test 98, loss: 1.065969, test acc: 0.625000, test avg acc: 0.619444
Train 99, loss: 1.111621, train acc: 0.620000, train avg acc: 0.619265
Test 99, loss: 1.103624, test acc: 0.550000, test avg acc: 0.535101
Train 100, loss: 1.130150, train acc: 0.520000, train avg acc: 0.526175
Test 100, loss: 1.078340, test acc: 0.650000, test avg acc: 0.627778
Train 101, loss: 1.108418, train acc: 0.613333, train avg acc: 0.621117
Test 101, loss: 1.095019, test acc: 0.725000, test avg acc: 0.702778
Train 102, loss: 1.133502, train acc: 0.613333, train avg acc: 0.616643
Test 102, loss: 1.093265, test acc: 0.700000, test avg acc: 0.677778
Train 103, loss: 1.134347, train acc: 0.600000, train avg acc: 0.605032
Test 103, loss: 1.067231, test acc: 0.600000, test avg acc: 0.575000
Train 104, loss: 1.119096, train acc: 0.566667, train avg acc: 0.563236
Test 104, loss: 1.068762, test acc: 0.625000, test avg acc: 0.600000
Train 105, loss: 1.137284, train acc: 0.646667, train avg acc: 0.655633
Test 105, loss: 1.062855, test acc: 0.750000, test avg acc: 0.730556
Train 106, loss: 1.113786, train acc: 0.633333, train avg acc: 0.643092
Test 106, loss: 1.086431, test acc: 0.650000, test avg acc: 0.630556
Train 107, loss: 1.103469, train acc: 0.613333, train avg acc: 0.615358
