K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet_norm
Test 43, loss: 0.949647, test acc: 0.775000, test avg acc: 0.763889
Train 44, loss: 0.953990, train acc: 0.860000, train avg acc: 0.858997
Test 44, loss: 0.943286, test acc: 0.775000, test avg acc: 0.772222
Train 45, loss: 0.945179, train acc: 0.846667, train avg acc: 0.850371
Test 45, loss: 0.957244, test acc: 0.775000, test avg acc: 0.769444
Train 46, loss: 0.934863, train acc: 0.826667, train avg acc: 0.827289
Test 46, loss: 0.947708, test acc: 0.750000, test avg acc: 0.738889
Train 47, loss: 0.915688, train acc: 0.853333, train avg acc: 0.851351
Test 47, loss: 0.956861, test acc: 0.750000, test avg acc: 0.741667
Train 48, loss: 0.909004, train acc: 0.846667, train avg acc: 0.851457
Test 48, loss: 0.939365, test acc: 0.750000, test avg acc: 0.738889
Train 49, loss: 0.952693, train acc: 0.820000, train avg acc: 0.821191
Test 49, loss: 0.932485, test acc: 0.775000, test avg acc: 0.772222
Train 50, loss: 0.927526, train acc: 0.860000, train avg acc: 0.859708
Test 50, loss: 0.928661, test acc: 0.775000, test avg acc: 0.769444
Train 51, loss: 0.949075, train acc: 0.840000, train avg acc: 0.847131
Test 51, loss: 0.925060, test acc: 0.750000, test avg acc: 0.741667
Train 52, loss: 0.929934, train acc: 0.813333, train avg acc: 0.815789
Test 52, loss: 0.940484, test acc: 0.775000, test avg acc: 0.769444
Train 53, loss: 0.950819, train acc: 0.826667, train avg acc: 0.826786
Test 53, loss: 0.946812, test acc: 0.800000, test avg acc: 0.797222
Train 54, loss: 0.956585, train acc: 0.853333, train avg acc: 0.859910
Test 54, loss: 0.921425, test acc: 0.800000, test avg acc: 0.783333
Train 55, loss: 0.954924, train acc: 0.813333, train avg acc: 0.812411
Test 55, loss: 0.922321, test acc: 0.750000, test avg acc: 0.738889
Train 56, loss: 0.935786, train acc: 0.813333, train avg acc: 0.811948
Test 56, loss: 0.961067, test acc: 0.800000, test avg acc: 0.797222
Train 57, loss: 0.922404, train acc: 0.860000, train avg acc: 0.857717
Test 57, loss: 0.936675, test acc: 0.775000, test avg acc: 0.769444
Train 58, loss: 0.908789, train acc: 0.853333, train avg acc: 0.858974
Test 58, loss: 0.931700, test acc: 0.750000, test avg acc: 0.738889
Train 59, loss: 0.917901, train acc: 0.833333, train avg acc: 0.840377
Test 59, loss: 0.921202, test acc: 0.750000, test avg acc: 0.733333
Train 60, loss: 0.895350, train acc: 0.866667, train avg acc: 0.873868
Test 60, loss: 0.946769, test acc: 0.775000, test avg acc: 0.766667
Train 61, loss: 0.949340, train acc: 0.826667, train avg acc: 0.828829
Test 61, loss: 0.957267, test acc: 0.775000, test avg acc: 0.769444
Train 62, loss: 0.915443, train acc: 0.873333, train avg acc: 0.873397
Test 62, loss: 0.936370, test acc: 0.775000, test avg acc: 0.769444
Train 63, loss: 0.910979, train acc: 0.853333, train avg acc: 0.853476
Test 63, loss: 0.914086, test acc: 0.775000, test avg acc: 0.766667
Train 64, loss: 0.929996, train acc: 0.813333, train avg acc: 0.816854
Test 64, loss: 0.918469, test acc: 0.800000, test avg acc: 0.794444
Train 65, loss: 0.917860, train acc: 0.833333, train avg acc: 0.833215
Test 65, loss: 0.913704, test acc: 0.800000, test avg acc: 0.797222
Train 66, loss: 0.920259, train acc: 0.826667, train avg acc: 0.830128
Test 66, loss: 0.926998, test acc: 0.750000, test avg acc: 0.736111
Train 67, loss: 0.906702, train acc: 0.846667, train avg acc: 0.850877
Test 67, loss: 0.923365, test acc: 0.775000, test avg acc: 0.763889
Train 68, loss: 0.891925, train acc: 0.880000, train avg acc: 0.875092
Test 68, loss: 0.914707, test acc: 0.750000, test avg acc: 0.736111
Train 69, loss: 0.922869, train acc: 0.860000, train avg acc: 0.860775
Test 69, loss: 0.909535, test acc: 0.750000, test avg acc: 0.730556
Train 70, loss: 0.903118, train acc: 0.846667, train avg acc: 0.850000
Test 70, loss: 0.919102, test acc: 0.825000, test avg acc: 0.819444
Train 71, loss: 0.909592, train acc: 0.806667, train avg acc: 0.811741
Test 71, loss: 0.925020, test acc: 0.800000, test avg acc: 0.797222
Train 72, loss: 0.898485, train acc: 0.846667, train avg acc: 0.846848
Test 72, loss: 0.910050, test acc: 0.800000, test avg acc: 0.791667
Train 73, loss: 0.906183, train acc: 0.853333, train avg acc: 0.855769
Test 73, loss: 0.910795, test acc: 0.775000, test avg acc: 0.755556
Train 74, loss: 0.902745, train acc: 0.846667, train avg acc: 0.854605
Test 74, loss: 0.917110, test acc: 0.775000, test avg acc: 0.766667
Train 75, loss: 0.910319, train acc: 0.866667, train avg acc: 0.868676
Test 75, loss: 0.919031, test acc: 0.775000, test avg acc: 0.769444
Train 76, loss: 0.910364, train acc: 0.820000, train avg acc: 0.822419
Test 76, loss: 0.918917, test acc: 0.725000, test avg acc: 0.711111
Train 77, loss: 0.915961, train acc: 0.840000, train avg acc: 0.840505
Test 77, loss: 0.919090, test acc: 0.750000, test avg acc: 0.738889
Train 78, loss: 0.886247, train acc: 0.880000, train avg acc: 0.881579
Test 78, loss: 0.922939, test acc: 0.750000, test avg acc: 0.741667
Train 79, loss: 0.891917, train acc: 0.866667, train avg acc: 0.867361
Test 79, loss: 0.922950, test acc: 0.725000, test avg acc: 0.713889
Train 80, loss: 0.887974, train acc: 0.866667, train avg acc: 0.869369
Test 80, loss: 0.923830, test acc: 0.700000, test avg acc: 0.686111
Train 81, loss: 0.900149, train acc: 0.840000, train avg acc: 0.837354
Test 81, loss: 0.915826, test acc: 0.750000, test avg acc: 0.738889
Train 82, loss: 0.912334, train acc: 0.826667, train avg acc: 0.833553
Test 82, loss: 0.929933, test acc: 0.750000, test avg acc: 0.738889
Train 83, loss: 0.895310, train acc: 0.840000, train avg acc: 0.840149
Test 83, loss: 0.926332, test acc: 0.725000, test avg acc: 0.716667
Train 84, loss: 0.902020, train acc: 0.840000, train avg acc: 0.839794
Test 84, loss: 0.936418, test acc: 0.750000, test avg acc: 0.741667
Train 85, loss: 0.885344, train acc: 0.893333, train avg acc: 0.890766
Test 85, loss: 0.938042, test acc: 0.750000, test avg acc: 0.744444
Train 86, loss: 0.891375, train acc: 0.880000, train avg acc: 0.881843
Test 86, loss: 0.937717, test acc: 0.775000, test avg acc: 0.769444
Train 87, loss: 0.884343, train acc: 0.866667, train avg acc: 0.866987
Test 87, loss: 0.927510, test acc: 0.775000, test avg acc: 0.769444
Train 88, loss: 0.900433, train acc: 0.860000, train avg acc: 0.861842
Test 88, loss: 0.917988, test acc: 0.750000, test avg acc: 0.738889
Train 89, loss: 0.904400, train acc: 0.846667, train avg acc: 0.853823
Test 89, loss: 0.920067, test acc: 0.750000, test avg acc: 0.736111
Train 90, loss: 0.911122, train acc: 0.860000, train avg acc: 0.864696
Test 90, loss: 0.923287, test acc: 0.725000, test avg acc: 0.713889
Train 91, loss: 0.878288, train acc: 0.886667, train avg acc: 0.889583
Test 91, loss: 0.934874, test acc: 0.750000, test avg acc: 0.747222
Train 92, loss: 0.923874, train acc: 0.893333, train avg acc: 0.893750
Test 92, loss: 0.947040, test acc: 0.750000, test avg acc: 0.747222
Train 93, loss: 0.903687, train acc: 0.873333, train avg acc: 0.875984
Test 93, loss: 0.933355, test acc: 0.725000, test avg acc: 0.716667
Train 94, loss: 0.876756, train acc: 0.873333, train avg acc: 0.870614
Test 94, loss: 0.917002, test acc: 0.825000, test avg acc: 0.811111
Train 95, loss: 0.894289, train acc: 0.853333, train avg acc: 0.858412
Test 95, loss: 0.916666, test acc: 0.725000, test avg acc: 0.713889
Train 96, loss: 0.890382, train acc: 0.880000, train avg acc: 0.878378
Test 96, loss: 0.940646, test acc: 0.750000, test avg acc: 0.747222
Train 97, loss: 0.921798, train acc: 0.873333, train avg acc: 0.878036
Test 97, loss: 0.933305, test acc: 0.750000, test avg acc: 0.747222
Train 98, loss: 0.891601, train acc: 0.886667, train avg acc: 0.886558
Test 98, loss: 0.916623, test acc: 0.775000, test avg acc: 0.758333
Train 99, loss: 0.901532, train acc: 0.853333, train avg acc: 0.857020
Test 99, loss: 0.917726, test acc: 0.775000, test avg acc: 0.758333
Train 100, loss: 0.893233, train acc: 0.880000, train avg acc: 0.887356
Test 100, loss: 0.920541, test acc: 0.725000, test avg acc: 0.708333
Train 101, loss: 0.898218, train acc: 0.886667, train avg acc: 0.887561
Test 101, loss: 0.919520, test acc: 0.750000, test avg acc: 0.738889
Train 102, loss: 0.895989, train acc: 0.866667, train avg acc: 0.869713
Test 102, loss: 0.911433, test acc: 0.775000, test avg acc: 0.763889
Train 103, loss: 0.883526, train acc: 0.860000, train avg acc: 0.863889
Test 103, loss: 0.917087, test acc: 0.825000, test avg acc: 0.808333
Train 104, loss: 0.877810, train acc: 0.880000, train avg acc: 0.878378
Test 104, loss: 0.912358, test acc: 0.750000, test avg acc: 0.738889
Train 105, loss: 0.870192, train acc: 0.866667, train avg acc: 0.868056
Test 105, loss: 0.914101, test acc: 0.750000, test avg acc: 0.741667
Train 106, loss: 0.902654, train acc: 0.873333, train avg acc: 0.870120
Test 106, loss: 0.924517, test acc: 0.750000, test avg acc: 0.741667
Train 107, loss: 0.892801, train acc: 0.880000, train avg acc: 0.885855
Test 107, loss: 0.915466, test acc: 0.750000, test avg acc: 0.738889
Train 108, loss: 0.890906, train acc: 0.860000, train avg acc: 0.863529
Test 108, loss: 0.918322, test acc: 0.750000, test avg acc: 0.738889
Train 109, loss: 0.891050, train acc: 0.873333, train avg acc: 0.872866
Test 109, loss: 0.929916, test acc: 0.750000, test avg acc: 0.744444
Train 110, loss: 0.875678, train acc: 0.873333, train avg acc: 0.878205
Test 110, loss: 0.920898, test acc: 0.750000, test avg acc: 0.738889
Train 111, loss: 0.884616, train acc: 0.853333, train avg acc: 0.857143
Test 111, loss: 0.928043, test acc: 0.750000, test avg acc: 0.741667
Train 112, loss: 0.877192, train acc: 0.900000, train avg acc: 0.902703
Test 112, loss: 0.933465, test acc: 0.775000, test avg acc: 0.772222
Train 113, loss: 0.869522, train acc: 0.880000, train avg acc: 0.876504
Test 113, loss: 0.939663, test acc: 0.775000, test avg acc: 0.772222
Train 114, loss: 0.883399, train acc: 0.866667, train avg acc: 0.865372
