K: 5, local_K: 5, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 2.972735, train acc: 0.400000, train avg acc: 0.401239
Test 0, loss: 21.146635, test acc: 0.250000, test avg acc: 0.240909
Train 1, loss: 4.024986, train acc: 0.381250, train avg acc: 0.381688
Test 1, loss: 23.492543, test acc: 0.275000, test avg acc: 0.277778
Train 2, loss: 3.160702, train acc: 0.500000, train avg acc: 0.501896
Test 2, loss: 4.468180, test acc: 0.425000, test avg acc: 0.433333
Train 3, loss: 2.491752, train acc: 0.356250, train avg acc: 0.357458
Test 3, loss: 1.686603, test acc: 0.625000, test avg acc: 0.610606
Train 4, loss: 1.900388, train acc: 0.487500, train avg acc: 0.489388
Test 4, loss: 1.171508, test acc: 0.700000, test avg acc: 0.683333
Train 5, loss: 1.604656, train acc: 0.400000, train avg acc: 0.401696
Test 5, loss: 1.072424, test acc: 0.675000, test avg acc: 0.650000
Train 6, loss: 1.509029, train acc: 0.506250, train avg acc: 0.508306
Test 6, loss: 1.172130, test acc: 0.575000, test avg acc: 0.550000
Train 7, loss: 1.333703, train acc: 0.500000, train avg acc: 0.502208
Test 7, loss: 1.078473, test acc: 0.675000, test avg acc: 0.658333
Train 8, loss: 1.293798, train acc: 0.550000, train avg acc: 0.552201
Test 8, loss: 1.031420, test acc: 0.650000, test avg acc: 0.633333
Train 9, loss: 1.180627, train acc: 0.606250, train avg acc: 0.608795
Test 9, loss: 1.086444, test acc: 0.650000, test avg acc: 0.641667
Train 10, loss: 1.178433, train acc: 0.618750, train avg acc: 0.621928
Test 10, loss: 0.980684, test acc: 0.775000, test avg acc: 0.761111
Train 11, loss: 1.151677, train acc: 0.625000, train avg acc: 0.627537
Test 11, loss: 0.977301, test acc: 0.750000, test avg acc: 0.730556
Train 12, loss: 1.200166, train acc: 0.593750, train avg acc: 0.596889
Test 12, loss: 0.979228, test acc: 0.800000, test avg acc: 0.783333
Train 13, loss: 1.168623, train acc: 0.637500, train avg acc: 0.640045
Test 13, loss: 0.993842, test acc: 0.675000, test avg acc: 0.663889
Train 14, loss: 1.116234, train acc: 0.612500, train avg acc: 0.614869
Test 14, loss: 0.969894, test acc: 0.700000, test avg acc: 0.686111
Train 15, loss: 1.121101, train acc: 0.668750, train avg acc: 0.671951
Test 15, loss: 1.045167, test acc: 0.775000, test avg acc: 0.750000
Train 16, loss: 1.153915, train acc: 0.612500, train avg acc: 0.615189
Test 16, loss: 0.991847, test acc: 0.750000, test avg acc: 0.730556
Train 17, loss: 1.074363, train acc: 0.681250, train avg acc: 0.683482
Test 17, loss: 0.977486, test acc: 0.700000, test avg acc: 0.697222
Train 18, loss: 1.080277, train acc: 0.650000, train avg acc: 0.653033
Test 18, loss: 0.955621, test acc: 0.700000, test avg acc: 0.677778
Train 19, loss: 1.081275, train acc: 0.675000, train avg acc: 0.678162
Test 19, loss: 0.978105, test acc: 0.800000, test avg acc: 0.791667
Train 20, loss: 1.089673, train acc: 0.668750, train avg acc: 0.670388
Test 20, loss: 0.954953, test acc: 0.750000, test avg acc: 0.725000
Train 21, loss: 1.080484, train acc: 0.687500, train avg acc: 0.691456
Test 21, loss: 0.953823, test acc: 0.775000, test avg acc: 0.763889
