K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Test 43, loss: 0.925193, test acc: 0.825000, test avg acc: 0.808333
Train 44, loss: 0.936641, train acc: 0.860000, train avg acc: 0.861842
Test 44, loss: 0.904645, test acc: 0.825000, test avg acc: 0.811111
Train 45, loss: 0.928662, train acc: 0.846667, train avg acc: 0.847525
Test 45, loss: 0.910121, test acc: 0.825000, test avg acc: 0.813889
Train 46, loss: 0.927293, train acc: 0.860000, train avg acc: 0.861486
Test 46, loss: 0.925765, test acc: 0.800000, test avg acc: 0.788889
Train 47, loss: 0.934358, train acc: 0.860000, train avg acc: 0.863499
Test 47, loss: 0.919832, test acc: 0.775000, test avg acc: 0.766667
Train 48, loss: 0.924360, train acc: 0.826667, train avg acc: 0.822180
Test 48, loss: 0.899730, test acc: 0.850000, test avg acc: 0.838889
Train 49, loss: 0.910102, train acc: 0.826667, train avg acc: 0.830634
Test 49, loss: 0.899978, test acc: 0.850000, test avg acc: 0.836111
Train 50, loss: 0.905236, train acc: 0.893333, train avg acc: 0.896086
Test 50, loss: 0.900108, test acc: 0.825000, test avg acc: 0.811111
Train 51, loss: 0.928196, train acc: 0.840000, train avg acc: 0.835338
Test 51, loss: 0.922385, test acc: 0.800000, test avg acc: 0.788889
Train 52, loss: 0.891629, train acc: 0.880000, train avg acc: 0.880156
Test 52, loss: 0.906252, test acc: 0.850000, test avg acc: 0.838889
Train 53, loss: 0.911819, train acc: 0.880000, train avg acc: 0.878989
Test 53, loss: 0.911075, test acc: 0.825000, test avg acc: 0.811111
Train 54, loss: 0.882511, train acc: 0.886667, train avg acc: 0.885234
Test 54, loss: 0.918157, test acc: 0.825000, test avg acc: 0.811111
Train 55, loss: 0.904624, train acc: 0.873333, train avg acc: 0.873986
Test 55, loss: 0.916558, test acc: 0.775000, test avg acc: 0.761111
Train 56, loss: 0.902322, train acc: 0.866667, train avg acc: 0.875000
Test 56, loss: 0.914453, test acc: 0.800000, test avg acc: 0.783333
Train 57, loss: 0.884660, train acc: 0.880000, train avg acc: 0.880325
Test 57, loss: 0.903465, test acc: 0.850000, test avg acc: 0.841667
Train 58, loss: 0.899814, train acc: 0.873333, train avg acc: 0.877554
Test 58, loss: 0.910943, test acc: 0.800000, test avg acc: 0.788889
Train 59, loss: 0.910103, train acc: 0.860000, train avg acc: 0.861573
Test 59, loss: 0.955771, test acc: 0.750000, test avg acc: 0.747222
Train 60, loss: 0.869559, train acc: 0.866667, train avg acc: 0.868421
Test 60, loss: 0.918684, test acc: 0.825000, test avg acc: 0.819444
Train 61, loss: 0.878863, train acc: 0.893333, train avg acc: 0.895833
Test 61, loss: 0.894204, test acc: 0.875000, test avg acc: 0.866667
Train 62, loss: 0.906735, train acc: 0.866667, train avg acc: 0.868919
Test 62, loss: 0.900582, test acc: 0.850000, test avg acc: 0.838889
Train 63, loss: 0.868147, train acc: 0.940000, train avg acc: 0.938231
Test 63, loss: 0.917618, test acc: 0.875000, test avg acc: 0.869444
Train 64, loss: 0.909965, train acc: 0.853333, train avg acc: 0.854861
Test 64, loss: 0.916756, test acc: 0.800000, test avg acc: 0.786111
Train 65, loss: 0.865718, train acc: 0.926667, train avg acc: 0.926743
Test 65, loss: 0.922489, test acc: 0.825000, test avg acc: 0.811111
Train 66, loss: 0.893322, train acc: 0.886667, train avg acc: 0.887214
Test 66, loss: 0.915255, test acc: 0.800000, test avg acc: 0.783333
Train 67, loss: 0.867995, train acc: 0.913333, train avg acc: 0.917763
Test 67, loss: 0.934830, test acc: 0.800000, test avg acc: 0.780556
Train 68, loss: 0.866222, train acc: 0.920000, train avg acc: 0.917398
Test 68, loss: 0.926982, test acc: 0.850000, test avg acc: 0.844444
Train 69, loss: 0.886831, train acc: 0.873333, train avg acc: 0.875433
Test 69, loss: 0.927663, test acc: 0.825000, test avg acc: 0.816667
Train 70, loss: 0.862004, train acc: 0.926667, train avg acc: 0.925073
Test 70, loss: 0.946726, test acc: 0.825000, test avg acc: 0.816667
Train 71, loss: 0.874948, train acc: 0.906667, train avg acc: 0.910844
Test 71, loss: 0.937136, test acc: 0.800000, test avg acc: 0.783333
Train 72, loss: 0.857881, train acc: 0.920000, train avg acc: 0.923077
Test 72, loss: 0.923614, test acc: 0.825000, test avg acc: 0.811111
Train 73, loss: 0.879665, train acc: 0.913333, train avg acc: 0.914474
Test 73, loss: 0.934716, test acc: 0.825000, test avg acc: 0.813889
Train 74, loss: 0.877060, train acc: 0.926667, train avg acc: 0.929861
Test 74, loss: 0.911378, test acc: 0.825000, test avg acc: 0.808333
Train 75, loss: 0.884390, train acc: 0.906667, train avg acc: 0.905405
Test 75, loss: 0.919815, test acc: 0.775000, test avg acc: 0.758333
Train 76, loss: 0.883760, train acc: 0.906667, train avg acc: 0.905702
Test 76, loss: 0.944010, test acc: 0.725000, test avg acc: 0.716667
Train 77, loss: 0.866477, train acc: 0.893333, train avg acc: 0.890953
Test 77, loss: 0.956100, test acc: 0.775000, test avg acc: 0.772222
Train 78, loss: 0.871521, train acc: 0.920000, train avg acc: 0.922571
Test 78, loss: 0.940152, test acc: 0.825000, test avg acc: 0.819444
Train 79, loss: 0.870276, train acc: 0.906667, train avg acc: 0.906472
Test 79, loss: 0.945782, test acc: 0.800000, test avg acc: 0.783333
Train 80, loss: 0.857392, train acc: 0.900000, train avg acc: 0.904276
Test 80, loss: 0.950164, test acc: 0.800000, test avg acc: 0.783333
Train 81, loss: 0.848149, train acc: 0.920000, train avg acc: 0.921691
Test 81, loss: 0.988807, test acc: 0.800000, test avg acc: 0.791667
Train 82, loss: 0.891884, train acc: 0.873333, train avg acc: 0.873222
Test 82, loss: 1.022060, test acc: 0.800000, test avg acc: 0.797222
Train 83, loss: 0.866611, train acc: 0.880000, train avg acc: 0.882334
Test 83, loss: 0.953747, test acc: 0.725000, test avg acc: 0.708333
Train 84, loss: 0.884659, train acc: 0.900000, train avg acc: 0.900107
Test 84, loss: 0.941116, test acc: 0.775000, test avg acc: 0.758333
Train 85, loss: 0.847142, train acc: 0.933333, train avg acc: 0.934885
Test 85, loss: 0.957987, test acc: 0.825000, test avg acc: 0.816667
Train 86, loss: 0.875403, train acc: 0.913333, train avg acc: 0.914241
Test 86, loss: 0.932671, test acc: 0.875000, test avg acc: 0.866667
Train 87, loss: 0.870131, train acc: 0.920000, train avg acc: 0.924359
Test 87, loss: 0.944431, test acc: 0.875000, test avg acc: 0.872222
Train 88, loss: 0.869786, train acc: 0.913333, train avg acc: 0.914753
Test 88, loss: 0.984369, test acc: 0.800000, test avg acc: 0.797222
Train 89, loss: 0.845949, train acc: 0.913333, train avg acc: 0.915091
Test 89, loss: 0.918741, test acc: 0.875000, test avg acc: 0.869444
Train 90, loss: 0.878294, train acc: 0.920000, train avg acc: 0.918860
Test 90, loss: 0.951142, test acc: 0.800000, test avg acc: 0.786111
Train 91, loss: 0.845560, train acc: 0.940000, train avg acc: 0.941615
Test 91, loss: 0.953872, test acc: 0.775000, test avg acc: 0.755556
Train 92, loss: 0.859182, train acc: 0.913333, train avg acc: 0.914934
Test 92, loss: 0.919356, test acc: 0.800000, test avg acc: 0.783333
Train 93, loss: 0.861742, train acc: 0.906667, train avg acc: 0.904240
Test 93, loss: 0.986729, test acc: 0.800000, test avg acc: 0.797222
Train 94, loss: 0.855251, train acc: 0.933333, train avg acc: 0.933499
Test 94, loss: 0.991765, test acc: 0.775000, test avg acc: 0.772222
Train 95, loss: 0.847384, train acc: 0.920000, train avg acc: 0.921748
Test 95, loss: 0.931651, test acc: 0.825000, test avg acc: 0.819444
