K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 dgcnn
Test 43, loss: 1.309268, test acc: 0.425000, test avg acc: 0.417424
Train 44, loss: 1.316208, train acc: 0.446667, train avg acc: 0.444666
Test 44, loss: 1.308157, test acc: 0.450000, test avg acc: 0.447980
Train 45, loss: 1.325633, train acc: 0.380000, train avg acc: 0.383870
Test 45, loss: 1.295866, test acc: 0.425000, test avg acc: 0.423485
Train 46, loss: 1.340842, train acc: 0.386667, train avg acc: 0.386024
Test 46, loss: 1.294496, test acc: 0.400000, test avg acc: 0.379545
Train 47, loss: 1.342604, train acc: 0.406667, train avg acc: 0.416687
Test 47, loss: 1.300072, test acc: 0.425000, test avg acc: 0.409091
Train 48, loss: 1.317323, train acc: 0.393333, train avg acc: 0.396199
Test 48, loss: 1.290915, test acc: 0.500000, test avg acc: 0.492929
Train 49, loss: 1.339757, train acc: 0.400000, train avg acc: 0.401389
Test 49, loss: 1.365010, test acc: 0.400000, test avg acc: 0.387374
Train 50, loss: 1.330231, train acc: 0.366667, train avg acc: 0.369225
Test 50, loss: 1.317858, test acc: 0.450000, test avg acc: 0.437374
Train 51, loss: 1.358616, train acc: 0.346667, train avg acc: 0.347222
Test 51, loss: 1.327548, test acc: 0.400000, test avg acc: 0.388636
Train 52, loss: 1.310914, train acc: 0.460000, train avg acc: 0.459840
Test 52, loss: 1.341297, test acc: 0.375000, test avg acc: 0.361364
Train 53, loss: 1.338685, train acc: 0.353333, train avg acc: 0.352485
Test 53, loss: 1.311762, test acc: 0.350000, test avg acc: 0.340909
Train 54, loss: 1.296967, train acc: 0.413333, train avg acc: 0.415501
Test 54, loss: 1.326696, test acc: 0.425000, test avg acc: 0.422475
Train 55, loss: 1.311625, train acc: 0.440000, train avg acc: 0.438962
Test 55, loss: 1.354878, test acc: 0.375000, test avg acc: 0.369192
Train 56, loss: 1.287733, train acc: 0.506667, train avg acc: 0.508001
Test 56, loss: 1.286550, test acc: 0.475000, test avg acc: 0.452778
Train 57, loss: 1.265101, train acc: 0.480000, train avg acc: 0.481635
Test 57, loss: 1.290482, test acc: 0.400000, test avg acc: 0.384091
Train 58, loss: 1.306979, train acc: 0.400000, train avg acc: 0.402088
Test 58, loss: 1.271740, test acc: 0.425000, test avg acc: 0.418434
Train 59, loss: 1.267085, train acc: 0.453333, train avg acc: 0.453222
Test 59, loss: 1.268305, test acc: 0.475000, test avg acc: 0.460101
Train 60, loss: 1.257800, train acc: 0.500000, train avg acc: 0.497688
Test 60, loss: 1.246093, test acc: 0.575000, test avg acc: 0.557828
Train 61, loss: 1.240356, train acc: 0.486667, train avg acc: 0.500714
Test 61, loss: 1.234086, test acc: 0.475000, test avg acc: 0.450000
Train 62, loss: 1.238115, train acc: 0.546667, train avg acc: 0.555847
Test 62, loss: 1.264248, test acc: 0.425000, test avg acc: 0.411364
Train 63, loss: 1.245984, train acc: 0.513333, train avg acc: 0.520543
Test 63, loss: 1.216786, test acc: 0.625000, test avg acc: 0.608333
Train 64, loss: 1.211329, train acc: 0.540000, train avg acc: 0.537229
Test 64, loss: 1.243108, test acc: 0.450000, test avg acc: 0.434091
Train 65, loss: 1.233321, train acc: 0.540000, train avg acc: 0.537078
Test 65, loss: 1.270632, test acc: 0.425000, test avg acc: 0.411364
Train 66, loss: 1.227059, train acc: 0.486667, train avg acc: 0.497918
Test 66, loss: 1.235970, test acc: 0.500000, test avg acc: 0.487879
Train 67, loss: 1.221878, train acc: 0.493333, train avg acc: 0.494802
Test 67, loss: 1.174305, test acc: 0.600000, test avg acc: 0.587374
Train 68, loss: 1.193029, train acc: 0.520000, train avg acc: 0.521693
Test 68, loss: 1.220114, test acc: 0.475000, test avg acc: 0.461364
Train 69, loss: 1.175297, train acc: 0.566667, train avg acc: 0.570513
Test 69, loss: 1.181048, test acc: 0.550000, test avg acc: 0.529545
Train 70, loss: 1.202884, train acc: 0.566667, train avg acc: 0.577384
Test 70, loss: 1.191021, test acc: 0.525000, test avg acc: 0.508333
Train 71, loss: 1.181120, train acc: 0.553333, train avg acc: 0.559999
Test 71, loss: 1.164201, test acc: 0.575000, test avg acc: 0.563889
Train 72, loss: 1.188480, train acc: 0.560000, train avg acc: 0.564103
Test 72, loss: 1.147514, test acc: 0.600000, test avg acc: 0.583333
Train 73, loss: 1.191638, train acc: 0.506667, train avg acc: 0.512582
Test 73, loss: 1.141600, test acc: 0.525000, test avg acc: 0.505051
Train 74, loss: 1.196964, train acc: 0.526667, train avg acc: 0.546009
Test 74, loss: 1.117708, test acc: 0.600000, test avg acc: 0.580556
Train 75, loss: 1.191299, train acc: 0.533333, train avg acc: 0.535740
Test 75, loss: 1.182486, test acc: 0.525000, test avg acc: 0.511111
Train 76, loss: 1.174291, train acc: 0.553333, train avg acc: 0.556401
Test 76, loss: 1.220076, test acc: 0.525000, test avg acc: 0.516667
Train 77, loss: 1.158257, train acc: 0.566667, train avg acc: 0.567842
Test 77, loss: 1.132853, test acc: 0.575000, test avg acc: 0.566667
Train 78, loss: 1.160069, train acc: 0.560000, train avg acc: 0.568315
Test 78, loss: 1.132595, test acc: 0.475000, test avg acc: 0.458333
Train 79, loss: 1.157043, train acc: 0.540000, train avg acc: 0.540680
Test 79, loss: 1.157248, test acc: 0.575000, test avg acc: 0.555556
Train 80, loss: 1.158458, train acc: 0.586667, train avg acc: 0.597697
Test 80, loss: 1.147376, test acc: 0.575000, test avg acc: 0.552778
Train 81, loss: 1.121405, train acc: 0.613333, train avg acc: 0.618640
Test 81, loss: 1.126845, test acc: 0.575000, test avg acc: 0.555556
Train 82, loss: 1.122413, train acc: 0.666667, train avg acc: 0.665613
Test 82, loss: 1.093047, test acc: 0.675000, test avg acc: 0.655556
Train 83, loss: 1.126087, train acc: 0.586667, train avg acc: 0.584816
Test 83, loss: 1.111661, test acc: 0.675000, test avg acc: 0.658333
Train 84, loss: 1.125072, train acc: 0.593333, train avg acc: 0.597193
Test 84, loss: 1.094566, test acc: 0.600000, test avg acc: 0.583333
Train 85, loss: 1.067237, train acc: 0.733333, train avg acc: 0.738438
Test 85, loss: 1.127201, test acc: 0.600000, test avg acc: 0.580556
Train 86, loss: 1.156480, train acc: 0.580000, train avg acc: 0.587500
Test 86, loss: 1.105911, test acc: 0.575000, test avg acc: 0.552778
Train 87, loss: 1.116571, train acc: 0.613333, train avg acc: 0.612476
Test 87, loss: 1.165029, test acc: 0.550000, test avg acc: 0.530556
Train 88, loss: 1.116163, train acc: 0.613333, train avg acc: 0.614474
Test 88, loss: 1.188210, test acc: 0.550000, test avg acc: 0.527778
Train 89, loss: 1.153740, train acc: 0.560000, train avg acc: 0.573897
Test 89, loss: 1.085805, test acc: 0.575000, test avg acc: 0.552778
Train 90, loss: 1.104545, train acc: 0.646667, train avg acc: 0.645777
Test 90, loss: 1.067085, test acc: 0.625000, test avg acc: 0.602778
Train 91, loss: 1.109635, train acc: 0.626667, train avg acc: 0.626067
Test 91, loss: 1.082404, test acc: 0.650000, test avg acc: 0.625000
Train 92, loss: 1.127238, train acc: 0.633333, train avg acc: 0.644973
Test 92, loss: 1.080475, test acc: 0.650000, test avg acc: 0.633333
Train 93, loss: 1.070804, train acc: 0.666667, train avg acc: 0.668421
Test 93, loss: 1.083623, test acc: 0.600000, test avg acc: 0.583333
Train 94, loss: 1.106365, train acc: 0.646667, train avg acc: 0.651778
Test 94, loss: 1.096781, test acc: 0.600000, test avg acc: 0.588384
Train 95, loss: 1.070915, train acc: 0.693333, train avg acc: 0.689327
Test 95, loss: 1.140672, test acc: 0.600000, test avg acc: 0.591667
Train 96, loss: 1.051481, train acc: 0.660000, train avg acc: 0.658539
Test 96, loss: 1.148179, test acc: 0.675000, test avg acc: 0.663889
Train 97, loss: 1.095918, train acc: 0.626667, train avg acc: 0.630664
Test 97, loss: 1.079529, test acc: 0.575000, test avg acc: 0.550000
Train 98, loss: 1.095891, train acc: 0.640000, train avg acc: 0.643162
Test 98, loss: 1.080133, test acc: 0.675000, test avg acc: 0.658333
Train 99, loss: 1.069233, train acc: 0.693333, train avg acc: 0.702674
Test 99, loss: 1.065944, test acc: 0.700000, test avg acc: 0.686111
Train 100, loss: 1.057163, train acc: 0.686667, train avg acc: 0.685410
Test 100, loss: 1.052594, test acc: 0.650000, test avg acc: 0.633333
Train 101, loss: 1.060172, train acc: 0.693333, train avg acc: 0.697505
Test 101, loss: 1.038381, test acc: 0.725000, test avg acc: 0.707828
Train 102, loss: 1.073894, train acc: 0.693333, train avg acc: 0.697650
Test 102, loss: 1.006646, test acc: 0.675000, test avg acc: 0.652778
Train 103, loss: 1.034894, train acc: 0.700000, train avg acc: 0.699366
Test 103, loss: 1.058847, test acc: 0.650000, test avg acc: 0.627778
Train 104, loss: 1.050767, train acc: 0.706667, train avg acc: 0.714529
Test 104, loss: 1.081235, test acc: 0.650000, test avg acc: 0.633333
Train 105, loss: 1.019326, train acc: 0.726667, train avg acc: 0.731792
Test 105, loss: 1.116717, test acc: 0.650000, test avg acc: 0.636111
Train 106, loss: 1.028087, train acc: 0.746667, train avg acc: 0.747919
Test 106, loss: 1.094456, test acc: 0.650000, test avg acc: 0.633333
Train 107, loss: 1.020363, train acc: 0.746667, train avg acc: 0.751687
Test 107, loss: 1.055563, test acc: 0.675000, test avg acc: 0.652778
Train 108, loss: 1.071508, train acc: 0.680000, train avg acc: 0.689187
Test 108, loss: 1.022587, test acc: 0.725000, test avg acc: 0.705556
Train 109, loss: 1.045327, train acc: 0.700000, train avg acc: 0.710117
Test 109, loss: 1.018784, test acc: 0.675000, test avg acc: 0.655556
Train 110, loss: 1.041047, train acc: 0.700000, train avg acc: 0.704564
Test 110, loss: 1.060961, test acc: 0.650000, test avg acc: 0.627778
Train 111, loss: 1.012413, train acc: 0.746667, train avg acc: 0.749289
Test 111, loss: 1.039775, test acc: 0.700000, test avg acc: 0.677778
Train 112, loss: 1.013406, train acc: 0.753333, train avg acc: 0.753023
Test 112, loss: 1.022365, test acc: 0.675000, test avg acc: 0.652778
Train 113, loss: 1.003549, train acc: 0.720000, train avg acc: 0.720661
Test 113, loss: 0.996693, test acc: 0.775000, test avg acc: 0.761111
Train 114, loss: 1.002843, train acc: 0.740000, train avg acc: 0.737526
Test 114, loss: 0.981255, test acc: 0.675000, test avg acc: 0.663889
Train 115, loss: 1.025036, train acc: 0.713333, train avg acc: 0.718530
Test 115, loss: 1.005816, test acc: 0.675000, test avg acc: 0.663889
Train 116, loss: 0.985905, train acc: 0.753333, train avg acc: 0.761638
Test 116, loss: 0.999357, test acc: 0.725000, test avg acc: 0.716667
Train 117, loss: 1.006391, train acc: 0.786667, train avg acc: 0.784722
Test 117, loss: 0.997139, test acc: 0.725000, test avg acc: 0.719444
Train 118, loss: 0.984420, train acc: 0.733333, train avg acc: 0.732912
Test 118, loss: 0.958175, test acc: 0.750000, test avg acc: 0.741667
Train 119, loss: 0.987808, train acc: 0.760000, train avg acc: 0.766363
Test 119, loss: 0.965104, test acc: 0.750000, test avg acc: 0.738889
Train 120, loss: 0.976914, train acc: 0.786667, train avg acc: 0.789296
Test 120, loss: 0.973847, test acc: 0.700000, test avg acc: 0.677778
Train 121, loss: 0.988925, train acc: 0.760000, train avg acc: 0.761261
Test 121, loss: 0.954091, test acc: 0.725000, test avg acc: 0.705556
Train 122, loss: 0.981372, train acc: 0.806667, train avg acc: 0.800863
Test 122, loss: 0.960319, test acc: 0.700000, test avg acc: 0.683333
Train 123, loss: 0.962323, train acc: 0.773333, train avg acc: 0.767773
Test 123, loss: 0.950892, test acc: 0.750000, test avg acc: 0.736111
Train 124, loss: 0.963562, train acc: 0.813333, train avg acc: 0.808059
Test 124, loss: 0.949780, test acc: 0.800000, test avg acc: 0.788889
Train 125, loss: 0.999638, train acc: 0.746667, train avg acc: 0.747917
Test 125, loss: 0.957934, test acc: 0.825000, test avg acc: 0.813889
Train 126, loss: 0.963874, train acc: 0.813333, train avg acc: 0.817587
Test 126, loss: 0.996534, test acc: 0.700000, test avg acc: 0.680556
Train 127, loss: 0.950916, train acc: 0.806667, train avg acc: 0.806994
Test 127, loss: 0.963948, test acc: 0.775000, test avg acc: 0.761111
Train 128, loss: 0.963436, train acc: 0.786667, train avg acc: 0.785028
Test 128, loss: 0.942638, test acc: 0.800000, test avg acc: 0.786111
Train 129, loss: 0.946824, train acc: 0.820000, train avg acc: 0.823184
Test 129, loss: 0.946617, test acc: 0.750000, test avg acc: 0.733333
Train 130, loss: 0.947305, train acc: 0.820000, train avg acc: 0.825997
Test 130, loss: 0.958102, test acc: 0.750000, test avg acc: 0.733333
Train 131, loss: 0.952325, train acc: 0.800000, train avg acc: 0.799145
Test 131, loss: 0.946705, test acc: 0.825000, test avg acc: 0.813889
Train 132, loss: 0.952676, train acc: 0.793333, train avg acc: 0.787321
Test 132, loss: 0.934405, test acc: 0.725000, test avg acc: 0.713889
Train 133, loss: 0.948642, train acc: 0.826667, train avg acc: 0.830128
Test 133, loss: 0.938277, test acc: 0.700000, test avg acc: 0.686111
Train 134, loss: 0.947843, train acc: 0.853333, train avg acc: 0.861218
Test 134, loss: 0.942414, test acc: 0.775000, test avg acc: 0.761111
Train 135, loss: 0.953860, train acc: 0.820000, train avg acc: 0.822368
Test 135, loss: 0.936731, test acc: 0.750000, test avg acc: 0.730556
Train 136, loss: 0.948785, train acc: 0.813333, train avg acc: 0.811628
Test 136, loss: 0.938466, test acc: 0.800000, test avg acc: 0.780556
Train 137, loss: 0.938521, train acc: 0.846667, train avg acc: 0.844941
Test 137, loss: 0.939498, test acc: 0.800000, test avg acc: 0.783333
Train 138, loss: 0.953659, train acc: 0.820000, train avg acc: 0.820413
Test 138, loss: 0.933476, test acc: 0.800000, test avg acc: 0.788889
Train 139, loss: 0.930710, train acc: 0.833333, train avg acc: 0.828364
Test 139, loss: 0.967055, test acc: 0.750000, test avg acc: 0.736111
Train 140, loss: 0.938717, train acc: 0.833333, train avg acc: 0.835864
Test 140, loss: 1.000788, test acc: 0.775000, test avg acc: 0.758333
Train 141, loss: 0.960159, train acc: 0.806667, train avg acc: 0.804459
Test 141, loss: 0.947961, test acc: 0.800000, test avg acc: 0.783333
Train 142, loss: 0.963231, train acc: 0.806667, train avg acc: 0.811572
Test 142, loss: 0.940161, test acc: 0.800000, test avg acc: 0.783333
Train 143, loss: 0.940908, train acc: 0.820000, train avg acc: 0.817805
Test 143, loss: 0.943584, test acc: 0.850000, test avg acc: 0.838889
Train 144, loss: 0.926387, train acc: 0.820000, train avg acc: 0.819701
Test 144, loss: 0.930483, test acc: 0.825000, test avg acc: 0.813889
Train 145, loss: 0.922193, train acc: 0.833333, train avg acc: 0.835586
Test 145, loss: 0.925609, test acc: 0.825000, test avg acc: 0.816667
Train 146, loss: 0.922591, train acc: 0.853333, train avg acc: 0.853820
Test 146, loss: 0.931488, test acc: 0.800000, test avg acc: 0.786111
Train 147, loss: 0.927648, train acc: 0.840000, train avg acc: 0.839972
Test 147, loss: 0.929969, test acc: 0.775000, test avg acc: 0.758333
Train 148, loss: 0.945730, train acc: 0.800000, train avg acc: 0.800498
Test 148, loss: 0.929929, test acc: 0.800000, test avg acc: 0.783333
Train 149, loss: 0.920484, train acc: 0.846667, train avg acc: 0.845101
Test 149, loss: 0.927634, test acc: 0.775000, test avg acc: 0.761111
Train 150, loss: 0.941041, train acc: 0.820000, train avg acc: 0.821413
