K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.915847, test acc: 0.800000, test avg acc: 0.786111
Train 44, loss: 0.961619, train acc: 0.786667, train avg acc: 0.796173
Test 44, loss: 0.925750, test acc: 0.800000, test avg acc: 0.794444
Train 45, loss: 0.980742, train acc: 0.773333, train avg acc: 0.778048
Test 45, loss: 0.925768, test acc: 0.825000, test avg acc: 0.819444
Train 46, loss: 0.973028, train acc: 0.780000, train avg acc: 0.778067
Test 46, loss: 0.912632, test acc: 0.825000, test avg acc: 0.811111
Train 47, loss: 0.952998, train acc: 0.773333, train avg acc: 0.775295
Test 47, loss: 0.930128, test acc: 0.775000, test avg acc: 0.755556
Train 48, loss: 0.954555, train acc: 0.786667, train avg acc: 0.784615
Test 48, loss: 0.930296, test acc: 0.825000, test avg acc: 0.813889
Train 49, loss: 0.963199, train acc: 0.826667, train avg acc: 0.827789
Test 49, loss: 0.917824, test acc: 0.850000, test avg acc: 0.841667
Train 50, loss: 0.961607, train acc: 0.773333, train avg acc: 0.771564
Test 50, loss: 0.918158, test acc: 0.800000, test avg acc: 0.788889
Train 51, loss: 0.968459, train acc: 0.813333, train avg acc: 0.820687
Test 51, loss: 0.914938, test acc: 0.800000, test avg acc: 0.788889
Train 52, loss: 0.955215, train acc: 0.793333, train avg acc: 0.796053
Test 52, loss: 0.914480, test acc: 0.825000, test avg acc: 0.813889
Train 53, loss: 0.940388, train acc: 0.780000, train avg acc: 0.776316
Test 53, loss: 0.917670, test acc: 0.750000, test avg acc: 0.738889
Train 54, loss: 0.932884, train acc: 0.840000, train avg acc: 0.839260
Test 54, loss: 0.912720, test acc: 0.800000, test avg acc: 0.791667
Train 55, loss: 0.973009, train acc: 0.780000, train avg acc: 0.778571
Test 55, loss: 0.902331, test acc: 0.850000, test avg acc: 0.838889
Train 56, loss: 0.941166, train acc: 0.773333, train avg acc: 0.779493
Test 56, loss: 0.904173, test acc: 0.825000, test avg acc: 0.813889
Train 57, loss: 0.958326, train acc: 0.786667, train avg acc: 0.787773
Test 57, loss: 0.909491, test acc: 0.850000, test avg acc: 0.838889
Train 58, loss: 0.951216, train acc: 0.760000, train avg acc: 0.763158
Test 58, loss: 0.915294, test acc: 0.850000, test avg acc: 0.841667
Train 59, loss: 0.932734, train acc: 0.840000, train avg acc: 0.839913
Test 59, loss: 0.910507, test acc: 0.850000, test avg acc: 0.841667
Train 60, loss: 0.940957, train acc: 0.800000, train avg acc: 0.800563
