K: 10, local_K: 10, Batch: 5.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 1.022914, test acc: 0.725000, test avg acc: 0.713889
Train 44, loss: 1.125409, train acc: 0.650000, train avg acc: 0.652400
Test 44, loss: 1.016040, test acc: 0.700000, test avg acc: 0.675000
Train 45, loss: 1.195012, train acc: 0.575000, train avg acc: 0.579229
Test 45, loss: 1.164073, test acc: 0.475000, test avg acc: 0.479545
Train 46, loss: 1.120160, train acc: 0.643750, train avg acc: 0.646310
Test 46, loss: 1.106882, test acc: 0.675000, test avg acc: 0.675000
Train 47, loss: 1.167014, train acc: 0.612500, train avg acc: 0.615365
Test 47, loss: 1.074368, test acc: 0.700000, test avg acc: 0.700000
Train 48, loss: 1.097645, train acc: 0.681250, train avg acc: 0.684123
Test 48, loss: 1.022703, test acc: 0.700000, test avg acc: 0.697222
Train 49, loss: 1.130792, train acc: 0.681250, train avg acc: 0.683963
Test 49, loss: 1.097231, test acc: 0.600000, test avg acc: 0.600000
Train 50, loss: 1.206909, train acc: 0.575000, train avg acc: 0.578322
Test 50, loss: 1.065493, test acc: 0.725000, test avg acc: 0.700000
Train 51, loss: 1.095062, train acc: 0.656250, train avg acc: 0.658955
Test 51, loss: 1.028325, test acc: 0.725000, test avg acc: 0.700000
Train 52, loss: 1.149306, train acc: 0.612500, train avg acc: 0.614572
Test 52, loss: 1.255919, test acc: 0.525000, test avg acc: 0.500000
Train 53, loss: 1.144623, train acc: 0.637500, train avg acc: 0.640686
Test 53, loss: 1.021974, test acc: 0.750000, test avg acc: 0.750000
Train 54, loss: 1.161135, train acc: 0.550000, train avg acc: 0.553619
Test 54, loss: 1.030897, test acc: 0.700000, test avg acc: 0.700000
Train 55, loss: 1.128867, train acc: 0.618750, train avg acc: 0.621623
Test 55, loss: 1.065157, test acc: 0.700000, test avg acc: 0.675000
Train 56, loss: 1.125897, train acc: 0.618750, train avg acc: 0.621287
Test 56, loss: 1.033655, test acc: 0.750000, test avg acc: 0.733333
Train 57, loss: 1.094037, train acc: 0.662500, train avg acc: 0.665822
Test 57, loss: 1.010222, test acc: 0.725000, test avg acc: 0.725000
Train 58, loss: 1.123828, train acc: 0.612500, train avg acc: 0.615990
Test 58, loss: 1.053714, test acc: 0.775000, test avg acc: 0.752778
Train 59, loss: 1.157172, train acc: 0.587500, train avg acc: 0.590060
Test 59, loss: 1.008890, test acc: 0.750000, test avg acc: 0.744444
Train 60, loss: 1.121423, train acc: 0.606250, train avg acc: 0.609275
Test 60, loss: 1.009669, test acc: 0.725000, test avg acc: 0.725000
Train 61, loss: 1.097366, train acc: 0.656250, train avg acc: 0.658497
Test 61, loss: 1.098424, test acc: 0.575000, test avg acc: 0.575000
Train 62, loss: 1.121436, train acc: 0.631250, train avg acc: 0.634565
Test 62, loss: 1.030536, test acc: 0.750000, test avg acc: 0.738889
Train 63, loss: 1.105716, train acc: 0.656250, train avg acc: 0.657903
Test 63, loss: 1.114917, test acc: 0.725000, test avg acc: 0.700000
Train 64, loss: 1.161115, train acc: 0.606250, train avg acc: 0.609733
Test 64, loss: 1.152860, test acc: 0.625000, test avg acc: 0.600000
Train 65, loss: 1.146078, train acc: 0.681250, train avg acc: 0.684123
Test 65, loss: 1.058191, test acc: 0.650000, test avg acc: 0.638889
Train 66, loss: 1.122113, train acc: 0.662500, train avg acc: 0.664290
Test 66, loss: 1.008653, test acc: 0.725000, test avg acc: 0.716667
Train 67, loss: 1.105882, train acc: 0.662500, train avg acc: 0.665686
Test 67, loss: 1.064654, test acc: 0.675000, test avg acc: 0.650000
Train 68, loss: 1.111036, train acc: 0.637500, train avg acc: 0.641288
Test 68, loss: 1.096386, test acc: 0.700000, test avg acc: 0.700000
Train 69, loss: 1.106042, train acc: 0.612500, train avg acc: 0.615525
Test 69, loss: 1.040166, test acc: 0.775000, test avg acc: 0.752778
Train 70, loss: 1.175292, train acc: 0.612500, train avg acc: 0.615349
Test 70, loss: 1.110744, test acc: 0.600000, test avg acc: 0.575000
Train 71, loss: 1.092861, train acc: 0.700000, train avg acc: 0.703659
Test 71, loss: 1.067316, test acc: 0.725000, test avg acc: 0.708333
Train 72, loss: 1.124875, train acc: 0.606250, train avg acc: 0.610198
Test 72, loss: 1.065599, test acc: 0.725000, test avg acc: 0.725000
Train 73, loss: 1.065488, train acc: 0.712500, train avg acc: 0.715854
Test 73, loss: 1.035127, test acc: 0.725000, test avg acc: 0.700000
Train 74, loss: 1.093164, train acc: 0.662500, train avg acc: 0.665510
Test 74, loss: 1.049632, test acc: 0.675000, test avg acc: 0.669444
Train 75, loss: 1.099008, train acc: 0.631250, train avg acc: 0.633482
Test 75, loss: 1.017052, test acc: 0.750000, test avg acc: 0.733333
Train 76, loss: 1.090394, train acc: 0.687500, train avg acc: 0.690365
Test 76, loss: 1.041079, test acc: 0.750000, test avg acc: 0.725000
Train 77, loss: 1.133770, train acc: 0.637500, train avg acc: 0.640975
Test 77, loss: 0.977148, test acc: 0.750000, test avg acc: 0.727778
Train 78, loss: 1.105527, train acc: 0.687500, train avg acc: 0.690389
Test 78, loss: 1.046283, test acc: 0.650000, test avg acc: 0.627778
Train 79, loss: 1.132844, train acc: 0.593750, train avg acc: 0.595364
Test 79, loss: 0.985543, test acc: 0.775000, test avg acc: 0.750000
Train 80, loss: 1.107536, train acc: 0.631250, train avg acc: 0.635495
Test 80, loss: 1.061654, test acc: 0.700000, test avg acc: 0.702273
Train 81, loss: 1.138660, train acc: 0.656250, train avg acc: 0.659901
Test 81, loss: 1.028042, test acc: 0.825000, test avg acc: 0.808333
Train 82, loss: 1.142085, train acc: 0.631250, train avg acc: 0.634260
Test 82, loss: 1.020030, test acc: 0.750000, test avg acc: 0.750000
Train 83, loss: 1.150380, train acc: 0.650000, train avg acc: 0.652705
Test 83, loss: 1.087620, test acc: 0.650000, test avg acc: 0.650000
Train 84, loss: 1.100218, train acc: 0.650000, train avg acc: 0.654413
Test 84, loss: 1.033582, test acc: 0.750000, test avg acc: 0.725000
Train 85, loss: 1.170871, train acc: 0.593750, train avg acc: 0.596752
Test 85, loss: 1.086509, test acc: 0.600000, test avg acc: 0.591667
Train 86, loss: 1.080674, train acc: 0.643750, train avg acc: 0.646455
Test 86, loss: 1.061349, test acc: 0.750000, test avg acc: 0.725000
Train 87, loss: 1.091782, train acc: 0.656250, train avg acc: 0.659115
Test 87, loss: 1.052588, test acc: 0.725000, test avg acc: 0.725000
Train 88, loss: 1.063914, train acc: 0.706250, train avg acc: 0.709901
Test 88, loss: 1.039126, test acc: 0.700000, test avg acc: 0.700000
Train 89, loss: 1.060782, train acc: 0.718750, train avg acc: 0.721799
Test 89, loss: 1.025926, test acc: 0.700000, test avg acc: 0.694444
Train 90, loss: 1.085337, train acc: 0.656250, train avg acc: 0.659740
Test 90, loss: 1.012798, test acc: 0.725000, test avg acc: 0.725000
Train 91, loss: 1.111204, train acc: 0.600000, train avg acc: 0.603315
Test 91, loss: 1.067696, test acc: 0.775000, test avg acc: 0.772222
Train 92, loss: 1.117598, train acc: 0.618750, train avg acc: 0.621318
Test 92, loss: 1.055641, test acc: 0.750000, test avg acc: 0.738889
Train 93, loss: 1.157994, train acc: 0.587500, train avg acc: 0.591569
Test 93, loss: 1.050248, test acc: 0.700000, test avg acc: 0.694444
Train 94, loss: 1.069603, train acc: 0.662500, train avg acc: 0.665228
