K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Test 43, loss: 0.893617, test acc: 0.825000, test avg acc: 0.813889
Train 44, loss: 0.974733, train acc: 0.800000, train avg acc: 0.794857
Test 44, loss: 0.898069, test acc: 0.800000, test avg acc: 0.794444
Train 45, loss: 1.002449, train acc: 0.740000, train avg acc: 0.743421
Test 45, loss: 0.901619, test acc: 0.825000, test avg acc: 0.813889
Train 46, loss: 0.987547, train acc: 0.780000, train avg acc: 0.788088
Test 46, loss: 0.897548, test acc: 0.775000, test avg acc: 0.755556
Train 47, loss: 0.953263, train acc: 0.806667, train avg acc: 0.809211
Test 47, loss: 0.903465, test acc: 0.775000, test avg acc: 0.763889
Train 48, loss: 0.991174, train acc: 0.746667, train avg acc: 0.749658
Test 48, loss: 0.893224, test acc: 0.800000, test avg acc: 0.788889
Train 49, loss: 0.962240, train acc: 0.800000, train avg acc: 0.804309
Test 49, loss: 0.891787, test acc: 0.800000, test avg acc: 0.788889
Train 50, loss: 0.983247, train acc: 0.820000, train avg acc: 0.825621
Test 50, loss: 0.898258, test acc: 0.825000, test avg acc: 0.819444
Train 51, loss: 0.970835, train acc: 0.786667, train avg acc: 0.787398
Test 51, loss: 0.905305, test acc: 0.800000, test avg acc: 0.788889
Train 52, loss: 0.983654, train acc: 0.793333, train avg acc: 0.791480
Test 52, loss: 0.928213, test acc: 0.775000, test avg acc: 0.758333
Train 53, loss: 0.976080, train acc: 0.833333, train avg acc: 0.836993
Test 53, loss: 0.909518, test acc: 0.750000, test avg acc: 0.733333
Train 54, loss: 0.959934, train acc: 0.800000, train avg acc: 0.799431
Test 54, loss: 0.898893, test acc: 0.825000, test avg acc: 0.813889
Train 55, loss: 0.933428, train acc: 0.846667, train avg acc: 0.850709
Test 55, loss: 0.899688, test acc: 0.800000, test avg acc: 0.791667
Train 56, loss: 0.981688, train acc: 0.793333, train avg acc: 0.800214
Test 56, loss: 0.892090, test acc: 0.875000, test avg acc: 0.863889
Train 57, loss: 0.948194, train acc: 0.826667, train avg acc: 0.833446
Test 57, loss: 0.897409, test acc: 0.800000, test avg acc: 0.791667
Train 58, loss: 0.996880, train acc: 0.793333, train avg acc: 0.800169
Test 58, loss: 0.895867, test acc: 0.775000, test avg acc: 0.763889
Train 59, loss: 0.957721, train acc: 0.800000, train avg acc: 0.804122
Test 59, loss: 0.901408, test acc: 0.775000, test avg acc: 0.755556
Train 60, loss: 0.935706, train acc: 0.833333, train avg acc: 0.838816
Test 60, loss: 0.898969, test acc: 0.800000, test avg acc: 0.791667
Train 61, loss: 0.951225, train acc: 0.826667, train avg acc: 0.828582
Test 61, loss: 0.900568, test acc: 0.875000, test avg acc: 0.872222
Train 62, loss: 0.930193, train acc: 0.833333, train avg acc: 0.833393
Test 62, loss: 0.884697, test acc: 0.825000, test avg acc: 0.813889
Train 63, loss: 0.950114, train acc: 0.800000, train avg acc: 0.798898
Test 63, loss: 0.886477, test acc: 0.825000, test avg acc: 0.813889
Train 64, loss: 0.968955, train acc: 0.806667, train avg acc: 0.807405
Test 64, loss: 0.893114, test acc: 0.825000, test avg acc: 0.819444
Train 65, loss: 0.930325, train acc: 0.833333, train avg acc: 0.828829
Test 65, loss: 0.901626, test acc: 0.800000, test avg acc: 0.788889
Train 66, loss: 0.952108, train acc: 0.793333, train avg acc: 0.794444
Test 66, loss: 0.899633, test acc: 0.825000, test avg acc: 0.813889
Train 67, loss: 0.950741, train acc: 0.826667, train avg acc: 0.830218
Test 67, loss: 0.886550, test acc: 0.875000, test avg acc: 0.866667
Train 68, loss: 0.925644, train acc: 0.826667, train avg acc: 0.826814
Test 68, loss: 0.888675, test acc: 0.850000, test avg acc: 0.838889
Train 69, loss: 0.932891, train acc: 0.833333, train avg acc: 0.834104
Test 69, loss: 0.889859, test acc: 0.800000, test avg acc: 0.786111
Train 70, loss: 0.931947, train acc: 0.820000, train avg acc: 0.822419
Test 70, loss: 0.894036, test acc: 0.825000, test avg acc: 0.816667
Train 71, loss: 0.936810, train acc: 0.806667, train avg acc: 0.806721
Test 71, loss: 0.889116, test acc: 0.850000, test avg acc: 0.841667
Train 72, loss: 0.928627, train acc: 0.833333, train avg acc: 0.833037
Test 72, loss: 0.888856, test acc: 0.825000, test avg acc: 0.816667
Train 73, loss: 0.930831, train acc: 0.820000, train avg acc: 0.817923
Test 73, loss: 0.884448, test acc: 0.875000, test avg acc: 0.866667
Train 74, loss: 0.928398, train acc: 0.846667, train avg acc: 0.848684
Test 74, loss: 0.886067, test acc: 0.850000, test avg acc: 0.841667
Train 75, loss: 0.963692, train acc: 0.786667, train avg acc: 0.787696
Test 75, loss: 0.888902, test acc: 0.850000, test avg acc: 0.841667
Train 76, loss: 0.935391, train acc: 0.833333, train avg acc: 0.837213
Test 76, loss: 0.891912, test acc: 0.850000, test avg acc: 0.841667
Train 77, loss: 0.927576, train acc: 0.833333, train avg acc: 0.835349
Test 77, loss: 0.891827, test acc: 0.850000, test avg acc: 0.838889
Train 78, loss: 0.954668, train acc: 0.793333, train avg acc: 0.803686
Test 78, loss: 0.889160, test acc: 0.825000, test avg acc: 0.813889
Train 79, loss: 0.922001, train acc: 0.820000, train avg acc: 0.820038
Test 79, loss: 0.895381, test acc: 0.850000, test avg acc: 0.841667
Train 80, loss: 0.927783, train acc: 0.826667, train avg acc: 0.830215
Test 80, loss: 0.892553, test acc: 0.825000, test avg acc: 0.813889
Train 81, loss: 0.936142, train acc: 0.833333, train avg acc: 0.837213
Test 81, loss: 0.896868, test acc: 0.825000, test avg acc: 0.813889
Train 82, loss: 0.927851, train acc: 0.846667, train avg acc: 0.850169
Test 82, loss: 0.895476, test acc: 0.875000, test avg acc: 0.866667
Train 83, loss: 0.929639, train acc: 0.806667, train avg acc: 0.812247
Test 83, loss: 0.896827, test acc: 0.875000, test avg acc: 0.866667
Train 84, loss: 0.944763, train acc: 0.806667, train avg acc: 0.809252
Test 84, loss: 0.896083, test acc: 0.900000, test avg acc: 0.894444
Train 85, loss: 0.951785, train acc: 0.806667, train avg acc: 0.807173
Test 85, loss: 0.895268, test acc: 0.850000, test avg acc: 0.838889
Train 86, loss: 0.914822, train acc: 0.840000, train avg acc: 0.839547
Test 86, loss: 0.898294, test acc: 0.850000, test avg acc: 0.838889
Train 87, loss: 0.940434, train acc: 0.833333, train avg acc: 0.842147
Test 87, loss: 0.908525, test acc: 0.800000, test avg acc: 0.794444
Train 88, loss: 0.920410, train acc: 0.813333, train avg acc: 0.815226
Test 88, loss: 0.897856, test acc: 0.825000, test avg acc: 0.813889
Train 89, loss: 0.898249, train acc: 0.846667, train avg acc: 0.847084
Test 89, loss: 0.897515, test acc: 0.825000, test avg acc: 0.813889
Train 90, loss: 0.919225, train acc: 0.866667, train avg acc: 0.873026
Test 90, loss: 0.899337, test acc: 0.875000, test avg acc: 0.866667
Train 91, loss: 0.923033, train acc: 0.833333, train avg acc: 0.838225
Test 91, loss: 0.901245, test acc: 0.850000, test avg acc: 0.838889
Train 92, loss: 0.916237, train acc: 0.853333, train avg acc: 0.851608
Test 92, loss: 0.898247, test acc: 0.850000, test avg acc: 0.841667
Train 93, loss: 0.916909, train acc: 0.833333, train avg acc: 0.841186
Test 93, loss: 0.899198, test acc: 0.850000, test avg acc: 0.838889
Train 94, loss: 0.934486, train acc: 0.860000, train avg acc: 0.861645
Test 94, loss: 0.904175, test acc: 0.850000, test avg acc: 0.838889
Train 95, loss: 0.924519, train acc: 0.820000, train avg acc: 0.819879
Test 95, loss: 0.895717, test acc: 0.875000, test avg acc: 0.866667
Train 96, loss: 0.904463, train acc: 0.853333, train avg acc: 0.857456
Test 96, loss: 0.894137, test acc: 0.875000, test avg acc: 0.869444
Train 97, loss: 0.919502, train acc: 0.820000, train avg acc: 0.824454
Test 97, loss: 0.895048, test acc: 0.875000, test avg acc: 0.869444
Train 98, loss: 0.907802, train acc: 0.826667, train avg acc: 0.817614
Test 98, loss: 0.901239, test acc: 0.825000, test avg acc: 0.819444
Train 99, loss: 0.901868, train acc: 0.840000, train avg acc: 0.839771
Test 99, loss: 0.893577, test acc: 0.850000, test avg acc: 0.841667
Train 100, loss: 0.936398, train acc: 0.806667, train avg acc: 0.811177
Test 100, loss: 0.896753, test acc: 0.875000, test avg acc: 0.866667
Train 101, loss: 0.896110, train acc: 0.826667, train avg acc: 0.828526
Test 101, loss: 0.910108, test acc: 0.825000, test avg acc: 0.813889
Train 102, loss: 0.922755, train acc: 0.840000, train avg acc: 0.850000
Test 102, loss: 0.915063, test acc: 0.850000, test avg acc: 0.841667
Train 103, loss: 0.909589, train acc: 0.846667, train avg acc: 0.846541
Test 103, loss: 0.904999, test acc: 0.850000, test avg acc: 0.841667
Train 104, loss: 0.902746, train acc: 0.846667, train avg acc: 0.852218
Test 104, loss: 0.897463, test acc: 0.850000, test avg acc: 0.838889
Train 105, loss: 0.926230, train acc: 0.800000, train avg acc: 0.806419
Test 105, loss: 0.897041, test acc: 0.850000, test avg acc: 0.838889
Train 106, loss: 0.906065, train acc: 0.853333, train avg acc: 0.858974
Test 106, loss: 0.897698, test acc: 0.825000, test avg acc: 0.813889
Train 107, loss: 0.945934, train acc: 0.820000, train avg acc: 0.822368
Test 107, loss: 0.898333, test acc: 0.825000, test avg acc: 0.813889
Train 108, loss: 0.940145, train acc: 0.853333, train avg acc: 0.855263
Test 108, loss: 0.894967, test acc: 0.850000, test avg acc: 0.838889
Train 109, loss: 0.914741, train acc: 0.806667, train avg acc: 0.805832
Test 109, loss: 0.896166, test acc: 0.850000, test avg acc: 0.838889
Train 110, loss: 0.919112, train acc: 0.840000, train avg acc: 0.837838
Test 110, loss: 0.901669, test acc: 0.850000, test avg acc: 0.838889
Train 111, loss: 0.919774, train acc: 0.826667, train avg acc: 0.830972
Test 111, loss: 0.906351, test acc: 0.850000, test avg acc: 0.838889
Train 112, loss: 0.911140, train acc: 0.840000, train avg acc: 0.843259
Test 112, loss: 0.906835, test acc: 0.850000, test avg acc: 0.838889
Train 113, loss: 0.921915, train acc: 0.846667, train avg acc: 0.848310
Test 113, loss: 0.912514, test acc: 0.825000, test avg acc: 0.816667
Train 114, loss: 0.906701, train acc: 0.833333, train avg acc: 0.831871
Test 114, loss: 0.904032, test acc: 0.825000, test avg acc: 0.813889
Train 115, loss: 0.897825, train acc: 0.860000, train avg acc: 0.863889
Test 115, loss: 0.901249, test acc: 0.825000, test avg acc: 0.811111
Train 116, loss: 0.909139, train acc: 0.853333, train avg acc: 0.856202
Test 116, loss: 0.899187, test acc: 0.850000, test avg acc: 0.836111
Train 117, loss: 0.929794, train acc: 0.860000, train avg acc: 0.858440
Test 117, loss: 0.892186, test acc: 0.850000, test avg acc: 0.838889
Train 118, loss: 0.915791, train acc: 0.813333, train avg acc: 0.814011
Test 118, loss: 0.893905, test acc: 0.850000, test avg acc: 0.838889
Train 119, loss: 0.900490, train acc: 0.846667, train avg acc: 0.851689
Test 119, loss: 0.896616, test acc: 0.850000, test avg acc: 0.841667
Train 120, loss: 0.874094, train acc: 0.893333, train avg acc: 0.895243
Test 120, loss: 0.899238, test acc: 0.825000, test avg acc: 0.813889
Train 121, loss: 0.881295, train acc: 0.860000, train avg acc: 0.865461
Test 121, loss: 0.902406, test acc: 0.825000, test avg acc: 0.816667
Train 122, loss: 0.902477, train acc: 0.826667, train avg acc: 0.826991
Test 122, loss: 0.897151, test acc: 0.825000, test avg acc: 0.816667
Train 123, loss: 0.906158, train acc: 0.846667, train avg acc: 0.853618
Test 123, loss: 0.891146, test acc: 0.825000, test avg acc: 0.813889
Train 124, loss: 0.887868, train acc: 0.853333, train avg acc: 0.854470
Test 124, loss: 0.897391, test acc: 0.825000, test avg acc: 0.813889
Train 125, loss: 0.889781, train acc: 0.860000, train avg acc: 0.862266
Test 125, loss: 0.900665, test acc: 0.825000, test avg acc: 0.813889
Train 126, loss: 0.895104, train acc: 0.880000, train avg acc: 0.882432
Test 126, loss: 0.907051, test acc: 0.850000, test avg acc: 0.838889
Train 127, loss: 0.924441, train acc: 0.833333, train avg acc: 0.830409
Test 127, loss: 0.909756, test acc: 0.850000, test avg acc: 0.838889
Train 128, loss: 0.912106, train acc: 0.833333, train avg acc: 0.838394
Test 128, loss: 0.916739, test acc: 0.850000, test avg acc: 0.838889
Train 129, loss: 0.895418, train acc: 0.833333, train avg acc: 0.838682
Test 129, loss: 0.913278, test acc: 0.825000, test avg acc: 0.813889
Train 130, loss: 0.892794, train acc: 0.846667, train avg acc: 0.847222
Test 130, loss: 0.896532, test acc: 0.850000, test avg acc: 0.841667
Train 131, loss: 0.897390, train acc: 0.873333, train avg acc: 0.877024
Test 131, loss: 0.895755, test acc: 0.850000, test avg acc: 0.841667
Train 132, loss: 0.894499, train acc: 0.853333, train avg acc: 0.852381
Test 132, loss: 0.911101, test acc: 0.825000, test avg acc: 0.816667
Train 133, loss: 0.879813, train acc: 0.866667, train avg acc: 0.871795
Test 133, loss: 0.909809, test acc: 0.825000, test avg acc: 0.813889
Train 134, loss: 0.882968, train acc: 0.880000, train avg acc: 0.881150
Test 134, loss: 0.913431, test acc: 0.800000, test avg acc: 0.786111
Train 135, loss: 0.905006, train acc: 0.846667, train avg acc: 0.853169
Test 135, loss: 0.912272, test acc: 0.850000, test avg acc: 0.841667
Train 136, loss: 0.887321, train acc: 0.886667, train avg acc: 0.887561
Test 136, loss: 0.911188, test acc: 0.850000, test avg acc: 0.841667
Train 137, loss: 0.903531, train acc: 0.860000, train avg acc: 0.858187
Test 137, loss: 0.911910, test acc: 0.850000, test avg acc: 0.841667
Train 138, loss: 0.895324, train acc: 0.860000, train avg acc: 0.860064
Test 138, loss: 0.903423, test acc: 0.825000, test avg acc: 0.813889
Train 139, loss: 0.889426, train acc: 0.873333, train avg acc: 0.876389
Test 139, loss: 0.898913, test acc: 0.850000, test avg acc: 0.841667
Train 140, loss: 0.904055, train acc: 0.860000, train avg acc: 0.858974
Test 140, loss: 0.900266, test acc: 0.850000, test avg acc: 0.841667
Train 141, loss: 0.894378, train acc: 0.873333, train avg acc: 0.873222
Test 141, loss: 0.909407, test acc: 0.850000, test avg acc: 0.841667
Train 142, loss: 0.880578, train acc: 0.866667, train avg acc: 0.866031
Test 142, loss: 0.905530, test acc: 0.850000, test avg acc: 0.841667
Train 143, loss: 0.882614, train acc: 0.866667, train avg acc: 0.868421
Test 143, loss: 0.898844, test acc: 0.850000, test avg acc: 0.841667
Train 144, loss: 0.889241, train acc: 0.886667, train avg acc: 0.889583
Test 144, loss: 0.900443, test acc: 0.850000, test avg acc: 0.841667
Train 145, loss: 0.885116, train acc: 0.886667, train avg acc: 0.890132
Test 145, loss: 0.907866, test acc: 0.850000, test avg acc: 0.841667
Train 146, loss: 0.915899, train acc: 0.846667, train avg acc: 0.844595
Test 146, loss: 0.906408, test acc: 0.850000, test avg acc: 0.841667
Train 147, loss: 0.875528, train acc: 0.886667, train avg acc: 0.887907
Test 147, loss: 0.919901, test acc: 0.825000, test avg acc: 0.816667
Train 148, loss: 0.883677, train acc: 0.860000, train avg acc: 0.858974
Test 148, loss: 0.913138, test acc: 0.850000, test avg acc: 0.844444
Train 149, loss: 0.893971, train acc: 0.860000, train avg acc: 0.864026
Test 149, loss: 0.912510, test acc: 0.825000, test avg acc: 0.813889
Train 150, loss: 0.879313, train acc: 0.866667, train avg acc: 0.869939
Test 150, loss: 0.914376, test acc: 0.850000, test avg acc: 0.841667
Train 151, loss: 0.872054, train acc: 0.906667, train avg acc: 0.909217
Test 151, loss: 0.922946, test acc: 0.850000, test avg acc: 0.841667
Train 152, loss: 0.891093, train acc: 0.873333, train avg acc: 0.875087
Test 152, loss: 0.921452, test acc: 0.850000, test avg acc: 0.841667
Train 153, loss: 0.870886, train acc: 0.880000, train avg acc: 0.879274
Test 153, loss: 0.918124, test acc: 0.850000, test avg acc: 0.841667
Train 154, loss: 0.900494, train acc: 0.820000, train avg acc: 0.822368
Test 154, loss: 0.913674, test acc: 0.850000, test avg acc: 0.841667
Train 155, loss: 0.882129, train acc: 0.860000, train avg acc: 0.867337
Test 155, loss: 0.922385, test acc: 0.850000, test avg acc: 0.841667
Train 156, loss: 0.867386, train acc: 0.886667, train avg acc: 0.891026
Test 156, loss: 0.930090, test acc: 0.850000, test avg acc: 0.841667
Train 157, loss: 0.885813, train acc: 0.873333, train avg acc: 0.876350
Test 157, loss: 0.937122, test acc: 0.850000, test avg acc: 0.841667
Train 158, loss: 0.911448, train acc: 0.866667, train avg acc: 0.870108
Test 158, loss: 0.929036, test acc: 0.825000, test avg acc: 0.813889
Train 159, loss: 0.899021, train acc: 0.853333, train avg acc: 0.854532
Test 159, loss: 0.908518, test acc: 0.850000, test avg acc: 0.841667
Train 160, loss: 0.872832, train acc: 0.873333, train avg acc: 0.871622
Test 160, loss: 0.903626, test acc: 0.850000, test avg acc: 0.841667
Train 161, loss: 0.897025, train acc: 0.866667, train avg acc: 0.863176
Test 161, loss: 0.915394, test acc: 0.850000, test avg acc: 0.844444
Train 162, loss: 0.887576, train acc: 0.880000, train avg acc: 0.883882
Test 162, loss: 0.913975, test acc: 0.850000, test avg acc: 0.841667
Train 163, loss: 0.890657, train acc: 0.880000, train avg acc: 0.884681
Test 163, loss: 0.923413, test acc: 0.850000, test avg acc: 0.841667
Train 164, loss: 0.879629, train acc: 0.886667, train avg acc: 0.887500
Test 164, loss: 0.922757, test acc: 0.875000, test avg acc: 0.869444
Train 165, loss: 0.878416, train acc: 0.860000, train avg acc: 0.858108
Test 165, loss: 0.926001, test acc: 0.850000, test avg acc: 0.841667
Train 166, loss: 0.891343, train acc: 0.860000, train avg acc: 0.858108
Test 166, loss: 0.932042, test acc: 0.825000, test avg acc: 0.816667
Train 167, loss: 0.872892, train acc: 0.873333, train avg acc: 0.876518
Test 167, loss: 0.918864, test acc: 0.825000, test avg acc: 0.816667
Train 168, loss: 0.893611, train acc: 0.873333, train avg acc: 0.873933
Test 168, loss: 0.899265, test acc: 0.850000, test avg acc: 0.841667
Train 169, loss: 0.904671, train acc: 0.820000, train avg acc: 0.824561
Test 169, loss: 0.899655, test acc: 0.850000, test avg acc: 0.841667
Train 170, loss: 0.878503, train acc: 0.880000, train avg acc: 0.881250
Test 170, loss: 0.910121, test acc: 0.850000, test avg acc: 0.841667
Train 171, loss: 0.887004, train acc: 0.906667, train avg acc: 0.910526
Test 171, loss: 0.928665, test acc: 0.850000, test avg acc: 0.844444
Train 172, loss: 0.864480, train acc: 0.880000, train avg acc: 0.879274
Test 172, loss: 0.923085, test acc: 0.850000, test avg acc: 0.841667
Train 173, loss: 0.864417, train acc: 0.873333, train avg acc: 0.872344
Test 173, loss: 0.924721, test acc: 0.825000, test avg acc: 0.813889
Train 174, loss: 0.868488, train acc: 0.873333, train avg acc: 0.872866
Test 174, loss: 0.915951, test acc: 0.825000, test avg acc: 0.813889
Train 175, loss: 0.896243, train acc: 0.866667, train avg acc: 0.873718
Test 175, loss: 0.920138, test acc: 0.850000, test avg acc: 0.841667
Train 176, loss: 0.875910, train acc: 0.886667, train avg acc: 0.891115
Test 176, loss: 0.931466, test acc: 0.850000, test avg acc: 0.841667
Train 177, loss: 0.849263, train acc: 0.920000, train avg acc: 0.920406
Test 177, loss: 0.933347, test acc: 0.850000, test avg acc: 0.841667
Train 178, loss: 0.868639, train acc: 0.893333, train avg acc: 0.899199
Test 178, loss: 0.947415, test acc: 0.825000, test avg acc: 0.816667
Train 179, loss: 0.875200, train acc: 0.886667, train avg acc: 0.886583
Test 179, loss: 0.950105, test acc: 0.850000, test avg acc: 0.841667
Train 180, loss: 0.870452, train acc: 0.880000, train avg acc: 0.877289
Test 180, loss: 0.948857, test acc: 0.850000, test avg acc: 0.841667
Train 181, loss: 0.868065, train acc: 0.893333, train avg acc: 0.891892
Test 181, loss: 0.935940, test acc: 0.850000, test avg acc: 0.841667
