K: 5, local_K: 5, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Test 43, loss: 0.942577, test acc: 0.775000, test avg acc: 0.761111
Train 44, loss: 0.931030, train acc: 0.866667, train avg acc: 0.868421
Test 44, loss: 0.914553, test acc: 0.825000, test avg acc: 0.811111
Train 45, loss: 0.915114, train acc: 0.893333, train avg acc: 0.895516
Test 45, loss: 0.906567, test acc: 0.850000, test avg acc: 0.836111
Train 46, loss: 0.881370, train acc: 0.893333, train avg acc: 0.894737
Test 46, loss: 0.903819, test acc: 0.800000, test avg acc: 0.780556
Train 47, loss: 0.925892, train acc: 0.866667, train avg acc: 0.871626
Test 47, loss: 0.926559, test acc: 0.800000, test avg acc: 0.780556
Train 48, loss: 0.937528, train acc: 0.833333, train avg acc: 0.831579
Test 48, loss: 0.932813, test acc: 0.775000, test avg acc: 0.763889
Train 49, loss: 0.902371, train acc: 0.853333, train avg acc: 0.858131
Test 49, loss: 0.917632, test acc: 0.750000, test avg acc: 0.736111
Train 50, loss: 0.896958, train acc: 0.893333, train avg acc: 0.896761
Test 50, loss: 0.932481, test acc: 0.825000, test avg acc: 0.811111
Train 51, loss: 0.911594, train acc: 0.853333, train avg acc: 0.846805
Test 51, loss: 0.929411, test acc: 0.775000, test avg acc: 0.763889
Train 52, loss: 0.875896, train acc: 0.880000, train avg acc: 0.879979
Test 52, loss: 0.918352, test acc: 0.825000, test avg acc: 0.811111
Train 53, loss: 0.883947, train acc: 0.913333, train avg acc: 0.910604
Test 53, loss: 0.940487, test acc: 0.800000, test avg acc: 0.780556
Train 54, loss: 0.874426, train acc: 0.880000, train avg acc: 0.876827
Test 54, loss: 0.924142, test acc: 0.800000, test avg acc: 0.780556
Train 55, loss: 0.901944, train acc: 0.873333, train avg acc: 0.873986
Test 55, loss: 0.923562, test acc: 0.775000, test avg acc: 0.758333
Train 56, loss: 0.917327, train acc: 0.860000, train avg acc: 0.868750
Test 56, loss: 0.923229, test acc: 0.800000, test avg acc: 0.780556
Train 57, loss: 0.868424, train acc: 0.900000, train avg acc: 0.900231
Test 57, loss: 0.917437, test acc: 0.800000, test avg acc: 0.780556
Train 58, loss: 0.899774, train acc: 0.880000, train avg acc: 0.888266
Test 58, loss: 0.921160, test acc: 0.800000, test avg acc: 0.780556
Train 59, loss: 0.879205, train acc: 0.900000, train avg acc: 0.901421
Test 59, loss: 0.921648, test acc: 0.800000, test avg acc: 0.791667
Train 60, loss: 0.883930, train acc: 0.893333, train avg acc: 0.894737
Test 60, loss: 0.928162, test acc: 0.800000, test avg acc: 0.780556
Train 61, loss: 0.872413, train acc: 0.866667, train avg acc: 0.870833
Test 61, loss: 0.900820, test acc: 0.800000, test avg acc: 0.780556
Train 62, loss: 0.867977, train acc: 0.913333, train avg acc: 0.917736
Test 62, loss: 0.900290, test acc: 0.800000, test avg acc: 0.780556
Train 63, loss: 0.881505, train acc: 0.920000, train avg acc: 0.918129
Test 63, loss: 0.920619, test acc: 0.800000, test avg acc: 0.780556
Train 64, loss: 0.881983, train acc: 0.893333, train avg acc: 0.894444
Test 64, loss: 0.905807, test acc: 0.825000, test avg acc: 0.808333
Train 65, loss: 0.855928, train acc: 0.926667, train avg acc: 0.926743
Test 65, loss: 0.911989, test acc: 0.800000, test avg acc: 0.780556
Train 66, loss: 0.872272, train acc: 0.933333, train avg acc: 0.932779
Test 66, loss: 0.915592, test acc: 0.800000, test avg acc: 0.780556
Train 67, loss: 0.851277, train acc: 0.906667, train avg acc: 0.911842
