K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Test 43, loss: 0.939778, test acc: 0.750000, test avg acc: 0.730556
Train 44, loss: 0.894754, train acc: 0.886667, train avg acc: 0.888158
Test 44, loss: 0.944705, test acc: 0.775000, test avg acc: 0.755556
Train 45, loss: 0.877243, train acc: 0.900000, train avg acc: 0.901045
Test 45, loss: 0.946827, test acc: 0.775000, test avg acc: 0.755556
Train 46, loss: 0.876877, train acc: 0.873333, train avg acc: 0.874822
Test 46, loss: 0.949019, test acc: 0.775000, test avg acc: 0.755556
Train 47, loss: 0.911373, train acc: 0.880000, train avg acc: 0.883673
Test 47, loss: 0.941936, test acc: 0.775000, test avg acc: 0.755556
Train 48, loss: 0.918232, train acc: 0.886667, train avg acc: 0.884774
Test 48, loss: 0.933597, test acc: 0.825000, test avg acc: 0.808333
Train 49, loss: 0.887595, train acc: 0.906667, train avg acc: 0.909582
Test 49, loss: 0.935734, test acc: 0.800000, test avg acc: 0.780556
Train 50, loss: 0.903698, train acc: 0.886667, train avg acc: 0.890182
Test 50, loss: 0.933010, test acc: 0.775000, test avg acc: 0.755556
Train 51, loss: 0.905913, train acc: 0.853333, train avg acc: 0.847368
Test 51, loss: 1.014725, test acc: 0.800000, test avg acc: 0.794444
Train 52, loss: 0.858283, train acc: 0.906667, train avg acc: 0.906472
Test 52, loss: 1.044579, test acc: 0.725000, test avg acc: 0.722222
Train 53, loss: 0.876354, train acc: 0.913333, train avg acc: 0.912320
Test 53, loss: 0.991201, test acc: 0.775000, test avg acc: 0.772222
Train 54, loss: 0.855038, train acc: 0.913333, train avg acc: 0.911915
Test 54, loss: 0.944993, test acc: 0.700000, test avg acc: 0.686111
Train 55, loss: 0.872424, train acc: 0.873333, train avg acc: 0.874879
Test 55, loss: 0.943533, test acc: 0.750000, test avg acc: 0.733333
Train 56, loss: 0.885534, train acc: 0.886667, train avg acc: 0.893750
Test 56, loss: 0.952226, test acc: 0.775000, test avg acc: 0.758333
Train 57, loss: 0.859988, train acc: 0.893333, train avg acc: 0.893314
Test 57, loss: 0.964989, test acc: 0.825000, test avg acc: 0.816667
Train 58, loss: 0.849235, train acc: 0.920000, train avg acc: 0.924192
Test 58, loss: 0.967951, test acc: 0.750000, test avg acc: 0.733333
Train 59, loss: 0.848234, train acc: 0.940000, train avg acc: 0.941615
Test 59, loss: 0.947776, test acc: 0.775000, test avg acc: 0.758333
Train 60, loss: 0.850211, train acc: 0.933333, train avg acc: 0.934211
Test 60, loss: 0.944568, test acc: 0.800000, test avg acc: 0.786111
Train 61, loss: 0.826805, train acc: 0.940000, train avg acc: 0.941667
Test 61, loss: 0.958119, test acc: 0.750000, test avg acc: 0.738889
Train 62, loss: 0.885169, train acc: 0.900000, train avg acc: 0.902703
Test 62, loss: 0.957575, test acc: 0.775000, test avg acc: 0.763889
Train 63, loss: 0.861382, train acc: 0.900000, train avg acc: 0.898757
Test 63, loss: 0.949726, test acc: 0.750000, test avg acc: 0.738889
Train 64, loss: 0.885966, train acc: 0.893333, train avg acc: 0.894444
Test 64, loss: 0.926215, test acc: 0.750000, test avg acc: 0.736111
Train 65, loss: 0.841998, train acc: 0.933333, train avg acc: 0.933677
Test 65, loss: 0.925801, test acc: 0.775000, test avg acc: 0.758333
Train 66, loss: 0.861562, train acc: 0.926667, train avg acc: 0.926022
Test 66, loss: 0.919090, test acc: 0.775000, test avg acc: 0.761111
Train 67, loss: 0.831544, train acc: 0.940000, train avg acc: 0.942763
Test 67, loss: 0.925283, test acc: 0.800000, test avg acc: 0.783333
Train 68, loss: 0.837516, train acc: 0.946667, train avg acc: 0.945175
Test 68, loss: 0.950271, test acc: 0.725000, test avg acc: 0.713889
Train 69, loss: 0.855690, train acc: 0.926667, train avg acc: 0.928101
Test 69, loss: 0.979317, test acc: 0.800000, test avg acc: 0.797222
Train 70, loss: 0.865969, train acc: 0.906667, train avg acc: 0.905505
Test 70, loss: 0.960797, test acc: 0.800000, test avg acc: 0.780556
Train 71, loss: 0.853366, train acc: 0.913333, train avg acc: 0.918109
Test 71, loss: 0.970069, test acc: 0.750000, test avg acc: 0.730556
Train 72, loss: 0.856221, train acc: 0.926667, train avg acc: 0.929487
Test 72, loss: 0.946412, test acc: 0.775000, test avg acc: 0.763889
Train 73, loss: 0.876883, train acc: 0.906667, train avg acc: 0.907895
Test 73, loss: 1.064850, test acc: 0.850000, test avg acc: 0.847222
Train 74, loss: 0.852537, train acc: 0.913333, train avg acc: 0.916160
Test 74, loss: 1.004793, test acc: 0.825000, test avg acc: 0.819444
Train 75, loss: 0.867198, train acc: 0.900000, train avg acc: 0.898649
Test 75, loss: 1.017363, test acc: 0.750000, test avg acc: 0.741667
Train 76, loss: 0.864113, train acc: 0.913333, train avg acc: 0.911915
Test 76, loss: 0.945414, test acc: 0.775000, test avg acc: 0.766667
Train 77, loss: 0.848044, train acc: 0.926667, train avg acc: 0.925113
Test 77, loss: 0.950070, test acc: 0.775000, test avg acc: 0.758333
Train 78, loss: 0.851999, train acc: 0.926667, train avg acc: 0.929150
Test 78, loss: 0.960280, test acc: 0.775000, test avg acc: 0.763889
Train 79, loss: 0.829364, train acc: 0.940000, train avg acc: 0.940434
Test 79, loss: 0.950216, test acc: 0.775000, test avg acc: 0.761111
Train 80, loss: 0.829462, train acc: 0.960000, train avg acc: 0.962171
Test 80, loss: 0.957884, test acc: 0.750000, test avg acc: 0.733333
Train 81, loss: 0.832785, train acc: 0.933333, train avg acc: 0.935204
Test 81, loss: 0.938377, test acc: 0.875000, test avg acc: 0.866667
Train 82, loss: 0.837935, train acc: 0.960000, train avg acc: 0.959993
Test 82, loss: 0.926441, test acc: 0.825000, test avg acc: 0.819444
Train 83, loss: 0.835730, train acc: 0.920000, train avg acc: 0.923026
Test 83, loss: 0.948442, test acc: 0.775000, test avg acc: 0.763889
Train 84, loss: 0.858461, train acc: 0.906667, train avg acc: 0.907051
Test 84, loss: 0.973095, test acc: 0.750000, test avg acc: 0.736111
Train 85, loss: 0.812415, train acc: 0.953333, train avg acc: 0.954453
Test 85, loss: 1.011634, test acc: 0.800000, test avg acc: 0.797222
Train 86, loss: 0.843089, train acc: 0.926667, train avg acc: 0.928101
Test 86, loss: 1.019911, test acc: 0.775000, test avg acc: 0.769444
Train 87, loss: 0.822285, train acc: 0.946667, train avg acc: 0.949199
Test 87, loss: 0.986738, test acc: 0.825000, test avg acc: 0.816667
Train 88, loss: 0.812139, train acc: 0.960000, train avg acc: 0.960468
Test 88, loss: 0.969709, test acc: 0.800000, test avg acc: 0.786111
Train 89, loss: 0.829965, train acc: 0.933333, train avg acc: 0.935223
Test 89, loss: 1.021676, test acc: 0.750000, test avg acc: 0.741667
Train 90, loss: 0.856308, train acc: 0.926667, train avg acc: 0.925073
Test 90, loss: 1.081908, test acc: 0.800000, test avg acc: 0.800000
Train 91, loss: 0.824615, train acc: 0.966667, train avg acc: 0.966909
Test 91, loss: 1.018697, test acc: 0.775000, test avg acc: 0.769444
Train 92, loss: 0.842030, train acc: 0.913333, train avg acc: 0.915627
Test 92, loss: 0.969872, test acc: 0.775000, test avg acc: 0.758333
Train 93, loss: 0.858507, train acc: 0.900000, train avg acc: 0.897849
Test 93, loss: 0.973843, test acc: 0.775000, test avg acc: 0.763889
Train 94, loss: 0.847200, train acc: 0.913333, train avg acc: 0.913762
Test 94, loss: 0.990452, test acc: 0.775000, test avg acc: 0.769444
Train 95, loss: 0.808179, train acc: 0.953333, train avg acc: 0.953930
Test 95, loss: 0.988624, test acc: 0.750000, test avg acc: 0.741667
Train 96, loss: 0.830841, train acc: 0.940000, train avg acc: 0.940078
Test 96, loss: 0.984404, test acc: 0.750000, test avg acc: 0.733333
Train 97, loss: 0.834496, train acc: 0.953333, train avg acc: 0.953947
Test 97, loss: 0.970056, test acc: 0.775000, test avg acc: 0.758333
Train 98, loss: 0.803735, train acc: 0.966667, train avg acc: 0.967443
Test 98, loss: 0.980327, test acc: 0.775000, test avg acc: 0.769444
Train 99, loss: 0.827340, train acc: 0.933333, train avg acc: 0.933499
Test 99, loss: 1.029677, test acc: 0.800000, test avg acc: 0.797222
Train 100, loss: 0.817759, train acc: 0.966667, train avg acc: 0.967818
Test 100, loss: 0.953977, test acc: 0.800000, test avg acc: 0.788889
Train 101, loss: 0.837781, train acc: 0.940000, train avg acc: 0.941239
Test 101, loss: 0.946114, test acc: 0.800000, test avg acc: 0.797222
Train 102, loss: 0.809121, train acc: 0.960000, train avg acc: 0.961538
Test 102, loss: 0.938075, test acc: 0.825000, test avg acc: 0.819444
Train 103, loss: 0.795897, train acc: 0.980000, train avg acc: 0.979532
Test 103, loss: 0.943667, test acc: 0.775000, test avg acc: 0.766667
Train 104, loss: 0.826356, train acc: 0.946667, train avg acc: 0.943750
Test 104, loss: 0.966758, test acc: 0.800000, test avg acc: 0.791667
Train 105, loss: 0.810650, train acc: 0.966667, train avg acc: 0.966880
Test 105, loss: 1.000014, test acc: 0.800000, test avg acc: 0.797222
Train 106, loss: 0.792194, train acc: 0.980000, train avg acc: 0.980236
Test 106, loss: 0.994990, test acc: 0.825000, test avg acc: 0.822222
Train 107, loss: 0.813435, train acc: 0.953333, train avg acc: 0.952703
Test 107, loss: 0.956271, test acc: 0.750000, test avg acc: 0.736111
Train 108, loss: 0.808096, train acc: 0.960000, train avg acc: 0.960499
Test 108, loss: 0.966378, test acc: 0.750000, test avg acc: 0.736111
