K: 5, local_K: 5, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.318381, train acc: 0.493333, train avg acc: 0.490091
Test 0, loss: 1.688487, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.519738, train acc: 0.526667, train avg acc: 0.528302
Test 1, loss: 3.977982, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.441896, train acc: 0.626667, train avg acc: 0.634275
Test 2, loss: 7.365318, test acc: 0.275000, test avg acc: 0.250000
Train 3, loss: 1.705834, train acc: 0.566667, train avg acc: 0.569163
Test 3, loss: 5.648385, test acc: 0.275000, test avg acc: 0.250000
Train 4, loss: 1.566087, train acc: 0.620000, train avg acc: 0.624533
Test 4, loss: 3.425351, test acc: 0.275000, test avg acc: 0.250000
Train 5, loss: 1.634700, train acc: 0.633333, train avg acc: 0.640353
Test 5, loss: 3.687811, test acc: 0.350000, test avg acc: 0.333333
Train 6, loss: 1.559265, train acc: 0.580000, train avg acc: 0.580833
Test 6, loss: 2.270661, test acc: 0.500000, test avg acc: 0.486111
Train 7, loss: 1.454390, train acc: 0.633333, train avg acc: 0.635599
Test 7, loss: 1.429143, test acc: 0.650000, test avg acc: 0.636111
Train 8, loss: 1.483226, train acc: 0.653333, train avg acc: 0.657025
Test 8, loss: 1.433892, test acc: 0.675000, test avg acc: 0.669444
Train 9, loss: 1.598393, train acc: 0.613333, train avg acc: 0.613304
Test 9, loss: 1.237442, test acc: 0.725000, test avg acc: 0.719444
Train 10, loss: 1.369108, train acc: 0.653333, train avg acc: 0.658497
Test 10, loss: 1.145880, test acc: 0.750000, test avg acc: 0.730051
Train 11, loss: 1.388518, train acc: 0.640000, train avg acc: 0.641003
Test 11, loss: 1.374743, test acc: 0.650000, test avg acc: 0.650758
Train 12, loss: 1.379585, train acc: 0.706667, train avg acc: 0.712345
Test 12, loss: 1.245751, test acc: 0.775000, test avg acc: 0.767929
Train 13, loss: 1.248641, train acc: 0.693333, train avg acc: 0.691034
Test 13, loss: 1.082741, test acc: 0.700000, test avg acc: 0.686111
Train 14, loss: 1.506056, train acc: 0.560000, train avg acc: 0.558466
Test 14, loss: 1.275523, test acc: 0.575000, test avg acc: 0.580808
Train 15, loss: 1.398217, train acc: 0.653333, train avg acc: 0.653663
Test 15, loss: 1.346077, test acc: 0.750000, test avg acc: 0.725000
Train 16, loss: 1.342024, train acc: 0.733333, train avg acc: 0.735356
Test 16, loss: 1.326281, test acc: 0.675000, test avg acc: 0.676768
Train 17, loss: 1.418144, train acc: 0.640000, train avg acc: 0.642959
Test 17, loss: 1.193104, test acc: 0.750000, test avg acc: 0.741667
Train 18, loss: 1.322437, train acc: 0.666667, train avg acc: 0.668007
Test 18, loss: 1.040686, test acc: 0.750000, test avg acc: 0.725000
Train 19, loss: 1.153945, train acc: 0.673333, train avg acc: 0.675393
Test 19, loss: 1.014665, test acc: 0.750000, test avg acc: 0.730556
Train 20, loss: 1.139997, train acc: 0.700000, train avg acc: 0.703216
Test 20, loss: 1.235292, test acc: 0.625000, test avg acc: 0.625253
Train 21, loss: 1.116417, train acc: 0.693333, train avg acc: 0.693457
Test 21, loss: 1.050898, test acc: 0.750000, test avg acc: 0.736111
Train 22, loss: 1.093622, train acc: 0.786667, train avg acc: 0.794292
Test 22, loss: 0.973356, test acc: 0.775000, test avg acc: 0.758333
Train 23, loss: 1.154101, train acc: 0.680000, train avg acc: 0.680654
Test 23, loss: 1.037811, test acc: 0.775000, test avg acc: 0.755556
Train 24, loss: 1.153634, train acc: 0.693333, train avg acc: 0.700457
Test 24, loss: 1.058229, test acc: 0.750000, test avg acc: 0.735606
Train 25, loss: 1.093796, train acc: 0.740000, train avg acc: 0.745496
Test 25, loss: 1.061401, test acc: 0.725000, test avg acc: 0.723990
Train 26, loss: 1.182542, train acc: 0.686667, train avg acc: 0.686878
Test 26, loss: 1.201735, test acc: 0.750000, test avg acc: 0.741667
Train 27, loss: 1.311348, train acc: 0.773333, train avg acc: 0.775814
Test 27, loss: 1.150532, test acc: 0.775000, test avg acc: 0.766667
Train 28, loss: 1.147351, train acc: 0.760000, train avg acc: 0.760135
Test 28, loss: 1.041535, test acc: 0.700000, test avg acc: 0.698485
Train 29, loss: 1.077244, train acc: 0.733333, train avg acc: 0.734970
Test 29, loss: 1.006065, test acc: 0.775000, test avg acc: 0.752778
Train 30, loss: 1.080357, train acc: 0.760000, train avg acc: 0.761608
Test 30, loss: 1.064673, test acc: 0.725000, test avg acc: 0.708333
Train 31, loss: 1.100830, train acc: 0.740000, train avg acc: 0.736477
Test 31, loss: 0.999911, test acc: 0.775000, test avg acc: 0.758333
Train 32, loss: 1.076835, train acc: 0.706667, train avg acc: 0.717407
Test 32, loss: 0.986218, test acc: 0.800000, test avg acc: 0.794444
Train 33, loss: 1.043219, train acc: 0.726667, train avg acc: 0.732909
Test 33, loss: 0.974470, test acc: 0.850000, test avg acc: 0.844444
Train 34, loss: 1.005497, train acc: 0.780000, train avg acc: 0.777374
Test 34, loss: 0.948580, test acc: 0.800000, test avg acc: 0.783333
Train 35, loss: 0.982317, train acc: 0.813333, train avg acc: 0.813410
