K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.937140, test acc: 0.825000, test avg acc: 0.811111
Train 44, loss: 0.994009, train acc: 0.746667, train avg acc: 0.752834
Test 44, loss: 0.926229, test acc: 0.850000, test avg acc: 0.838889
Train 45, loss: 0.950971, train acc: 0.793333, train avg acc: 0.805199
Test 45, loss: 0.926695, test acc: 0.800000, test avg acc: 0.791667
Train 46, loss: 0.986603, train acc: 0.766667, train avg acc: 0.775621
Test 46, loss: 0.923393, test acc: 0.825000, test avg acc: 0.816667
Train 47, loss: 0.942831, train acc: 0.833333, train avg acc: 0.831774
Test 47, loss: 0.915307, test acc: 0.775000, test avg acc: 0.761111
Train 48, loss: 0.959580, train acc: 0.786667, train avg acc: 0.794032
Test 48, loss: 0.916205, test acc: 0.825000, test avg acc: 0.819444
Train 49, loss: 0.941329, train acc: 0.820000, train avg acc: 0.820413
Test 49, loss: 0.919191, test acc: 0.800000, test avg acc: 0.794444
Train 50, loss: 0.961546, train acc: 0.793333, train avg acc: 0.798217
Test 50, loss: 0.919066, test acc: 0.825000, test avg acc: 0.811111
Train 51, loss: 0.960602, train acc: 0.806667, train avg acc: 0.814508
Test 51, loss: 0.923579, test acc: 0.800000, test avg acc: 0.783333
Train 52, loss: 0.941328, train acc: 0.826667, train avg acc: 0.823169
Test 52, loss: 0.937757, test acc: 0.825000, test avg acc: 0.813889
Train 53, loss: 0.949606, train acc: 0.833333, train avg acc: 0.841346
Test 53, loss: 0.927529, test acc: 0.800000, test avg acc: 0.786111
Train 54, loss: 0.955999, train acc: 0.760000, train avg acc: 0.757310
Test 54, loss: 0.921565, test acc: 0.825000, test avg acc: 0.813889
Train 55, loss: 0.944629, train acc: 0.800000, train avg acc: 0.807779
Test 55, loss: 0.912529, test acc: 0.850000, test avg acc: 0.838889
Train 56, loss: 0.982742, train acc: 0.793333, train avg acc: 0.797393
Test 56, loss: 0.912604, test acc: 0.850000, test avg acc: 0.838889
Train 57, loss: 0.938676, train acc: 0.826667, train avg acc: 0.824324
Test 57, loss: 0.917031, test acc: 0.850000, test avg acc: 0.841667
Train 58, loss: 0.946149, train acc: 0.800000, train avg acc: 0.809033
Test 58, loss: 0.911747, test acc: 0.850000, test avg acc: 0.836111
Train 59, loss: 0.961133, train acc: 0.760000, train avg acc: 0.764370
Test 59, loss: 0.926438, test acc: 0.825000, test avg acc: 0.816667
Train 60, loss: 0.953061, train acc: 0.793333, train avg acc: 0.801279
Test 60, loss: 0.938911, test acc: 0.800000, test avg acc: 0.783333
Train 61, loss: 0.930006, train acc: 0.853333, train avg acc: 0.852596
Test 61, loss: 0.922950, test acc: 0.800000, test avg acc: 0.783333
Train 62, loss: 0.948456, train acc: 0.800000, train avg acc: 0.802632
Test 62, loss: 0.925650, test acc: 0.800000, test avg acc: 0.786111
Train 63, loss: 0.932537, train acc: 0.813333, train avg acc: 0.814622
Test 63, loss: 0.940320, test acc: 0.850000, test avg acc: 0.841667
Train 64, loss: 0.969239, train acc: 0.806667, train avg acc: 0.813282
Test 64, loss: 0.925995, test acc: 0.850000, test avg acc: 0.841667
Train 65, loss: 0.940160, train acc: 0.826667, train avg acc: 0.827443
Test 65, loss: 0.917212, test acc: 0.875000, test avg acc: 0.866667
Train 66, loss: 0.936416, train acc: 0.820000, train avg acc: 0.821283
Test 66, loss: 0.920385, test acc: 0.875000, test avg acc: 0.866667
Train 67, loss: 0.949077, train acc: 0.820000, train avg acc: 0.819701
Test 67, loss: 0.928250, test acc: 0.850000, test avg acc: 0.838889
Train 68, loss: 0.943448, train acc: 0.786667, train avg acc: 0.793243
Test 68, loss: 0.921191, test acc: 0.800000, test avg acc: 0.783333
Train 69, loss: 0.911696, train acc: 0.833333, train avg acc: 0.829672
Test 69, loss: 0.929771, test acc: 0.875000, test avg acc: 0.869444
Train 70, loss: 0.930787, train acc: 0.833333, train avg acc: 0.831428
Test 70, loss: 0.931142, test acc: 0.825000, test avg acc: 0.813889
Train 71, loss: 0.901221, train acc: 0.860000, train avg acc: 0.861920
Test 71, loss: 0.931584, test acc: 0.750000, test avg acc: 0.730556
Train 72, loss: 0.963770, train acc: 0.826667, train avg acc: 0.823737
Test 72, loss: 0.929446, test acc: 0.800000, test avg acc: 0.783333
Train 73, loss: 0.952352, train acc: 0.766667, train avg acc: 0.764976
Test 73, loss: 0.919913, test acc: 0.875000, test avg acc: 0.869444
Train 74, loss: 0.952512, train acc: 0.760000, train avg acc: 0.763158
Test 74, loss: 0.935300, test acc: 0.775000, test avg acc: 0.772222
Train 75, loss: 0.931449, train acc: 0.846667, train avg acc: 0.844190
Test 75, loss: 0.913421, test acc: 0.875000, test avg acc: 0.866667
Train 76, loss: 0.931265, train acc: 0.786667, train avg acc: 0.786984
Test 76, loss: 0.914886, test acc: 0.775000, test avg acc: 0.755556
Train 77, loss: 0.922518, train acc: 0.840000, train avg acc: 0.842491
Test 77, loss: 0.918408, test acc: 0.850000, test avg acc: 0.838889
Train 78, loss: 0.921353, train acc: 0.820000, train avg acc: 0.821726
Test 78, loss: 0.936702, test acc: 0.850000, test avg acc: 0.847222
Train 79, loss: 0.938937, train acc: 0.826667, train avg acc: 0.830466
Test 79, loss: 0.933126, test acc: 0.825000, test avg acc: 0.816667
Train 80, loss: 0.941928, train acc: 0.800000, train avg acc: 0.802579
Test 80, loss: 0.919454, test acc: 0.825000, test avg acc: 0.813889
Train 81, loss: 0.918283, train acc: 0.820000, train avg acc: 0.820580
Test 81, loss: 0.919859, test acc: 0.825000, test avg acc: 0.811111
Train 82, loss: 0.926374, train acc: 0.806667, train avg acc: 0.809033
Test 82, loss: 0.918721, test acc: 0.800000, test avg acc: 0.783333
Train 83, loss: 0.935081, train acc: 0.840000, train avg acc: 0.843792
Test 83, loss: 0.922170, test acc: 0.850000, test avg acc: 0.841667
Train 84, loss: 0.919557, train acc: 0.793333, train avg acc: 0.792674
Test 84, loss: 0.920336, test acc: 0.875000, test avg acc: 0.869444
Train 85, loss: 0.916768, train acc: 0.826667, train avg acc: 0.832601
Test 85, loss: 0.915567, test acc: 0.825000, test avg acc: 0.811111
Train 86, loss: 0.937983, train acc: 0.833333, train avg acc: 0.832494
Test 86, loss: 0.917196, test acc: 0.750000, test avg acc: 0.727778
Train 87, loss: 0.938388, train acc: 0.806667, train avg acc: 0.805654
Test 87, loss: 0.917089, test acc: 0.825000, test avg acc: 0.811111
Train 88, loss: 0.925339, train acc: 0.840000, train avg acc: 0.839850
Test 88, loss: 0.926995, test acc: 0.850000, test avg acc: 0.844444
Train 89, loss: 0.942806, train acc: 0.806667, train avg acc: 0.816447
Test 89, loss: 0.933637, test acc: 0.850000, test avg acc: 0.847222
Train 90, loss: 0.926986, train acc: 0.846667, train avg acc: 0.848684
Test 90, loss: 0.917337, test acc: 0.800000, test avg acc: 0.783333
Train 91, loss: 0.906089, train acc: 0.873333, train avg acc: 0.869518
Test 91, loss: 0.915703, test acc: 0.800000, test avg acc: 0.783333
Train 92, loss: 0.946218, train acc: 0.793333, train avg acc: 0.796955
Test 92, loss: 0.910763, test acc: 0.825000, test avg acc: 0.813889
