K: 5, local_K: 5, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.952291, test acc: 0.775000, test avg acc: 0.766667
Train 44, loss: 0.976384, train acc: 0.793333, train avg acc: 0.787162
Test 44, loss: 0.945649, test acc: 0.775000, test avg acc: 0.766667
Train 45, loss: 0.976648, train acc: 0.786667, train avg acc: 0.788743
Test 45, loss: 0.935073, test acc: 0.775000, test avg acc: 0.758333
Train 46, loss: 1.011677, train acc: 0.733333, train avg acc: 0.744086
Test 46, loss: 0.937722, test acc: 0.775000, test avg acc: 0.755556
Train 47, loss: 0.946722, train acc: 0.780000, train avg acc: 0.782895
Test 47, loss: 0.940478, test acc: 0.850000, test avg acc: 0.844444
Train 48, loss: 0.966472, train acc: 0.746667, train avg acc: 0.749124
Test 48, loss: 0.927573, test acc: 0.800000, test avg acc: 0.783333
Train 49, loss: 0.959097, train acc: 0.826667, train avg acc: 0.829425
Test 49, loss: 0.934775, test acc: 0.825000, test avg acc: 0.813889
Train 50, loss: 1.003078, train acc: 0.746667, train avg acc: 0.753765
Test 50, loss: 0.947454, test acc: 0.800000, test avg acc: 0.794444
Train 51, loss: 0.948992, train acc: 0.806667, train avg acc: 0.807331
Test 51, loss: 0.932767, test acc: 0.875000, test avg acc: 0.866667
Train 52, loss: 0.983378, train acc: 0.793333, train avg acc: 0.789297
Test 52, loss: 0.931903, test acc: 0.800000, test avg acc: 0.783333
Train 53, loss: 0.984094, train acc: 0.773333, train avg acc: 0.775386
Test 53, loss: 0.960178, test acc: 0.800000, test avg acc: 0.788889
Train 54, loss: 0.983221, train acc: 0.760000, train avg acc: 0.759939
Test 54, loss: 0.940734, test acc: 0.775000, test avg acc: 0.758333
Train 55, loss: 0.939514, train acc: 0.860000, train avg acc: 0.863023
Test 55, loss: 0.941677, test acc: 0.825000, test avg acc: 0.813889
Train 56, loss: 0.988192, train acc: 0.793333, train avg acc: 0.800214
Test 56, loss: 0.932547, test acc: 0.800000, test avg acc: 0.783333
Train 57, loss: 0.929399, train acc: 0.840000, train avg acc: 0.844603
Test 57, loss: 0.931231, test acc: 0.850000, test avg acc: 0.841667
Train 58, loss: 0.980576, train acc: 0.820000, train avg acc: 0.823592
Test 58, loss: 0.935310, test acc: 0.850000, test avg acc: 0.841667
Train 59, loss: 0.974069, train acc: 0.786667, train avg acc: 0.791470
Test 59, loss: 0.926720, test acc: 0.825000, test avg acc: 0.813889
Train 60, loss: 0.967901, train acc: 0.766667, train avg acc: 0.775658
Test 60, loss: 0.942305, test acc: 0.750000, test avg acc: 0.738889
