K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.933129, test acc: 0.825000, test avg acc: 0.813889
Train 44, loss: 0.957676, train acc: 0.786667, train avg acc: 0.780583
Test 44, loss: 0.928129, test acc: 0.750000, test avg acc: 0.738889
Train 45, loss: 0.955306, train acc: 0.806667, train avg acc: 0.808845
Test 45, loss: 0.921519, test acc: 0.825000, test avg acc: 0.813889
Train 46, loss: 0.961110, train acc: 0.813333, train avg acc: 0.821955
Test 46, loss: 0.925322, test acc: 0.850000, test avg acc: 0.836111
Train 47, loss: 0.942185, train acc: 0.826667, train avg acc: 0.828383
Test 47, loss: 0.926358, test acc: 0.825000, test avg acc: 0.822222
Train 48, loss: 0.965263, train acc: 0.773333, train avg acc: 0.775468
Test 48, loss: 0.914221, test acc: 0.800000, test avg acc: 0.780556
Train 49, loss: 0.953698, train acc: 0.806667, train avg acc: 0.810223
Test 49, loss: 0.920962, test acc: 0.775000, test avg acc: 0.758333
Train 50, loss: 0.986203, train acc: 0.780000, train avg acc: 0.787792
Test 50, loss: 0.940504, test acc: 0.800000, test avg acc: 0.791667
Train 51, loss: 0.933648, train acc: 0.826667, train avg acc: 0.828482
Test 51, loss: 0.920855, test acc: 0.850000, test avg acc: 0.838889
Train 52, loss: 0.940980, train acc: 0.860000, train avg acc: 0.857625
Test 52, loss: 0.927172, test acc: 0.850000, test avg acc: 0.836111
Train 53, loss: 0.974428, train acc: 0.806667, train avg acc: 0.808929
Test 53, loss: 0.923919, test acc: 0.800000, test avg acc: 0.786111
Train 54, loss: 0.955805, train acc: 0.780000, train avg acc: 0.780565
Test 54, loss: 0.911687, test acc: 0.825000, test avg acc: 0.811111
Train 55, loss: 0.927978, train acc: 0.853333, train avg acc: 0.855880
Test 55, loss: 0.930060, test acc: 0.800000, test avg acc: 0.794444
Train 56, loss: 0.962003, train acc: 0.800000, train avg acc: 0.806624
Test 56, loss: 0.919971, test acc: 0.825000, test avg acc: 0.816667
Train 57, loss: 0.917260, train acc: 0.826667, train avg acc: 0.831540
Test 57, loss: 0.917772, test acc: 0.825000, test avg acc: 0.816667
Train 58, loss: 0.979884, train acc: 0.806667, train avg acc: 0.811468
Test 58, loss: 0.922520, test acc: 0.825000, test avg acc: 0.816667
Train 59, loss: 0.941017, train acc: 0.813333, train avg acc: 0.817814
Test 59, loss: 0.920870, test acc: 0.825000, test avg acc: 0.813889
Train 60, loss: 0.930376, train acc: 0.833333, train avg acc: 0.840132
Test 60, loss: 0.930121, test acc: 0.775000, test avg acc: 0.769444
Train 61, loss: 0.947747, train acc: 0.826667, train avg acc: 0.828582
Test 61, loss: 0.906458, test acc: 0.800000, test avg acc: 0.788889
