K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet_norm
Test 43, loss: 0.922253, test acc: 0.750000, test avg acc: 0.738889
Train 44, loss: 0.948169, train acc: 0.813333, train avg acc: 0.813638
Test 44, loss: 0.964145, test acc: 0.725000, test avg acc: 0.713889
Train 45, loss: 0.953297, train acc: 0.860000, train avg acc: 0.862796
Test 45, loss: 0.927067, test acc: 0.750000, test avg acc: 0.730556
Train 46, loss: 0.919880, train acc: 0.846667, train avg acc: 0.849209
Test 46, loss: 0.951339, test acc: 0.775000, test avg acc: 0.755556
Train 47, loss: 0.908016, train acc: 0.846667, train avg acc: 0.845288
Test 47, loss: 0.943102, test acc: 0.750000, test avg acc: 0.738889
Train 48, loss: 0.942909, train acc: 0.860000, train avg acc: 0.860385
Test 48, loss: 0.955522, test acc: 0.775000, test avg acc: 0.766667
Train 49, loss: 0.929748, train acc: 0.833333, train avg acc: 0.835239
Test 49, loss: 0.951311, test acc: 0.775000, test avg acc: 0.766667
Train 50, loss: 0.926293, train acc: 0.860000, train avg acc: 0.859708
Test 50, loss: 0.946618, test acc: 0.750000, test avg acc: 0.733333
Train 51, loss: 0.933804, train acc: 0.826667, train avg acc: 0.833349
Test 51, loss: 0.918574, test acc: 0.750000, test avg acc: 0.730556
Train 52, loss: 0.927239, train acc: 0.853333, train avg acc: 0.855263
Test 52, loss: 0.952167, test acc: 0.775000, test avg acc: 0.766667
Train 53, loss: 0.954122, train acc: 0.793333, train avg acc: 0.792857
Test 53, loss: 0.952907, test acc: 0.750000, test avg acc: 0.741667
Train 54, loss: 0.979132, train acc: 0.806667, train avg acc: 0.816320
Test 54, loss: 0.939427, test acc: 0.800000, test avg acc: 0.780556
Train 55, loss: 0.974639, train acc: 0.820000, train avg acc: 0.818101
Test 55, loss: 0.923433, test acc: 0.775000, test avg acc: 0.755556
Train 56, loss: 0.942441, train acc: 0.826667, train avg acc: 0.823077
Test 56, loss: 0.961042, test acc: 0.775000, test avg acc: 0.769444
Train 57, loss: 0.917643, train acc: 0.846667, train avg acc: 0.845301
Test 57, loss: 0.954540, test acc: 0.775000, test avg acc: 0.769444
Train 58, loss: 0.925493, train acc: 0.820000, train avg acc: 0.826923
Test 58, loss: 0.934924, test acc: 0.750000, test avg acc: 0.741667
Train 59, loss: 0.909395, train acc: 0.846667, train avg acc: 0.854276
Test 59, loss: 0.933753, test acc: 0.750000, test avg acc: 0.741667
