K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.921801, test acc: 0.750000, test avg acc: 0.738889
Train 44, loss: 0.958161, train acc: 0.793333, train avg acc: 0.788231
Test 44, loss: 0.925445, test acc: 0.725000, test avg acc: 0.708333
Train 45, loss: 0.938175, train acc: 0.833333, train avg acc: 0.835526
Test 45, loss: 0.928619, test acc: 0.750000, test avg acc: 0.733333
Train 46, loss: 0.995569, train acc: 0.793333, train avg acc: 0.801976
Test 46, loss: 0.926122, test acc: 0.750000, test avg acc: 0.730556
Train 47, loss: 0.942706, train acc: 0.813333, train avg acc: 0.815789
Test 47, loss: 0.936802, test acc: 0.725000, test avg acc: 0.711111
Train 48, loss: 0.951165, train acc: 0.793333, train avg acc: 0.796609
Test 48, loss: 0.925909, test acc: 0.750000, test avg acc: 0.733333
Train 49, loss: 0.961795, train acc: 0.806667, train avg acc: 0.810897
Test 49, loss: 0.918813, test acc: 0.775000, test avg acc: 0.758333
Train 50, loss: 0.987944, train acc: 0.813333, train avg acc: 0.819993
Test 50, loss: 0.935977, test acc: 0.750000, test avg acc: 0.733333
Train 51, loss: 0.955147, train acc: 0.786667, train avg acc: 0.787913
Test 51, loss: 0.908287, test acc: 0.800000, test avg acc: 0.786111
Train 52, loss: 0.955212, train acc: 0.800000, train avg acc: 0.798217
Test 52, loss: 0.912182, test acc: 0.750000, test avg acc: 0.730556
Train 53, loss: 0.961852, train acc: 0.840000, train avg acc: 0.841964
Test 53, loss: 0.917525, test acc: 0.750000, test avg acc: 0.730556
Train 54, loss: 0.945472, train acc: 0.773333, train avg acc: 0.772582
Test 54, loss: 0.924112, test acc: 0.775000, test avg acc: 0.755556
Train 55, loss: 0.942808, train acc: 0.800000, train avg acc: 0.804318
Test 55, loss: 0.927441, test acc: 0.725000, test avg acc: 0.705556
Train 56, loss: 0.968407, train acc: 0.786667, train avg acc: 0.794338
Test 56, loss: 0.924908, test acc: 0.775000, test avg acc: 0.755556
Train 57, loss: 0.929593, train acc: 0.833333, train avg acc: 0.838860
Test 57, loss: 0.926844, test acc: 0.750000, test avg acc: 0.730556
Train 58, loss: 0.958427, train acc: 0.846667, train avg acc: 0.851689
Test 58, loss: 0.932351, test acc: 0.775000, test avg acc: 0.758333
Train 59, loss: 0.929089, train acc: 0.820000, train avg acc: 0.824027
Test 59, loss: 0.938212, test acc: 0.775000, test avg acc: 0.755556
Train 60, loss: 0.929786, train acc: 0.806667, train avg acc: 0.812829
Test 60, loss: 0.943490, test acc: 0.800000, test avg acc: 0.786111
Train 61, loss: 0.947353, train acc: 0.840000, train avg acc: 0.842105
Test 61, loss: 0.939504, test acc: 0.775000, test avg acc: 0.761111
Train 62, loss: 0.952365, train acc: 0.800000, train avg acc: 0.799609
Test 62, loss: 0.939438, test acc: 0.750000, test avg acc: 0.733333
Train 63, loss: 0.914318, train acc: 0.853333, train avg acc: 0.852774
Test 63, loss: 0.922607, test acc: 0.775000, test avg acc: 0.755556
Train 64, loss: 0.917674, train acc: 0.860000, train avg acc: 0.859521
Test 64, loss: 0.924051, test acc: 0.750000, test avg acc: 0.730556
Train 65, loss: 0.907853, train acc: 0.866667, train avg acc: 0.863176
Test 65, loss: 0.932451, test acc: 0.775000, test avg acc: 0.758333
Train 66, loss: 0.932226, train acc: 0.813333, train avg acc: 0.815465
Test 66, loss: 0.946763, test acc: 0.725000, test avg acc: 0.711111
Train 67, loss: 0.939811, train acc: 0.806667, train avg acc: 0.810135
Test 67, loss: 0.933148, test acc: 0.775000, test avg acc: 0.758333
Train 68, loss: 0.936407, train acc: 0.846667, train avg acc: 0.847440
Test 68, loss: 0.933600, test acc: 0.775000, test avg acc: 0.758333
Train 69, loss: 0.943933, train acc: 0.786667, train avg acc: 0.787340
Test 69, loss: 0.945149, test acc: 0.725000, test avg acc: 0.711111
Train 70, loss: 0.951021, train acc: 0.760000, train avg acc: 0.764726
Test 70, loss: 0.938274, test acc: 0.725000, test avg acc: 0.713889
Train 71, loss: 0.929397, train acc: 0.840000, train avg acc: 0.840149
Test 71, loss: 0.936329, test acc: 0.775000, test avg acc: 0.761111
Train 72, loss: 0.937416, train acc: 0.780000, train avg acc: 0.779684
Test 72, loss: 0.929851, test acc: 0.775000, test avg acc: 0.761111
Train 73, loss: 0.918026, train acc: 0.840000, train avg acc: 0.838193
Test 73, loss: 0.930234, test acc: 0.800000, test avg acc: 0.786111
Train 74, loss: 0.913582, train acc: 0.866667, train avg acc: 0.868421
Test 74, loss: 0.938383, test acc: 0.775000, test avg acc: 0.763889
Train 75, loss: 0.931058, train acc: 0.813333, train avg acc: 0.812945
Test 75, loss: 0.942583, test acc: 0.750000, test avg acc: 0.736111
Train 76, loss: 0.911585, train acc: 0.846667, train avg acc: 0.850709
Test 76, loss: 0.946542, test acc: 0.775000, test avg acc: 0.761111
Train 77, loss: 0.907993, train acc: 0.846667, train avg acc: 0.848506
Test 77, loss: 0.945747, test acc: 0.750000, test avg acc: 0.733333
Train 78, loss: 0.924552, train acc: 0.826667, train avg acc: 0.834750
Test 78, loss: 0.947065, test acc: 0.750000, test avg acc: 0.733333
Train 79, loss: 0.928399, train acc: 0.800000, train avg acc: 0.799609
Test 79, loss: 0.945894, test acc: 0.725000, test avg acc: 0.708333
Train 80, loss: 0.923765, train acc: 0.826667, train avg acc: 0.828482
Test 80, loss: 0.949927, test acc: 0.775000, test avg acc: 0.761111
Train 81, loss: 0.916576, train acc: 0.813333, train avg acc: 0.817982
Test 81, loss: 0.951280, test acc: 0.775000, test avg acc: 0.761111
Train 82, loss: 0.927637, train acc: 0.806667, train avg acc: 0.811149
Test 82, loss: 0.959855, test acc: 0.725000, test avg acc: 0.711111
Train 83, loss: 0.898472, train acc: 0.833333, train avg acc: 0.838225
Test 83, loss: 0.958610, test acc: 0.775000, test avg acc: 0.761111
Train 84, loss: 0.896978, train acc: 0.900000, train avg acc: 0.900381
Test 84, loss: 0.944361, test acc: 0.750000, test avg acc: 0.736111
Train 85, loss: 0.926478, train acc: 0.813333, train avg acc: 0.814622
Test 85, loss: 0.955581, test acc: 0.775000, test avg acc: 0.761111
Train 86, loss: 0.915852, train acc: 0.860000, train avg acc: 0.858553
Test 86, loss: 0.962484, test acc: 0.775000, test avg acc: 0.758333
Train 87, loss: 0.931471, train acc: 0.806667, train avg acc: 0.815545
Test 87, loss: 0.975492, test acc: 0.775000, test avg acc: 0.758333
Train 88, loss: 0.886781, train acc: 0.886667, train avg acc: 0.888158
