K: 25, local_K: 25, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.959721, test acc: 0.750000, test avg acc: 0.750000
Train 44, loss: 1.001349, train acc: 0.762500, train avg acc: 0.763247
Test 44, loss: 0.913902, test acc: 0.825000, test avg acc: 0.811111
Train 45, loss: 1.006966, train acc: 0.762500, train avg acc: 0.764931
Test 45, loss: 0.917599, test acc: 0.825000, test avg acc: 0.816667
Train 46, loss: 0.988556, train acc: 0.787500, train avg acc: 0.790236
Test 46, loss: 0.929175, test acc: 0.775000, test avg acc: 0.766667
Train 47, loss: 0.997700, train acc: 0.768750, train avg acc: 0.771189
Test 47, loss: 0.941834, test acc: 0.775000, test avg acc: 0.752778
Train 48, loss: 1.081734, train acc: 0.750000, train avg acc: 0.751798
Test 48, loss: 0.930635, test acc: 0.775000, test avg acc: 0.763889
Train 49, loss: 1.034492, train acc: 0.737500, train avg acc: 0.740197
Test 49, loss: 0.943402, test acc: 0.750000, test avg acc: 0.747222
Train 50, loss: 1.016403, train acc: 0.743750, train avg acc: 0.746037
Test 50, loss: 0.922950, test acc: 0.825000, test avg acc: 0.808333
Train 51, loss: 1.003980, train acc: 0.768750, train avg acc: 0.771639
Test 51, loss: 0.939256, test acc: 0.750000, test avg acc: 0.747222
Train 52, loss: 0.989687, train acc: 0.756250, train avg acc: 0.759909
Test 52, loss: 0.922281, test acc: 0.750000, test avg acc: 0.741667
Train 53, loss: 0.990582, train acc: 0.762500, train avg acc: 0.764321
Test 53, loss: 0.918654, test acc: 0.825000, test avg acc: 0.808333
Train 54, loss: 0.981025, train acc: 0.768750, train avg acc: 0.771478
Test 54, loss: 0.926851, test acc: 0.825000, test avg acc: 0.813889
Train 55, loss: 1.009478, train acc: 0.762500, train avg acc: 0.765244
Test 55, loss: 0.928709, test acc: 0.800000, test avg acc: 0.797222
Train 56, loss: 0.952404, train acc: 0.843750, train avg acc: 0.845267
Test 56, loss: 0.914288, test acc: 0.800000, test avg acc: 0.786111
Train 57, loss: 0.998575, train acc: 0.787500, train avg acc: 0.790846
Test 57, loss: 0.943357, test acc: 0.775000, test avg acc: 0.772222
Train 58, loss: 1.000478, train acc: 0.775000, train avg acc: 0.776196
Test 58, loss: 0.924952, test acc: 0.825000, test avg acc: 0.808333
Train 59, loss: 0.968433, train acc: 0.781250, train avg acc: 0.783994
Test 59, loss: 0.913978, test acc: 0.800000, test avg acc: 0.788889
Train 60, loss: 0.977954, train acc: 0.831250, train avg acc: 0.833841
Test 60, loss: 0.909510, test acc: 0.800000, test avg acc: 0.788889
Train 61, loss: 0.996000, train acc: 0.793750, train avg acc: 0.795884
Test 61, loss: 0.921959, test acc: 0.775000, test avg acc: 0.752778
Train 62, loss: 0.958445, train acc: 0.818750, train avg acc: 0.821646
Test 62, loss: 0.938782, test acc: 0.800000, test avg acc: 0.797222
Train 63, loss: 0.976121, train acc: 0.762500, train avg acc: 0.765091
Test 63, loss: 0.925607, test acc: 0.825000, test avg acc: 0.811111
Train 64, loss: 0.960577, train acc: 0.806250, train avg acc: 0.809604
Test 64, loss: 0.926645, test acc: 0.775000, test avg acc: 0.772222
Train 65, loss: 0.965291, train acc: 0.781250, train avg acc: 0.783994
Test 65, loss: 0.911775, test acc: 0.775000, test avg acc: 0.752778
Train 66, loss: 0.996350, train acc: 0.762500, train avg acc: 0.765389
Test 66, loss: 0.941082, test acc: 0.750000, test avg acc: 0.747222
Train 67, loss: 0.975562, train acc: 0.775000, train avg acc: 0.777126
Test 67, loss: 0.913610, test acc: 0.825000, test avg acc: 0.811111
Train 68, loss: 0.941442, train acc: 0.837500, train avg acc: 0.839939
Test 68, loss: 0.932804, test acc: 0.750000, test avg acc: 0.744444
Train 69, loss: 0.981905, train acc: 0.787500, train avg acc: 0.789634
Test 69, loss: 0.920447, test acc: 0.825000, test avg acc: 0.813889
Train 70, loss: 0.971670, train acc: 0.756250, train avg acc: 0.758818
Test 70, loss: 0.921366, test acc: 0.800000, test avg acc: 0.788889
Train 71, loss: 0.963431, train acc: 0.787500, train avg acc: 0.789474
Test 71, loss: 0.918152, test acc: 0.825000, test avg acc: 0.813889
Train 72, loss: 0.946237, train acc: 0.806250, train avg acc: 0.808689
Test 72, loss: 0.911954, test acc: 0.825000, test avg acc: 0.811111
Train 73, loss: 0.976213, train acc: 0.787500, train avg acc: 0.790236
Test 73, loss: 0.931555, test acc: 0.825000, test avg acc: 0.811111
Train 74, loss: 0.939405, train acc: 0.812500, train avg acc: 0.814009
Test 74, loss: 0.937801, test acc: 0.825000, test avg acc: 0.816667
Train 75, loss: 0.954536, train acc: 0.825000, train avg acc: 0.827591
Test 75, loss: 0.954853, test acc: 0.800000, test avg acc: 0.791667
Train 76, loss: 0.967433, train acc: 0.793750, train avg acc: 0.796478
Test 76, loss: 0.948147, test acc: 0.775000, test avg acc: 0.763889
Train 77, loss: 0.945655, train acc: 0.800000, train avg acc: 0.802119
Test 77, loss: 0.946800, test acc: 0.775000, test avg acc: 0.763889
Train 78, loss: 1.025156, train acc: 0.787500, train avg acc: 0.790091
Test 78, loss: 0.939697, test acc: 0.775000, test avg acc: 0.758333
Train 79, loss: 0.947962, train acc: 0.818750, train avg acc: 0.819649
Test 79, loss: 0.918131, test acc: 0.850000, test avg acc: 0.836111
Train 80, loss: 0.995220, train acc: 0.768750, train avg acc: 0.770716
Test 80, loss: 0.921684, test acc: 0.875000, test avg acc: 0.863889
Train 81, loss: 0.940083, train acc: 0.825000, train avg acc: 0.828354
Test 81, loss: 0.917510, test acc: 0.825000, test avg acc: 0.813889
Train 82, loss: 0.953026, train acc: 0.793750, train avg acc: 0.795579
Test 82, loss: 0.917760, test acc: 0.825000, test avg acc: 0.811111
Train 83, loss: 0.961828, train acc: 0.818750, train avg acc: 0.821791
Test 83, loss: 0.931857, test acc: 0.775000, test avg acc: 0.769444
Train 84, loss: 0.978286, train acc: 0.825000, train avg acc: 0.826372
Test 84, loss: 0.910802, test acc: 0.825000, test avg acc: 0.813889
Train 85, loss: 0.950046, train acc: 0.793750, train avg acc: 0.796943
Test 85, loss: 0.942305, test acc: 0.775000, test avg acc: 0.769444
Train 86, loss: 0.963762, train acc: 0.818750, train avg acc: 0.820571
Test 86, loss: 0.919950, test acc: 0.800000, test avg acc: 0.788889
Train 87, loss: 0.952573, train acc: 0.825000, train avg acc: 0.826517
Test 87, loss: 0.928719, test acc: 0.825000, test avg acc: 0.813889
Train 88, loss: 0.956521, train acc: 0.787500, train avg acc: 0.789939
Test 88, loss: 0.929823, test acc: 0.850000, test avg acc: 0.838889
Train 89, loss: 0.973779, train acc: 0.793750, train avg acc: 0.796791
Test 89, loss: 0.920710, test acc: 0.825000, test avg acc: 0.819444
Train 90, loss: 0.957369, train acc: 0.800000, train avg acc: 0.802119
Test 90, loss: 0.926409, test acc: 0.825000, test avg acc: 0.811111
Train 91, loss: 0.960598, train acc: 0.787500, train avg acc: 0.790084
