K: 15, local_K: 15, Batch: 28.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Test 43, loss: 0.918626, test acc: 0.800000, test avg acc: 0.783333
Train 44, loss: 0.873827, train acc: 0.914286, train avg acc: 0.920687
Test 44, loss: 0.925357, test acc: 0.850000, test avg acc: 0.836111
Train 45, loss: 0.869188, train acc: 0.892857, train avg acc: 0.897446
Test 45, loss: 0.919097, test acc: 0.850000, test avg acc: 0.838889
Train 46, loss: 0.883373, train acc: 0.892857, train avg acc: 0.894475
Test 46, loss: 0.932628, test acc: 0.800000, test avg acc: 0.788889
Train 47, loss: 0.920437, train acc: 0.842857, train avg acc: 0.851351
Test 47, loss: 0.937569, test acc: 0.825000, test avg acc: 0.813889
Train 48, loss: 0.911059, train acc: 0.850000, train avg acc: 0.848219
Test 48, loss: 0.915319, test acc: 0.825000, test avg acc: 0.813889
Train 49, loss: 0.878166, train acc: 0.900000, train avg acc: 0.904809
Test 49, loss: 0.914321, test acc: 0.800000, test avg acc: 0.786111
Train 50, loss: 0.882150, train acc: 0.892857, train avg acc: 0.895072
Test 50, loss: 0.916832, test acc: 0.850000, test avg acc: 0.838889
Train 51, loss: 0.858845, train acc: 0.928571, train avg acc: 0.920802
Test 51, loss: 0.920968, test acc: 0.825000, test avg acc: 0.816667
Train 52, loss: 0.874053, train acc: 0.907143, train avg acc: 0.906566
Test 52, loss: 0.919394, test acc: 0.825000, test avg acc: 0.816667
Train 53, loss: 0.865791, train acc: 0.885714, train avg acc: 0.879915
Test 53, loss: 0.921189, test acc: 0.800000, test avg acc: 0.783333
Train 54, loss: 0.897388, train acc: 0.857143, train avg acc: 0.852350
Test 54, loss: 0.924841, test acc: 0.800000, test avg acc: 0.786111
Train 55, loss: 0.891191, train acc: 0.864286, train avg acc: 0.863562
Test 55, loss: 0.885001, test acc: 0.875000, test avg acc: 0.863889
Train 56, loss: 0.906782, train acc: 0.885714, train avg acc: 0.888492
Test 56, loss: 0.885836, test acc: 0.850000, test avg acc: 0.841667
Train 57, loss: 0.877256, train acc: 0.885714, train avg acc: 0.883395
Test 57, loss: 0.928992, test acc: 0.825000, test avg acc: 0.822222
Train 58, loss: 0.885774, train acc: 0.907143, train avg acc: 0.914934
Test 58, loss: 0.921496, test acc: 0.775000, test avg acc: 0.761111
Train 59, loss: 0.870395, train acc: 0.885714, train avg acc: 0.887669
Test 59, loss: 0.895944, test acc: 0.850000, test avg acc: 0.841667
Train 60, loss: 0.864104, train acc: 0.907143, train avg acc: 0.907143
Test 60, loss: 0.885993, test acc: 0.875000, test avg acc: 0.866667
Train 61, loss: 0.855258, train acc: 0.921429, train avg acc: 0.918080
Test 61, loss: 0.890647, test acc: 0.900000, test avg acc: 0.891667
Train 62, loss: 0.857500, train acc: 0.935714, train avg acc: 0.939327
Test 62, loss: 0.952918, test acc: 0.800000, test avg acc: 0.780556
Train 63, loss: 0.891515, train acc: 0.921429, train avg acc: 0.921429
Test 63, loss: 0.946023, test acc: 0.800000, test avg acc: 0.783333
Train 64, loss: 0.867890, train acc: 0.914286, train avg acc: 0.915933
Test 64, loss: 0.913761, test acc: 0.825000, test avg acc: 0.813889
Train 65, loss: 0.860008, train acc: 0.921429, train avg acc: 0.923291
Test 65, loss: 0.921496, test acc: 0.825000, test avg acc: 0.816667
Train 66, loss: 0.868409, train acc: 0.878571, train avg acc: 0.883258
Test 66, loss: 0.886532, test acc: 0.850000, test avg acc: 0.841667
Train 67, loss: 0.861048, train acc: 0.892857, train avg acc: 0.895040
Test 67, loss: 0.895229, test acc: 0.900000, test avg acc: 0.894444
Train 68, loss: 0.880696, train acc: 0.871429, train avg acc: 0.873609
Test 68, loss: 0.901137, test acc: 0.825000, test avg acc: 0.813889
Train 69, loss: 0.845720, train acc: 0.957143, train avg acc: 0.956291
Test 69, loss: 0.948325, test acc: 0.775000, test avg acc: 0.761111
Train 70, loss: 0.878147, train acc: 0.921429, train avg acc: 0.921086
Test 70, loss: 0.952991, test acc: 0.750000, test avg acc: 0.733333
Train 71, loss: 0.870309, train acc: 0.921429, train avg acc: 0.923611
Test 71, loss: 0.934274, test acc: 0.775000, test avg acc: 0.763889
Train 72, loss: 0.841417, train acc: 0.921429, train avg acc: 0.924362
Test 72, loss: 0.942477, test acc: 0.775000, test avg acc: 0.766667
Train 73, loss: 0.891948, train acc: 0.857143, train avg acc: 0.858903
Test 73, loss: 0.916619, test acc: 0.850000, test avg acc: 0.844444
Train 74, loss: 0.860238, train acc: 0.914286, train avg acc: 0.919059
Test 74, loss: 0.908014, test acc: 0.850000, test avg acc: 0.841667
Train 75, loss: 0.872911, train acc: 0.900000, train avg acc: 0.899370
Test 75, loss: 0.897320, test acc: 0.825000, test avg acc: 0.819444
Train 76, loss: 0.843553, train acc: 0.935714, train avg acc: 0.933619
Test 76, loss: 0.885769, test acc: 0.850000, test avg acc: 0.841667
Train 77, loss: 0.865769, train acc: 0.892857, train avg acc: 0.893229
Test 77, loss: 0.881893, test acc: 0.875000, test avg acc: 0.866667
Train 78, loss: 0.839072, train acc: 0.942857, train avg acc: 0.945946
Test 78, loss: 0.893552, test acc: 0.875000, test avg acc: 0.866667
Train 79, loss: 0.864732, train acc: 0.900000, train avg acc: 0.898893
Test 79, loss: 0.921091, test acc: 0.825000, test avg acc: 0.819444
Train 80, loss: 0.866573, train acc: 0.914286, train avg acc: 0.917761
Test 80, loss: 0.937012, test acc: 0.800000, test avg acc: 0.791667
Train 81, loss: 0.836302, train acc: 0.928571, train avg acc: 0.927941
Test 81, loss: 0.917419, test acc: 0.800000, test avg acc: 0.791667
Train 82, loss: 0.859035, train acc: 0.914286, train avg acc: 0.910823
Test 82, loss: 0.921429, test acc: 0.825000, test avg acc: 0.819444
Train 83, loss: 0.848173, train acc: 0.942857, train avg acc: 0.945946
Test 83, loss: 0.936451, test acc: 0.775000, test avg acc: 0.766667
Train 84, loss: 0.879018, train acc: 0.864286, train avg acc: 0.858507
Test 84, loss: 0.940218, test acc: 0.800000, test avg acc: 0.791667
Train 85, loss: 0.835728, train acc: 0.942857, train avg acc: 0.941426
Test 85, loss: 0.921422, test acc: 0.850000, test avg acc: 0.841667
Train 86, loss: 0.860799, train acc: 0.921429, train avg acc: 0.923762
Test 86, loss: 0.927385, test acc: 0.875000, test avg acc: 0.866667
Train 87, loss: 0.846852, train acc: 0.907143, train avg acc: 0.913940
Test 87, loss: 0.915623, test acc: 0.850000, test avg acc: 0.838889
Train 88, loss: 0.814993, train acc: 0.964286, train avg acc: 0.965079
Test 88, loss: 0.911751, test acc: 0.825000, test avg acc: 0.819444
Train 89, loss: 0.848163, train acc: 0.921429, train avg acc: 0.922817
Test 89, loss: 0.907862, test acc: 0.800000, test avg acc: 0.794444
Train 90, loss: 0.812253, train acc: 0.971429, train avg acc: 0.971825
Test 90, loss: 0.914096, test acc: 0.800000, test avg acc: 0.794444
Train 91, loss: 0.843885, train acc: 0.950000, train avg acc: 0.950124
Test 91, loss: 0.919607, test acc: 0.825000, test avg acc: 0.816667
Train 92, loss: 0.846704, train acc: 0.950000, train avg acc: 0.950000
Test 92, loss: 0.921536, test acc: 0.825000, test avg acc: 0.813889
Train 93, loss: 0.847695, train acc: 0.914286, train avg acc: 0.908826
Test 93, loss: 0.925514, test acc: 0.800000, test avg acc: 0.791667
Train 94, loss: 0.842516, train acc: 0.942857, train avg acc: 0.943452
Test 94, loss: 0.929654, test acc: 0.800000, test avg acc: 0.794444
Train 95, loss: 0.817509, train acc: 0.950000, train avg acc: 0.948511
Test 95, loss: 0.913815, test acc: 0.850000, test avg acc: 0.850000
Train 96, loss: 0.837922, train acc: 0.942857, train avg acc: 0.941209
Test 96, loss: 0.890005, test acc: 0.850000, test avg acc: 0.844444
Train 97, loss: 0.855847, train acc: 0.914286, train avg acc: 0.915033
Test 97, loss: 0.875713, test acc: 0.925000, test avg acc: 0.919444
Train 98, loss: 0.814107, train acc: 0.942857, train avg acc: 0.945008
