K: 15, local_K: 15, Batch: 28.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 0, loss: 1.305543, train acc: 0.514286, train avg acc: 0.511851
Test 0, loss: 1.951367, test acc: 0.275000, test avg acc: 0.250000
Train 1, loss: 1.349889, train acc: 0.614286, train avg acc: 0.615422
Test 1, loss: 10.244567, test acc: 0.275000, test avg acc: 0.250000
Train 2, loss: 1.427964, train acc: 0.685714, train avg acc: 0.692478
Test 2, loss: 5.009391, test acc: 0.275000, test avg acc: 0.250000
Train 3, loss: 1.997781, train acc: 0.471429, train avg acc: 0.472200
Test 3, loss: 5.986010, test acc: 0.275000, test avg acc: 0.250000
Train 4, loss: 1.654977, train acc: 0.585714, train avg acc: 0.591461
Test 4, loss: 7.252871, test acc: 0.275000, test avg acc: 0.250000
Train 5, loss: 1.439844, train acc: 0.700000, train avg acc: 0.700000
Test 5, loss: 4.112926, test acc: 0.275000, test avg acc: 0.250000
Train 6, loss: 1.514078, train acc: 0.628571, train avg acc: 0.629257
Test 6, loss: 3.273488, test acc: 0.275000, test avg acc: 0.250000
Train 7, loss: 1.569692, train acc: 0.628571, train avg acc: 0.631999
Test 7, loss: 1.482045, test acc: 0.725000, test avg acc: 0.702778
Train 8, loss: 1.463123, train acc: 0.592857, train avg acc: 0.598459
Test 8, loss: 1.920472, test acc: 0.625000, test avg acc: 0.611111
Train 9, loss: 1.675321, train acc: 0.600000, train avg acc: 0.604395
Test 9, loss: 1.348032, test acc: 0.725000, test avg acc: 0.713889
Train 10, loss: 1.486547, train acc: 0.678571, train avg acc: 0.681081
Test 10, loss: 1.299936, test acc: 0.675000, test avg acc: 0.673485
Train 11, loss: 1.415289, train acc: 0.628571, train avg acc: 0.640907
Test 11, loss: 1.159135, test acc: 0.725000, test avg acc: 0.705556
Train 12, loss: 1.293966, train acc: 0.614286, train avg acc: 0.625035
Test 12, loss: 1.125715, test acc: 0.700000, test avg acc: 0.694444
Train 13, loss: 1.332029, train acc: 0.635714, train avg acc: 0.624269
Test 13, loss: 0.974522, test acc: 0.800000, test avg acc: 0.783333
Train 14, loss: 1.191108, train acc: 0.707143, train avg acc: 0.702486
Test 14, loss: 1.067639, test acc: 0.725000, test avg acc: 0.718939
Train 15, loss: 1.299019, train acc: 0.685714, train avg acc: 0.684275
Test 15, loss: 1.035812, test acc: 0.800000, test avg acc: 0.788889
Train 16, loss: 1.254277, train acc: 0.700000, train avg acc: 0.707488
Test 16, loss: 1.079271, test acc: 0.800000, test avg acc: 0.788889
Train 17, loss: 1.243130, train acc: 0.642857, train avg acc: 0.650327
Test 17, loss: 1.090708, test acc: 0.725000, test avg acc: 0.702778
Train 18, loss: 1.160113, train acc: 0.721429, train avg acc: 0.711377
Test 18, loss: 1.045654, test acc: 0.800000, test avg acc: 0.786111
Train 19, loss: 1.128838, train acc: 0.685714, train avg acc: 0.686382
Test 19, loss: 1.104393, test acc: 0.775000, test avg acc: 0.761111
Train 20, loss: 1.146177, train acc: 0.628571, train avg acc: 0.643829
Test 20, loss: 1.084480, test acc: 0.625000, test avg acc: 0.619192
Train 21, loss: 1.209268, train acc: 0.678571, train avg acc: 0.684702
Test 21, loss: 1.270091, test acc: 0.725000, test avg acc: 0.719444
Train 22, loss: 1.204654, train acc: 0.721429, train avg acc: 0.722036
Test 22, loss: 1.036020, test acc: 0.775000, test avg acc: 0.763889
Train 23, loss: 1.151209, train acc: 0.714286, train avg acc: 0.729253
Test 23, loss: 1.045855, test acc: 0.725000, test avg acc: 0.702778
Train 24, loss: 1.075236, train acc: 0.735714, train avg acc: 0.734069
Test 24, loss: 1.051448, test acc: 0.775000, test avg acc: 0.766667
Train 25, loss: 1.104436, train acc: 0.750000, train avg acc: 0.763786
Test 25, loss: 1.030162, test acc: 0.800000, test avg acc: 0.783333
Train 26, loss: 1.087145, train acc: 0.714286, train avg acc: 0.717445
Test 26, loss: 0.986267, test acc: 0.725000, test avg acc: 0.702778
Train 27, loss: 1.107461, train acc: 0.742857, train avg acc: 0.744426
Test 27, loss: 1.020275, test acc: 0.750000, test avg acc: 0.736111
Train 28, loss: 1.038871, train acc: 0.721429, train avg acc: 0.725432
Test 28, loss: 0.944509, test acc: 0.775000, test avg acc: 0.761111
Train 29, loss: 1.093644, train acc: 0.707143, train avg acc: 0.707756
Test 29, loss: 1.024962, test acc: 0.750000, test avg acc: 0.733333
Train 30, loss: 1.006067, train acc: 0.757143, train avg acc: 0.754202
Test 30, loss: 0.929705, test acc: 0.800000, test avg acc: 0.800000
Train 31, loss: 1.019672, train acc: 0.764286, train avg acc: 0.767157
Test 31, loss: 1.021236, test acc: 0.800000, test avg acc: 0.786111
Train 32, loss: 1.023916, train acc: 0.778571, train avg acc: 0.778571
Test 32, loss: 0.936675, test acc: 0.825000, test avg acc: 0.808333
Train 33, loss: 1.036698, train acc: 0.735714, train avg acc: 0.736555
Test 33, loss: 0.956036, test acc: 0.725000, test avg acc: 0.719444
Train 34, loss: 0.989134, train acc: 0.792857, train avg acc: 0.784527
Test 34, loss: 0.983751, test acc: 0.800000, test avg acc: 0.788889
Train 35, loss: 1.024087, train acc: 0.785714, train avg acc: 0.794414
Test 35, loss: 0.948525, test acc: 0.800000, test avg acc: 0.783333
Train 36, loss: 0.998564, train acc: 0.778571, train avg acc: 0.786184
Test 36, loss: 0.974849, test acc: 0.800000, test avg acc: 0.794444
Train 37, loss: 1.002045, train acc: 0.764286, train avg acc: 0.765867
Test 37, loss: 0.930691, test acc: 0.825000, test avg acc: 0.813889
Train 38, loss: 0.992384, train acc: 0.778571, train avg acc: 0.787832
Test 38, loss: 0.944693, test acc: 0.775000, test avg acc: 0.752778
Train 39, loss: 0.998098, train acc: 0.807143, train avg acc: 0.820705
Test 39, loss: 0.939898, test acc: 0.775000, test avg acc: 0.761111
Train 40, loss: 1.003025, train acc: 0.750000, train avg acc: 0.751634
Test 40, loss: 0.941198, test acc: 0.750000, test avg acc: 0.741667
Train 41, loss: 0.966438, train acc: 0.771429, train avg acc: 0.772541
Test 41, loss: 0.923523, test acc: 0.800000, test avg acc: 0.783333
Train 42, loss: 1.000566, train acc: 0.750000, train avg acc: 0.759625
Test 42, loss: 0.934171, test acc: 0.775000, test avg acc: 0.758333
Train 43, loss: 0.976745, train acc: 0.785714, train avg acc: 0.782983
Test 43, loss: 0.922379, test acc: 0.825000, test avg acc: 0.813889
Train 44, loss: 0.962920, train acc: 0.778571, train avg acc: 0.772655
Test 44, loss: 0.924857, test acc: 0.825000, test avg acc: 0.819444
Train 45, loss: 0.980669, train acc: 0.792857, train avg acc: 0.794526
Test 45, loss: 0.928863, test acc: 0.875000, test avg acc: 0.869444
Train 46, loss: 0.997520, train acc: 0.757143, train avg acc: 0.768539
Test 46, loss: 0.911078, test acc: 0.775000, test avg acc: 0.752778
Train 47, loss: 0.950797, train acc: 0.800000, train avg acc: 0.800000
Test 47, loss: 0.921073, test acc: 0.750000, test avg acc: 0.730556
Train 48, loss: 0.957217, train acc: 0.850000, train avg acc: 0.849265
Test 48, loss: 0.938221, test acc: 0.800000, test avg acc: 0.788889
Train 49, loss: 0.961202, train acc: 0.807143, train avg acc: 0.806933
Test 49, loss: 0.913715, test acc: 0.750000, test avg acc: 0.730556
