K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.920004, test acc: 0.850000, test avg acc: 0.838889
Train 44, loss: 0.976457, train acc: 0.773333, train avg acc: 0.779861
Test 44, loss: 0.913993, test acc: 0.800000, test avg acc: 0.783333
Train 45, loss: 0.965868, train acc: 0.753333, train avg acc: 0.767767
Test 45, loss: 0.926032, test acc: 0.800000, test avg acc: 0.794444
Train 46, loss: 0.969850, train acc: 0.773333, train avg acc: 0.782200
Test 46, loss: 0.924560, test acc: 0.775000, test avg acc: 0.761111
Train 47, loss: 0.954464, train acc: 0.813333, train avg acc: 0.811157
Test 47, loss: 0.911218, test acc: 0.800000, test avg acc: 0.788889
Train 48, loss: 0.963858, train acc: 0.793333, train avg acc: 0.800752
Test 48, loss: 0.914485, test acc: 0.825000, test avg acc: 0.816667
Train 49, loss: 0.943151, train acc: 0.813333, train avg acc: 0.813478
Test 49, loss: 0.925467, test acc: 0.775000, test avg acc: 0.766667
Train 50, loss: 0.963183, train acc: 0.786667, train avg acc: 0.791807
Test 50, loss: 0.912332, test acc: 0.800000, test avg acc: 0.786111
Train 51, loss: 0.960608, train acc: 0.780000, train avg acc: 0.790203
Test 51, loss: 0.906601, test acc: 0.825000, test avg acc: 0.811111
Train 52, loss: 0.930446, train acc: 0.806667, train avg acc: 0.802869
Test 52, loss: 0.920443, test acc: 0.775000, test avg acc: 0.763889
Train 53, loss: 0.942361, train acc: 0.800000, train avg acc: 0.808833
Test 53, loss: 0.920969, test acc: 0.825000, test avg acc: 0.813889
Train 54, loss: 0.954055, train acc: 0.826667, train avg acc: 0.824196
Test 54, loss: 0.917499, test acc: 0.825000, test avg acc: 0.813889
Train 55, loss: 0.984151, train acc: 0.800000, train avg acc: 0.807779
Test 55, loss: 0.909768, test acc: 0.875000, test avg acc: 0.866667
Train 56, loss: 0.968241, train acc: 0.780000, train avg acc: 0.784029
Test 56, loss: 0.907759, test acc: 0.900000, test avg acc: 0.894444
Train 57, loss: 0.944418, train acc: 0.820000, train avg acc: 0.817568
Test 57, loss: 0.912536, test acc: 0.900000, test avg acc: 0.894444
Train 58, loss: 0.960411, train acc: 0.793333, train avg acc: 0.803289
Test 58, loss: 0.910006, test acc: 0.900000, test avg acc: 0.891667
Train 59, loss: 0.958294, train acc: 0.780000, train avg acc: 0.782908
Test 59, loss: 0.919956, test acc: 0.800000, test avg acc: 0.794444
Train 60, loss: 0.957115, train acc: 0.773333, train avg acc: 0.781542
Test 60, loss: 0.904830, test acc: 0.875000, test avg acc: 0.863889
Train 61, loss: 0.938639, train acc: 0.780000, train avg acc: 0.779161
Test 61, loss: 0.906419, test acc: 0.825000, test avg acc: 0.808333
Train 62, loss: 0.938842, train acc: 0.820000, train avg acc: 0.822368
Test 62, loss: 0.926923, test acc: 0.850000, test avg acc: 0.841667
Train 63, loss: 0.933402, train acc: 0.826667, train avg acc: 0.829868
Test 63, loss: 0.931274, test acc: 0.850000, test avg acc: 0.841667
Train 64, loss: 0.969970, train acc: 0.813333, train avg acc: 0.819203
Test 64, loss: 0.917626, test acc: 0.850000, test avg acc: 0.841667
Train 65, loss: 0.944353, train acc: 0.826667, train avg acc: 0.827443
Test 65, loss: 0.915648, test acc: 0.875000, test avg acc: 0.869444
Train 66, loss: 0.947490, train acc: 0.826667, train avg acc: 0.826982
Test 66, loss: 0.925026, test acc: 0.825000, test avg acc: 0.819444
Train 67, loss: 0.964486, train acc: 0.780000, train avg acc: 0.779694
Test 67, loss: 0.925579, test acc: 0.800000, test avg acc: 0.783333
Train 68, loss: 0.957555, train acc: 0.800000, train avg acc: 0.805592
Test 68, loss: 0.919535, test acc: 0.775000, test avg acc: 0.752778
Train 69, loss: 0.923339, train acc: 0.826667, train avg acc: 0.820433
Test 69, loss: 0.931417, test acc: 0.850000, test avg acc: 0.847222
Train 70, loss: 0.947680, train acc: 0.826667, train avg acc: 0.824671
Test 70, loss: 0.921944, test acc: 0.800000, test avg acc: 0.786111
Train 71, loss: 0.927642, train acc: 0.833333, train avg acc: 0.835763
Test 71, loss: 0.920859, test acc: 0.775000, test avg acc: 0.758333
Train 72, loss: 0.961184, train acc: 0.820000, train avg acc: 0.816793
Test 72, loss: 0.922010, test acc: 0.775000, test avg acc: 0.758333
Train 73, loss: 0.943499, train acc: 0.793333, train avg acc: 0.792932
Test 73, loss: 0.919175, test acc: 0.875000, test avg acc: 0.869444
Train 74, loss: 0.944893, train acc: 0.793333, train avg acc: 0.796053
Test 74, loss: 0.937307, test acc: 0.800000, test avg acc: 0.797222
Train 75, loss: 0.934387, train acc: 0.820000, train avg acc: 0.816413
Test 75, loss: 0.918743, test acc: 0.825000, test avg acc: 0.816667
Train 76, loss: 0.922618, train acc: 0.840000, train avg acc: 0.840861
Test 76, loss: 0.913606, test acc: 0.825000, test avg acc: 0.811111
Train 77, loss: 0.923191, train acc: 0.826667, train avg acc: 0.828205
Test 77, loss: 0.922126, test acc: 0.825000, test avg acc: 0.813889
Train 78, loss: 0.930458, train acc: 0.820000, train avg acc: 0.822765
Test 78, loss: 0.931679, test acc: 0.825000, test avg acc: 0.816667
Train 79, loss: 0.940791, train acc: 0.820000, train avg acc: 0.824046
Test 79, loss: 0.937130, test acc: 0.825000, test avg acc: 0.816667
Train 80, loss: 0.922808, train acc: 0.826667, train avg acc: 0.827381
Test 80, loss: 0.919114, test acc: 0.825000, test avg acc: 0.813889
Train 81, loss: 0.910799, train acc: 0.860000, train avg acc: 0.860410
Test 81, loss: 0.921614, test acc: 0.825000, test avg acc: 0.813889
Train 82, loss: 0.941646, train acc: 0.826667, train avg acc: 0.828947
Test 82, loss: 0.911648, test acc: 0.850000, test avg acc: 0.838889
Train 83, loss: 0.904850, train acc: 0.860000, train avg acc: 0.863529
Test 83, loss: 0.915817, test acc: 0.800000, test avg acc: 0.791667
Train 84, loss: 0.921671, train acc: 0.826667, train avg acc: 0.826102
Test 84, loss: 0.908369, test acc: 0.800000, test avg acc: 0.788889
Train 85, loss: 0.927296, train acc: 0.840000, train avg acc: 0.846154
Test 85, loss: 0.907975, test acc: 0.825000, test avg acc: 0.811111
Train 86, loss: 0.935601, train acc: 0.826667, train avg acc: 0.825897
Test 86, loss: 0.906081, test acc: 0.825000, test avg acc: 0.811111
Train 87, loss: 0.942317, train acc: 0.840000, train avg acc: 0.839794
Test 87, loss: 0.917596, test acc: 0.825000, test avg acc: 0.816667
