K: 15, local_K: 15, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.982186, test acc: 0.750000, test avg acc: 0.730556
Train 44, loss: 1.022868, train acc: 0.731250, train avg acc: 0.733216
Test 44, loss: 0.957246, test acc: 0.800000, test avg acc: 0.791667
Train 45, loss: 1.016913, train acc: 0.756250, train avg acc: 0.760358
Test 45, loss: 0.992628, test acc: 0.725000, test avg acc: 0.719444
Train 46, loss: 1.026537, train acc: 0.725000, train avg acc: 0.726364
Test 46, loss: 0.949899, test acc: 0.825000, test avg acc: 0.808333
Train 47, loss: 1.037753, train acc: 0.743750, train avg acc: 0.746799
Test 47, loss: 0.946341, test acc: 0.775000, test avg acc: 0.763889
Train 48, loss: 1.011720, train acc: 0.750000, train avg acc: 0.752111
Test 48, loss: 0.976354, test acc: 0.725000, test avg acc: 0.722222
Train 49, loss: 1.007370, train acc: 0.731250, train avg acc: 0.734451
Test 49, loss: 0.964049, test acc: 0.750000, test avg acc: 0.727778
Train 50, loss: 1.015629, train acc: 0.756250, train avg acc: 0.759909
Test 50, loss: 1.024637, test acc: 0.775000, test avg acc: 0.772222
Train 51, loss: 1.013990, train acc: 0.737500, train avg acc: 0.740686
Test 51, loss: 0.941364, test acc: 0.800000, test avg acc: 0.788889
Train 52, loss: 1.002285, train acc: 0.787500, train avg acc: 0.789482
Test 52, loss: 0.968907, test acc: 0.825000, test avg acc: 0.816667
Train 53, loss: 1.001718, train acc: 0.768750, train avg acc: 0.771646
Test 53, loss: 0.960292, test acc: 0.725000, test avg acc: 0.722222
Train 54, loss: 1.015678, train acc: 0.725000, train avg acc: 0.727126
Test 54, loss: 0.953620, test acc: 0.800000, test avg acc: 0.780556
Train 55, loss: 1.001557, train acc: 0.775000, train avg acc: 0.778041
Test 55, loss: 0.957927, test acc: 0.750000, test avg acc: 0.747222
Train 56, loss: 1.015752, train acc: 0.756250, train avg acc: 0.760061
Test 56, loss: 0.972739, test acc: 0.825000, test avg acc: 0.819444
Train 57, loss: 1.005870, train acc: 0.750000, train avg acc: 0.752744
Test 57, loss: 0.984168, test acc: 0.725000, test avg acc: 0.725000
Train 58, loss: 1.008826, train acc: 0.756250, train avg acc: 0.758376
Test 58, loss: 0.946949, test acc: 0.800000, test avg acc: 0.783333
Train 59, loss: 0.983526, train acc: 0.793750, train avg acc: 0.796326
Test 59, loss: 0.956004, test acc: 0.800000, test avg acc: 0.783333
Train 60, loss: 0.972370, train acc: 0.787500, train avg acc: 0.789177
Test 60, loss: 0.973675, test acc: 0.775000, test avg acc: 0.766667
Train 61, loss: 1.020597, train acc: 0.756250, train avg acc: 0.759588
Test 61, loss: 0.979307, test acc: 0.750000, test avg acc: 0.733333
Train 62, loss: 0.986103, train acc: 0.787500, train avg acc: 0.790541
Test 62, loss: 0.969549, test acc: 0.775000, test avg acc: 0.769444
Train 63, loss: 1.015853, train acc: 0.781250, train avg acc: 0.783376
Test 63, loss: 0.974918, test acc: 0.800000, test avg acc: 0.794444
Train 64, loss: 1.068429, train acc: 0.712500, train avg acc: 0.715060
Test 64, loss: 0.959230, test acc: 0.750000, test avg acc: 0.738889
Train 65, loss: 1.027425, train acc: 0.743750, train avg acc: 0.746799
Test 65, loss: 0.959326, test acc: 0.800000, test avg acc: 0.783333
Train 66, loss: 1.021392, train acc: 0.762500, train avg acc: 0.765084
Test 66, loss: 0.977469, test acc: 0.725000, test avg acc: 0.722222
Train 67, loss: 0.998524, train acc: 0.768750, train avg acc: 0.772104
Test 67, loss: 0.946815, test acc: 0.825000, test avg acc: 0.813889
Train 68, loss: 1.004514, train acc: 0.712500, train avg acc: 0.715220
Test 68, loss: 0.945198, test acc: 0.850000, test avg acc: 0.838889
Train 69, loss: 0.979434, train acc: 0.800000, train avg acc: 0.802896
Test 69, loss: 0.949609, test acc: 0.775000, test avg acc: 0.766667
Train 70, loss: 1.005712, train acc: 0.781250, train avg acc: 0.783079
Test 70, loss: 0.963533, test acc: 0.800000, test avg acc: 0.794444
Train 71, loss: 0.993032, train acc: 0.793750, train avg acc: 0.796951
Test 71, loss: 0.968234, test acc: 0.775000, test avg acc: 0.772222
Train 72, loss: 0.988094, train acc: 0.781250, train avg acc: 0.782759
Test 72, loss: 0.955499, test acc: 0.775000, test avg acc: 0.766667
Train 73, loss: 0.967963, train acc: 0.793750, train avg acc: 0.796334
Test 73, loss: 0.994251, test acc: 0.800000, test avg acc: 0.797222
Train 74, loss: 0.977127, train acc: 0.787500, train avg acc: 0.790541
Test 74, loss: 0.958382, test acc: 0.850000, test avg acc: 0.841667
Train 75, loss: 1.000669, train acc: 0.768750, train avg acc: 0.770571
Test 75, loss: 0.964079, test acc: 0.800000, test avg acc: 0.791667
Train 76, loss: 0.969180, train acc: 0.793750, train avg acc: 0.796029
Test 76, loss: 0.956988, test acc: 0.825000, test avg acc: 0.819444
Train 77, loss: 0.979915, train acc: 0.806250, train avg acc: 0.808529
Test 77, loss: 0.987179, test acc: 0.775000, test avg acc: 0.761111
Train 78, loss: 0.970867, train acc: 0.756250, train avg acc: 0.759291
Test 78, loss: 0.963425, test acc: 0.775000, test avg acc: 0.763889
Train 79, loss: 0.986367, train acc: 0.743750, train avg acc: 0.747409
Test 79, loss: 0.964988, test acc: 0.825000, test avg acc: 0.819444
Train 80, loss: 0.975399, train acc: 0.818750, train avg acc: 0.820419
Test 80, loss: 0.955556, test acc: 0.800000, test avg acc: 0.786111
Train 81, loss: 0.990994, train acc: 0.756250, train avg acc: 0.759451
Test 81, loss: 0.957323, test acc: 0.800000, test avg acc: 0.797222
Train 82, loss: 0.975424, train acc: 0.756250, train avg acc: 0.758689
Test 82, loss: 0.978277, test acc: 0.800000, test avg acc: 0.783333
Train 83, loss: 0.981202, train acc: 0.812500, train avg acc: 0.815701
Test 83, loss: 0.960611, test acc: 0.800000, test avg acc: 0.791667
Train 84, loss: 0.999787, train acc: 0.756250, train avg acc: 0.758689
Test 84, loss: 0.995923, test acc: 0.775000, test avg acc: 0.772222
Train 85, loss: 1.002835, train acc: 0.756250, train avg acc: 0.758666
Test 85, loss: 0.951490, test acc: 0.825000, test avg acc: 0.822222
Train 86, loss: 0.980837, train acc: 0.775000, train avg acc: 0.778506
Test 86, loss: 0.952110, test acc: 0.775000, test avg acc: 0.758333
Train 87, loss: 1.001762, train acc: 0.725000, train avg acc: 0.726821
Test 87, loss: 0.936264, test acc: 0.750000, test avg acc: 0.727778
Train 88, loss: 0.978887, train acc: 0.775000, train avg acc: 0.778956
Test 88, loss: 0.939397, test acc: 0.800000, test avg acc: 0.783333
Train 89, loss: 0.962789, train acc: 0.800000, train avg acc: 0.801661
