K: 10, local_K: 10, Batch: 5.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 1.120086, test acc: 0.650000, test avg acc: 0.659091
Train 44, loss: 1.180219, train acc: 0.556250, train avg acc: 0.558314
Test 44, loss: 1.113795, test acc: 0.625000, test avg acc: 0.605556
Train 45, loss: 1.201165, train acc: 0.600000, train avg acc: 0.602865
Test 45, loss: 1.267013, test acc: 0.475000, test avg acc: 0.477273
Train 46, loss: 1.192565, train acc: 0.643750, train avg acc: 0.645380
Test 46, loss: 1.013512, test acc: 0.700000, test avg acc: 0.688889
Train 47, loss: 1.141506, train acc: 0.606250, train avg acc: 0.609268
Test 47, loss: 1.092359, test acc: 0.675000, test avg acc: 0.652778
Train 48, loss: 1.196217, train acc: 0.606250, train avg acc: 0.609412
Test 48, loss: 1.070298, test acc: 0.725000, test avg acc: 0.722222
Train 49, loss: 1.084416, train acc: 0.693750, train avg acc: 0.697233
Test 49, loss: 1.080867, test acc: 0.675000, test avg acc: 0.675000
Train 50, loss: 1.146930, train acc: 0.668750, train avg acc: 0.670669
Test 50, loss: 1.140967, test acc: 0.650000, test avg acc: 0.627778
Train 51, loss: 1.188679, train acc: 0.562500, train avg acc: 0.564419
Test 51, loss: 1.006126, test acc: 0.675000, test avg acc: 0.655556
Train 52, loss: 1.165912, train acc: 0.618750, train avg acc: 0.621943
Test 52, loss: 1.119347, test acc: 0.750000, test avg acc: 0.725000
Train 53, loss: 1.131156, train acc: 0.662500, train avg acc: 0.664314
Test 53, loss: 1.064946, test acc: 0.750000, test avg acc: 0.727273
Train 54, loss: 1.169517, train acc: 0.581250, train avg acc: 0.584228
Test 54, loss: 1.023049, test acc: 0.675000, test avg acc: 0.655556
Train 55, loss: 1.200125, train acc: 0.550000, train avg acc: 0.552681
Test 55, loss: 1.004622, test acc: 0.750000, test avg acc: 0.730556
Train 56, loss: 1.212554, train acc: 0.606250, train avg acc: 0.607872
Test 56, loss: 1.068945, test acc: 0.675000, test avg acc: 0.666667
Train 57, loss: 1.168919, train acc: 0.631250, train avg acc: 0.633619
Test 57, loss: 1.062619, test acc: 0.750000, test avg acc: 0.725000
Train 58, loss: 1.151329, train acc: 0.687500, train avg acc: 0.689892
Test 58, loss: 1.190902, test acc: 0.425000, test avg acc: 0.443182
Train 59, loss: 1.261592, train acc: 0.475000, train avg acc: 0.476880
Test 59, loss: 1.113801, test acc: 0.675000, test avg acc: 0.660101
Train 60, loss: 1.164266, train acc: 0.643750, train avg acc: 0.646463
Test 60, loss: 1.209654, test acc: 0.475000, test avg acc: 0.459091
Train 61, loss: 1.138801, train acc: 0.625000, train avg acc: 0.628018
Test 61, loss: 1.010217, test acc: 0.725000, test avg acc: 0.725000
Train 62, loss: 1.163954, train acc: 0.600000, train avg acc: 0.603788
Test 62, loss: 1.079547, test acc: 0.725000, test avg acc: 0.700000
Train 63, loss: 1.167975, train acc: 0.600000, train avg acc: 0.603315
Test 63, loss: 1.035711, test acc: 0.750000, test avg acc: 0.750000
Train 64, loss: 1.099297, train acc: 0.606250, train avg acc: 0.609877
Test 64, loss: 1.020610, test acc: 0.750000, test avg acc: 0.750000
Train 65, loss: 1.109248, train acc: 0.643750, train avg acc: 0.646310
Test 65, loss: 1.055978, test acc: 0.750000, test avg acc: 0.727273
Train 66, loss: 1.128978, train acc: 0.662500, train avg acc: 0.665975
Test 66, loss: 1.058142, test acc: 0.750000, test avg acc: 0.730556
Train 67, loss: 1.116513, train acc: 0.637500, train avg acc: 0.640686
Test 67, loss: 0.990187, test acc: 0.725000, test avg acc: 0.722222
Train 68, loss: 1.115108, train acc: 0.618750, train avg acc: 0.621615
Test 68, loss: 1.084193, test acc: 0.750000, test avg acc: 0.727273
Train 69, loss: 1.087166, train acc: 0.687500, train avg acc: 0.690205
Test 69, loss: 1.137561, test acc: 0.675000, test avg acc: 0.675000
Train 70, loss: 1.091060, train acc: 0.681250, train avg acc: 0.684580
Test 70, loss: 1.013713, test acc: 0.775000, test avg acc: 0.755556
Train 71, loss: 1.138024, train acc: 0.625000, train avg acc: 0.627537
Test 71, loss: 1.032243, test acc: 0.675000, test avg acc: 0.666667
Train 72, loss: 1.110553, train acc: 0.656250, train avg acc: 0.658986
Test 72, loss: 1.082597, test acc: 0.650000, test avg acc: 0.644444
Train 73, loss: 1.075554, train acc: 0.700000, train avg acc: 0.702896
Test 73, loss: 1.006842, test acc: 0.775000, test avg acc: 0.750000
Train 74, loss: 1.035880, train acc: 0.712500, train avg acc: 0.714763
Test 74, loss: 0.990634, test acc: 0.775000, test avg acc: 0.769444
Train 75, loss: 1.101362, train acc: 0.718750, train avg acc: 0.721334
Test 75, loss: 1.016692, test acc: 0.675000, test avg acc: 0.663889
Train 76, loss: 1.101107, train acc: 0.700000, train avg acc: 0.701958
Test 76, loss: 1.036511, test acc: 0.775000, test avg acc: 0.750000
Train 77, loss: 1.068058, train acc: 0.687500, train avg acc: 0.690990
Test 77, loss: 1.071795, test acc: 0.725000, test avg acc: 0.705051
Train 78, loss: 1.059218, train acc: 0.725000, train avg acc: 0.727568
Test 78, loss: 1.066633, test acc: 0.750000, test avg acc: 0.752273
Train 79, loss: 1.176167, train acc: 0.606250, train avg acc: 0.608001
Test 79, loss: 1.146898, test acc: 0.550000, test avg acc: 0.554545
Train 80, loss: 1.116748, train acc: 0.656250, train avg acc: 0.659099
Test 80, loss: 1.092323, test acc: 0.750000, test avg acc: 0.750000
Train 81, loss: 1.099480, train acc: 0.687500, train avg acc: 0.690076
Test 81, loss: 1.074077, test acc: 0.750000, test avg acc: 0.750000
Train 82, loss: 1.034533, train acc: 0.737500, train avg acc: 0.739146
Test 82, loss: 1.011157, test acc: 0.775000, test avg acc: 0.758333
Train 83, loss: 1.060604, train acc: 0.687500, train avg acc: 0.691295
Test 83, loss: 1.060062, test acc: 0.800000, test avg acc: 0.788889
Train 84, loss: 1.058647, train acc: 0.681250, train avg acc: 0.684443
Test 84, loss: 1.031519, test acc: 0.750000, test avg acc: 0.741667
Train 85, loss: 1.099554, train acc: 0.675000, train avg acc: 0.676661
Test 85, loss: 1.003684, test acc: 0.725000, test avg acc: 0.708333
Train 86, loss: 1.105658, train acc: 0.650000, train avg acc: 0.652224
Test 86, loss: 1.117771, test acc: 0.775000, test avg acc: 0.750000
Train 87, loss: 1.110900, train acc: 0.643750, train avg acc: 0.647080
