K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.893525, test acc: 0.775000, test avg acc: 0.761111
Train 44, loss: 0.976541, train acc: 0.773333, train avg acc: 0.767801
Test 44, loss: 0.904529, test acc: 0.775000, test avg acc: 0.763889
Train 45, loss: 0.971014, train acc: 0.786667, train avg acc: 0.789474
Test 45, loss: 0.914716, test acc: 0.775000, test avg acc: 0.761111
Train 46, loss: 1.017027, train acc: 0.766667, train avg acc: 0.774283
Test 46, loss: 0.913310, test acc: 0.775000, test avg acc: 0.761111
Train 47, loss: 0.942630, train acc: 0.820000, train avg acc: 0.822368
Test 47, loss: 0.928682, test acc: 0.775000, test avg acc: 0.761111
Train 48, loss: 0.951810, train acc: 0.813333, train avg acc: 0.814800
Test 48, loss: 0.905408, test acc: 0.800000, test avg acc: 0.786111
Train 49, loss: 0.939478, train acc: 0.820000, train avg acc: 0.824215
Test 49, loss: 0.912293, test acc: 0.825000, test avg acc: 0.811111
Train 50, loss: 0.974981, train acc: 0.846667, train avg acc: 0.851937
Test 50, loss: 0.932708, test acc: 0.775000, test avg acc: 0.763889
Train 51, loss: 0.964013, train acc: 0.820000, train avg acc: 0.820845
Test 51, loss: 0.950592, test acc: 0.775000, test avg acc: 0.763889
Train 52, loss: 0.948021, train acc: 0.840000, train avg acc: 0.837719
Test 52, loss: 0.953781, test acc: 0.825000, test avg acc: 0.811111
Train 53, loss: 1.001620, train acc: 0.800000, train avg acc: 0.805236
Test 53, loss: 0.914002, test acc: 0.775000, test avg acc: 0.763889
Train 54, loss: 0.969720, train acc: 0.806667, train avg acc: 0.807068
Test 54, loss: 0.904226, test acc: 0.775000, test avg acc: 0.763889
Train 55, loss: 0.936813, train acc: 0.833333, train avg acc: 0.837551
Test 55, loss: 0.919266, test acc: 0.775000, test avg acc: 0.763889
Train 56, loss: 0.979614, train acc: 0.806667, train avg acc: 0.811966
Test 56, loss: 0.904816, test acc: 0.850000, test avg acc: 0.838889
Train 57, loss: 0.952702, train acc: 0.780000, train avg acc: 0.786833
Test 57, loss: 0.906476, test acc: 0.800000, test avg acc: 0.788889
Train 58, loss: 0.984687, train acc: 0.846667, train avg acc: 0.851689
Test 58, loss: 0.920372, test acc: 0.800000, test avg acc: 0.791667
Train 59, loss: 0.945107, train acc: 0.833333, train avg acc: 0.837016
Test 59, loss: 0.934675, test acc: 0.850000, test avg acc: 0.836111
Train 60, loss: 0.927990, train acc: 0.833333, train avg acc: 0.838487
