K: 15, local_K: 15, Batch: 32.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.937123, test acc: 0.825000, test avg acc: 0.816667
Train 44, loss: 0.923444, train acc: 0.806250, train avg acc: 0.808384
Test 44, loss: 0.929184, test acc: 0.800000, test avg acc: 0.786111
Train 45, loss: 0.973358, train acc: 0.806250, train avg acc: 0.808978
Test 45, loss: 0.918003, test acc: 0.850000, test avg acc: 0.836111
Train 46, loss: 0.952209, train acc: 0.787500, train avg acc: 0.791006
Test 46, loss: 0.924752, test acc: 0.875000, test avg acc: 0.869444
Train 47, loss: 0.956589, train acc: 0.818750, train avg acc: 0.820274
Test 47, loss: 0.934381, test acc: 0.850000, test avg acc: 0.847222
Train 48, loss: 0.953113, train acc: 0.800000, train avg acc: 0.802431
Test 48, loss: 0.923267, test acc: 0.800000, test avg acc: 0.783333
Train 49, loss: 0.951071, train acc: 0.825000, train avg acc: 0.828049
Test 49, loss: 0.915964, test acc: 0.800000, test avg acc: 0.788889
Train 50, loss: 0.950673, train acc: 0.825000, train avg acc: 0.826829
Test 50, loss: 0.929637, test acc: 0.775000, test avg acc: 0.766667
Train 51, loss: 0.934132, train acc: 0.818750, train avg acc: 0.821037
Test 51, loss: 0.917698, test acc: 0.825000, test avg acc: 0.813889
Train 52, loss: 0.943547, train acc: 0.837500, train avg acc: 0.839931
Test 52, loss: 0.917704, test acc: 0.825000, test avg acc: 0.813889
Train 53, loss: 0.959804, train acc: 0.787500, train avg acc: 0.790236
Test 53, loss: 0.929786, test acc: 0.800000, test avg acc: 0.791667
Train 54, loss: 0.955525, train acc: 0.806250, train avg acc: 0.809451
Test 54, loss: 0.913795, test acc: 0.825000, test avg acc: 0.811111
Train 55, loss: 0.948590, train acc: 0.787500, train avg acc: 0.791159
Test 55, loss: 0.930622, test acc: 0.775000, test avg acc: 0.766667
Train 56, loss: 0.963845, train acc: 0.781250, train avg acc: 0.782774
Test 56, loss: 0.915606, test acc: 0.800000, test avg acc: 0.788889
Train 57, loss: 0.934612, train acc: 0.825000, train avg acc: 0.827287
Test 57, loss: 0.906398, test acc: 0.850000, test avg acc: 0.838889
Train 58, loss: 0.941353, train acc: 0.806250, train avg acc: 0.808841
Test 58, loss: 0.906955, test acc: 0.825000, test avg acc: 0.811111
Train 59, loss: 0.936803, train acc: 0.812500, train avg acc: 0.815541
Test 59, loss: 0.911599, test acc: 0.850000, test avg acc: 0.841667
Train 60, loss: 0.939684, train acc: 0.831250, train avg acc: 0.832470
Test 60, loss: 0.932202, test acc: 0.800000, test avg acc: 0.797222
Train 61, loss: 0.954411, train acc: 0.806250, train avg acc: 0.807774
Test 61, loss: 0.904130, test acc: 0.850000, test avg acc: 0.841667
Train 62, loss: 0.960396, train acc: 0.800000, train avg acc: 0.802889
Test 62, loss: 0.906482, test acc: 0.875000, test avg acc: 0.866667
Train 63, loss: 0.931213, train acc: 0.825000, train avg acc: 0.828201
Test 63, loss: 0.909250, test acc: 0.850000, test avg acc: 0.841667
Train 64, loss: 0.939698, train acc: 0.793750, train avg acc: 0.796494
Test 64, loss: 0.914173, test acc: 0.850000, test avg acc: 0.841667
Train 65, loss: 0.924615, train acc: 0.818750, train avg acc: 0.820579
Test 65, loss: 0.916989, test acc: 0.800000, test avg acc: 0.791667
Train 66, loss: 0.932764, train acc: 0.837500, train avg acc: 0.839177
Test 66, loss: 0.915961, test acc: 0.800000, test avg acc: 0.791667
Train 67, loss: 0.949378, train acc: 0.787500, train avg acc: 0.790396
Test 67, loss: 0.906527, test acc: 0.825000, test avg acc: 0.811111
Train 68, loss: 0.920948, train acc: 0.812500, train avg acc: 0.815244
Test 68, loss: 0.905642, test acc: 0.850000, test avg acc: 0.841667
Train 69, loss: 0.940001, train acc: 0.818750, train avg acc: 0.821494
Test 69, loss: 0.918828, test acc: 0.850000, test avg acc: 0.841667
Train 70, loss: 0.932890, train acc: 0.837500, train avg acc: 0.839321
Test 70, loss: 0.915158, test acc: 0.825000, test avg acc: 0.819444
Train 71, loss: 0.931320, train acc: 0.793750, train avg acc: 0.796037
Test 71, loss: 0.920029, test acc: 0.875000, test avg acc: 0.866667
Train 72, loss: 0.953045, train acc: 0.825000, train avg acc: 0.827134
Test 72, loss: 0.923352, test acc: 0.800000, test avg acc: 0.788889
Train 73, loss: 0.944275, train acc: 0.806250, train avg acc: 0.808841
Test 73, loss: 0.916777, test acc: 0.875000, test avg acc: 0.866667
Train 74, loss: 0.941736, train acc: 0.831250, train avg acc: 0.833537
Test 74, loss: 0.917571, test acc: 0.825000, test avg acc: 0.813889
Train 75, loss: 0.929184, train acc: 0.825000, train avg acc: 0.828049
Test 75, loss: 0.915094, test acc: 0.800000, test avg acc: 0.788889
Train 76, loss: 0.921960, train acc: 0.825000, train avg acc: 0.826829
Test 76, loss: 0.914158, test acc: 0.800000, test avg acc: 0.788889
Train 77, loss: 0.921382, train acc: 0.843750, train avg acc: 0.845579
Test 77, loss: 0.912699, test acc: 0.825000, test avg acc: 0.816667
Train 78, loss: 0.936187, train acc: 0.806250, train avg acc: 0.808529
Test 78, loss: 0.913936, test acc: 0.800000, test avg acc: 0.788889
Train 79, loss: 0.914277, train acc: 0.800000, train avg acc: 0.802591
Test 79, loss: 0.914196, test acc: 0.850000, test avg acc: 0.841667
Train 80, loss: 0.918072, train acc: 0.800000, train avg acc: 0.802591
Test 80, loss: 0.913779, test acc: 0.825000, test avg acc: 0.816667
Train 81, loss: 0.917727, train acc: 0.825000, train avg acc: 0.826829
Test 81, loss: 0.906460, test acc: 0.850000, test avg acc: 0.841667
Train 82, loss: 0.932732, train acc: 0.818750, train avg acc: 0.820724
Test 82, loss: 0.924373, test acc: 0.825000, test avg acc: 0.816667
Train 83, loss: 0.918586, train acc: 0.825000, train avg acc: 0.827439
Test 83, loss: 0.920901, test acc: 0.825000, test avg acc: 0.816667
Train 84, loss: 0.932428, train acc: 0.831250, train avg acc: 0.833232
Test 84, loss: 0.910977, test acc: 0.850000, test avg acc: 0.841667
Train 85, loss: 0.922260, train acc: 0.812500, train avg acc: 0.815244
Test 85, loss: 0.904667, test acc: 0.850000, test avg acc: 0.841667
Train 86, loss: 0.943920, train acc: 0.793750, train avg acc: 0.796341
Test 86, loss: 0.912384, test acc: 0.875000, test avg acc: 0.869444
Train 87, loss: 0.911766, train acc: 0.831250, train avg acc: 0.832317
Test 87, loss: 0.921622, test acc: 0.875000, test avg acc: 0.872222
Train 88, loss: 0.933218, train acc: 0.775000, train avg acc: 0.777591
Test 88, loss: 0.903477, test acc: 0.850000, test avg acc: 0.841667
Train 89, loss: 0.907421, train acc: 0.843750, train avg acc: 0.846037
Test 89, loss: 0.905028, test acc: 0.850000, test avg acc: 0.841667
Train 90, loss: 0.921092, train acc: 0.825000, train avg acc: 0.827134
Test 90, loss: 0.911587, test acc: 0.850000, test avg acc: 0.844444
Train 91, loss: 0.928813, train acc: 0.850000, train avg acc: 0.851524
Test 91, loss: 0.901248, test acc: 0.850000, test avg acc: 0.838889
Train 92, loss: 0.925340, train acc: 0.837500, train avg acc: 0.839634
Test 92, loss: 0.898200, test acc: 0.900000, test avg acc: 0.891667
Train 93, loss: 0.911032, train acc: 0.862500, train avg acc: 0.864329
Test 93, loss: 0.905595, test acc: 0.875000, test avg acc: 0.866667
Train 94, loss: 0.937888, train acc: 0.837500, train avg acc: 0.839329
Test 94, loss: 0.911362, test acc: 0.875000, test avg acc: 0.866667
Train 95, loss: 0.919840, train acc: 0.775000, train avg acc: 0.778201
Test 95, loss: 0.896182, test acc: 0.875000, test avg acc: 0.863889
Train 96, loss: 0.936317, train acc: 0.825000, train avg acc: 0.827287
Test 96, loss: 0.897264, test acc: 0.900000, test avg acc: 0.894444
