K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.912105, test acc: 0.775000, test avg acc: 0.755556
Train 44, loss: 0.958446, train acc: 0.786667, train avg acc: 0.793243
Test 44, loss: 0.925470, test acc: 0.850000, test avg acc: 0.841667
Train 45, loss: 0.955885, train acc: 0.786667, train avg acc: 0.795366
Test 45, loss: 0.934959, test acc: 0.750000, test avg acc: 0.744444
Train 46, loss: 0.992054, train acc: 0.793333, train avg acc: 0.801279
Test 46, loss: 0.922027, test acc: 0.825000, test avg acc: 0.813889
Train 47, loss: 0.938051, train acc: 0.820000, train avg acc: 0.817914
Test 47, loss: 0.926198, test acc: 0.800000, test avg acc: 0.791667
Train 48, loss: 0.958529, train acc: 0.800000, train avg acc: 0.808553
Test 48, loss: 0.934850, test acc: 0.825000, test avg acc: 0.822222
Train 49, loss: 0.940127, train acc: 0.806667, train avg acc: 0.807255
Test 49, loss: 0.918793, test acc: 0.800000, test avg acc: 0.788889
Train 50, loss: 0.965389, train acc: 0.820000, train avg acc: 0.822818
Test 50, loss: 0.916159, test acc: 0.800000, test avg acc: 0.780556
Train 51, loss: 0.952799, train acc: 0.780000, train avg acc: 0.789002
Test 51, loss: 0.917076, test acc: 0.775000, test avg acc: 0.758333
Train 52, loss: 0.921475, train acc: 0.853333, train avg acc: 0.848724
Test 52, loss: 0.931836, test acc: 0.800000, test avg acc: 0.797222
Train 53, loss: 0.933891, train acc: 0.833333, train avg acc: 0.840403
Test 53, loss: 0.916569, test acc: 0.800000, test avg acc: 0.783333
Train 54, loss: 0.955941, train acc: 0.793333, train avg acc: 0.792032
Test 54, loss: 0.927880, test acc: 0.775000, test avg acc: 0.763889
Train 55, loss: 0.982982, train acc: 0.760000, train avg acc: 0.767202
Test 55, loss: 0.922146, test acc: 0.825000, test avg acc: 0.813889
Train 56, loss: 0.964067, train acc: 0.820000, train avg acc: 0.822818
Test 56, loss: 0.918194, test acc: 0.750000, test avg acc: 0.733333
Train 57, loss: 0.934517, train acc: 0.853333, train avg acc: 0.851351
Test 57, loss: 0.921364, test acc: 0.775000, test avg acc: 0.763889
Train 58, loss: 0.957765, train acc: 0.806667, train avg acc: 0.815789
Test 58, loss: 0.913729, test acc: 0.825000, test avg acc: 0.808333
Train 59, loss: 0.963828, train acc: 0.760000, train avg acc: 0.764558
Test 59, loss: 0.926410, test acc: 0.850000, test avg acc: 0.844444
Train 60, loss: 0.953464, train acc: 0.806667, train avg acc: 0.814437
Test 60, loss: 0.919644, test acc: 0.800000, test avg acc: 0.783333
Train 61, loss: 0.918362, train acc: 0.826667, train avg acc: 0.825747
Test 61, loss: 0.913369, test acc: 0.825000, test avg acc: 0.811111
Train 62, loss: 0.955078, train acc: 0.800000, train avg acc: 0.802276
Test 62, loss: 0.918953, test acc: 0.900000, test avg acc: 0.894444
Train 63, loss: 0.944619, train acc: 0.780000, train avg acc: 0.782918
Test 63, loss: 0.920989, test acc: 0.850000, test avg acc: 0.844444
Train 64, loss: 0.968635, train acc: 0.793333, train avg acc: 0.799973
Test 64, loss: 0.916551, test acc: 0.825000, test avg acc: 0.811111
Train 65, loss: 0.931599, train acc: 0.806667, train avg acc: 0.807519
Test 65, loss: 0.918088, test acc: 0.825000, test avg acc: 0.813889
Train 66, loss: 0.954723, train acc: 0.786667, train avg acc: 0.787134
Test 66, loss: 0.923627, test acc: 0.850000, test avg acc: 0.847222
Train 67, loss: 0.952858, train acc: 0.786667, train avg acc: 0.786807
Test 67, loss: 0.917339, test acc: 0.850000, test avg acc: 0.841667
Train 68, loss: 0.952016, train acc: 0.786667, train avg acc: 0.792763
Test 68, loss: 0.921386, test acc: 0.800000, test avg acc: 0.780556
Train 69, loss: 0.917487, train acc: 0.820000, train avg acc: 0.817893
Test 69, loss: 0.939797, test acc: 0.825000, test avg acc: 0.819444
Train 70, loss: 0.933276, train acc: 0.820000, train avg acc: 0.817914
Test 70, loss: 0.932054, test acc: 0.825000, test avg acc: 0.816667
Train 71, loss: 0.911121, train acc: 0.833333, train avg acc: 0.835398
Test 71, loss: 0.926763, test acc: 0.800000, test avg acc: 0.783333
Train 72, loss: 0.973382, train acc: 0.820000, train avg acc: 0.816436
Test 72, loss: 0.923260, test acc: 0.800000, test avg acc: 0.783333
Train 73, loss: 0.921575, train acc: 0.820000, train avg acc: 0.819613
Test 73, loss: 0.924905, test acc: 0.850000, test avg acc: 0.847222
Train 74, loss: 0.964967, train acc: 0.766667, train avg acc: 0.769737
Test 74, loss: 0.943145, test acc: 0.800000, test avg acc: 0.797222
Train 75, loss: 0.927438, train acc: 0.826667, train avg acc: 0.823704
