K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet
Test 43, loss: 1.321234, test acc: 0.325000, test avg acc: 0.319192
Train 44, loss: 1.375870, train acc: 0.280000, train avg acc: 0.279714
Test 44, loss: 1.320932, test acc: 0.475000, test avg acc: 0.463636
Train 45, loss: 1.374889, train acc: 0.273333, train avg acc: 0.266262
Test 45, loss: 1.309711, test acc: 0.500000, test avg acc: 0.488636
Train 46, loss: 1.337775, train acc: 0.366667, train avg acc: 0.376229
Test 46, loss: 1.316158, test acc: 0.375000, test avg acc: 0.372727
Train 47, loss: 1.347042, train acc: 0.340000, train avg acc: 0.342836
Test 47, loss: 1.327332, test acc: 0.300000, test avg acc: 0.295455
Train 48, loss: 1.357379, train acc: 0.333333, train avg acc: 0.329690
Test 48, loss: 1.328018, test acc: 0.350000, test avg acc: 0.347727
Train 49, loss: 1.382744, train acc: 0.313333, train avg acc: 0.313638
Test 49, loss: 1.317082, test acc: 0.350000, test avg acc: 0.338636
Train 50, loss: 1.369516, train acc: 0.306667, train avg acc: 0.305612
Test 50, loss: 1.321079, test acc: 0.350000, test avg acc: 0.327273
Train 51, loss: 1.357349, train acc: 0.340000, train avg acc: 0.342639
Test 51, loss: 1.322059, test acc: 0.375000, test avg acc: 0.361364
Train 52, loss: 1.362165, train acc: 0.353333, train avg acc: 0.358613
Test 52, loss: 1.324798, test acc: 0.400000, test avg acc: 0.412121
Train 53, loss: 1.359889, train acc: 0.306667, train avg acc: 0.306899
Test 53, loss: 1.311367, test acc: 0.350000, test avg acc: 0.361616
Train 54, loss: 1.360864, train acc: 0.320000, train avg acc: 0.316968
Test 54, loss: 1.307349, test acc: 0.425000, test avg acc: 0.427020
Train 55, loss: 1.355263, train acc: 0.326667, train avg acc: 0.326251
Test 55, loss: 1.318116, test acc: 0.475000, test avg acc: 0.488131
Train 56, loss: 1.367904, train acc: 0.326667, train avg acc: 0.322199
Test 56, loss: 1.308916, test acc: 0.475000, test avg acc: 0.471970
Train 57, loss: 1.333041, train acc: 0.373333, train avg acc: 0.370414
Test 57, loss: 1.312428, test acc: 0.450000, test avg acc: 0.451515
Train 58, loss: 1.355236, train acc: 0.300000, train avg acc: 0.297185
Test 58, loss: 1.320388, test acc: 0.375000, test avg acc: 0.373232
Train 59, loss: 1.353056, train acc: 0.340000, train avg acc: 0.342182
Test 59, loss: 1.322563, test acc: 0.375000, test avg acc: 0.368182
Train 60, loss: 1.340141, train acc: 0.353333, train avg acc: 0.355548
Test 60, loss: 1.327183, test acc: 0.375000, test avg acc: 0.366414
Train 61, loss: 1.340621, train acc: 0.293333, train avg acc: 0.293741
Test 61, loss: 1.325933, test acc: 0.450000, test avg acc: 0.455303
Train 62, loss: 1.331886, train acc: 0.326667, train avg acc: 0.327851
Test 62, loss: 1.318205, test acc: 0.450000, test avg acc: 0.450253
Train 63, loss: 1.344994, train acc: 0.366667, train avg acc: 0.366190
Test 63, loss: 1.330662, test acc: 0.300000, test avg acc: 0.294697
Train 64, loss: 1.347137, train acc: 0.353333, train avg acc: 0.349316
Test 64, loss: 1.312430, test acc: 0.450000, test avg acc: 0.463131
Train 65, loss: 1.343583, train acc: 0.373333, train avg acc: 0.366033
Test 65, loss: 1.309376, test acc: 0.425000, test avg acc: 0.443182
Train 66, loss: 1.333121, train acc: 0.373333, train avg acc: 0.364283
Test 66, loss: 1.315812, test acc: 0.350000, test avg acc: 0.375000
Train 67, loss: 1.356582, train acc: 0.400000, train avg acc: 0.405336
Test 67, loss: 1.308134, test acc: 0.325000, test avg acc: 0.338889
Train 68, loss: 1.335699, train acc: 0.406667, train avg acc: 0.403093
Test 68, loss: 1.306820, test acc: 0.375000, test avg acc: 0.363636
Train 69, loss: 1.348541, train acc: 0.326667, train avg acc: 0.321313
Test 69, loss: 1.324160, test acc: 0.275000, test avg acc: 0.263636
Train 70, loss: 1.345460, train acc: 0.326667, train avg acc: 0.335150
Test 70, loss: 1.298343, test acc: 0.450000, test avg acc: 0.438636
Train 71, loss: 1.332250, train acc: 0.393333, train avg acc: 0.394491
Test 71, loss: 1.297792, test acc: 0.450000, test avg acc: 0.439646
Train 72, loss: 1.337864, train acc: 0.373333, train avg acc: 0.371750
Test 72, loss: 1.289839, test acc: 0.525000, test avg acc: 0.530808
Train 73, loss: 1.339160, train acc: 0.360000, train avg acc: 0.361705
Test 73, loss: 1.291210, test acc: 0.500000, test avg acc: 0.505808
Train 74, loss: 1.328495, train acc: 0.346667, train avg acc: 0.345128
Test 74, loss: 1.294928, test acc: 0.450000, test avg acc: 0.458586
Train 75, loss: 1.351428, train acc: 0.360000, train avg acc: 0.355899
Test 75, loss: 1.303738, test acc: 0.450000, test avg acc: 0.465909
Train 76, loss: 1.319361, train acc: 0.406667, train avg acc: 0.404971
Test 76, loss: 1.332241, test acc: 0.350000, test avg acc: 0.331818
Train 77, loss: 1.330980, train acc: 0.386667, train avg acc: 0.378658
Test 77, loss: 1.349852, test acc: 0.375000, test avg acc: 0.354545
Train 78, loss: 1.386466, train acc: 0.240000, train avg acc: 0.239711
Test 78, loss: 1.314860, test acc: 0.400000, test avg acc: 0.402020
Train 79, loss: 1.332636, train acc: 0.340000, train avg acc: 0.339083
Test 79, loss: 1.325917, test acc: 0.300000, test avg acc: 0.313889
Train 80, loss: 1.333188, train acc: 0.420000, train avg acc: 0.426436
Test 80, loss: 1.316010, test acc: 0.425000, test avg acc: 0.440404
Train 81, loss: 1.342017, train acc: 0.366667, train avg acc: 0.373593
Test 81, loss: 1.306417, test acc: 0.425000, test avg acc: 0.438131
Train 82, loss: 1.346484, train acc: 0.320000, train avg acc: 0.316979
Test 82, loss: 1.301388, test acc: 0.350000, test avg acc: 0.347475
Train 83, loss: 1.316697, train acc: 0.366667, train avg acc: 0.366046
Test 83, loss: 1.296320, test acc: 0.425000, test avg acc: 0.420202
Train 84, loss: 1.331911, train acc: 0.320000, train avg acc: 0.321160
Test 84, loss: 1.298825, test acc: 0.325000, test avg acc: 0.316919
Train 85, loss: 1.318735, train acc: 0.393333, train avg acc: 0.395184
Test 85, loss: 1.308381, test acc: 0.350000, test avg acc: 0.354293
Train 86, loss: 1.332569, train acc: 0.393333, train avg acc: 0.394231
Test 86, loss: 1.320279, test acc: 0.400000, test avg acc: 0.409848
Train 87, loss: 1.326267, train acc: 0.433333, train avg acc: 0.431217
Test 87, loss: 1.336740, test acc: 0.350000, test avg acc: 0.353283
Train 88, loss: 1.346373, train acc: 0.346667, train avg acc: 0.351426
Test 88, loss: 1.308035, test acc: 0.350000, test avg acc: 0.353283
Train 89, loss: 1.337452, train acc: 0.340000, train avg acc: 0.342108
Test 89, loss: 1.296793, test acc: 0.500000, test avg acc: 0.499747
Train 90, loss: 1.318756, train acc: 0.393333, train avg acc: 0.392437
Test 90, loss: 1.293057, test acc: 0.475000, test avg acc: 0.477020
Train 91, loss: 1.306710, train acc: 0.433333, train avg acc: 0.430328
Test 91, loss: 1.282746, test acc: 0.500000, test avg acc: 0.503030
Train 92, loss: 1.334698, train acc: 0.433333, train avg acc: 0.428480
Test 92, loss: 1.295836, test acc: 0.425000, test avg acc: 0.410101
Train 93, loss: 1.357402, train acc: 0.326667, train avg acc: 0.328236
Test 93, loss: 1.291750, test acc: 0.400000, test avg acc: 0.403788
Train 94, loss: 1.314606, train acc: 0.373333, train avg acc: 0.378911
Test 94, loss: 1.299525, test acc: 0.400000, test avg acc: 0.408333
Train 95, loss: 1.324195, train acc: 0.380000, train avg acc: 0.381545
Test 95, loss: 1.292301, test acc: 0.450000, test avg acc: 0.461616
Train 96, loss: 1.318694, train acc: 0.406667, train avg acc: 0.403808
Test 96, loss: 1.289683, test acc: 0.425000, test avg acc: 0.422980
Train 97, loss: 1.329256, train acc: 0.380000, train avg acc: 0.384406
Test 97, loss: 1.374392, test acc: 0.375000, test avg acc: 0.360101
Train 98, loss: 1.320180, train acc: 0.406667, train avg acc: 0.408882
Test 98, loss: 1.318959, test acc: 0.350000, test avg acc: 0.340152
Train 99, loss: 1.338895, train acc: 0.293333, train avg acc: 0.292258
Test 99, loss: 1.291084, test acc: 0.400000, test avg acc: 0.400253
Train 100, loss: 1.340084, train acc: 0.386667, train avg acc: 0.388773
Test 100, loss: 1.285120, test acc: 0.475000, test avg acc: 0.487121
Train 101, loss: 1.346040, train acc: 0.360000, train avg acc: 0.361133
