K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 43, loss: 0.920215, test acc: 0.825000, test avg acc: 0.811111
Train 44, loss: 0.972987, train acc: 0.806667, train avg acc: 0.811299
Test 44, loss: 0.911474, test acc: 0.825000, test avg acc: 0.811111
Train 45, loss: 0.946559, train acc: 0.773333, train avg acc: 0.785944
Test 45, loss: 0.920658, test acc: 0.775000, test avg acc: 0.766667
Train 46, loss: 0.951300, train acc: 0.813333, train avg acc: 0.820029
Test 46, loss: 0.927165, test acc: 0.800000, test avg acc: 0.788889
Train 47, loss: 0.931092, train acc: 0.860000, train avg acc: 0.858108
Test 47, loss: 0.918940, test acc: 0.800000, test avg acc: 0.788889
Train 48, loss: 0.965161, train acc: 0.813333, train avg acc: 0.820724
Test 48, loss: 0.918162, test acc: 0.800000, test avg acc: 0.788889
Train 49, loss: 0.950229, train acc: 0.820000, train avg acc: 0.819879
Test 49, loss: 0.922665, test acc: 0.800000, test avg acc: 0.791667
Train 50, loss: 0.946412, train acc: 0.806667, train avg acc: 0.811572
Test 50, loss: 0.919383, test acc: 0.850000, test avg acc: 0.841667
Train 51, loss: 0.984628, train acc: 0.786667, train avg acc: 0.794745
Test 51, loss: 0.914391, test acc: 0.875000, test avg acc: 0.866667
Train 52, loss: 0.958752, train acc: 0.766667, train avg acc: 0.762093
Test 52, loss: 0.932289, test acc: 0.775000, test avg acc: 0.772222
Train 53, loss: 0.952550, train acc: 0.773333, train avg acc: 0.785577
Test 53, loss: 0.920122, test acc: 0.875000, test avg acc: 0.869444
Train 54, loss: 0.943216, train acc: 0.786667, train avg acc: 0.785453
Test 54, loss: 0.918304, test acc: 0.800000, test avg acc: 0.786111
Train 55, loss: 0.955072, train acc: 0.826667, train avg acc: 0.834094
Test 55, loss: 0.917028, test acc: 0.825000, test avg acc: 0.813889
Train 56, loss: 0.950275, train acc: 0.806667, train avg acc: 0.810869
Test 56, loss: 0.918922, test acc: 0.850000, test avg acc: 0.838889
Train 57, loss: 0.927912, train acc: 0.833333, train avg acc: 0.831081
Test 57, loss: 0.924478, test acc: 0.825000, test avg acc: 0.811111
Train 58, loss: 0.969145, train acc: 0.786667, train avg acc: 0.796355
Test 58, loss: 0.925897, test acc: 0.850000, test avg acc: 0.836111
Train 59, loss: 0.945001, train acc: 0.806667, train avg acc: 0.810122
Test 59, loss: 0.925596, test acc: 0.825000, test avg acc: 0.822222
Train 60, loss: 0.945727, train acc: 0.800000, train avg acc: 0.808187
Test 60, loss: 0.914950, test acc: 0.875000, test avg acc: 0.869444
Train 61, loss: 0.929962, train acc: 0.820000, train avg acc: 0.820057
Test 61, loss: 0.911524, test acc: 0.850000, test avg acc: 0.838889
Train 62, loss: 0.954593, train acc: 0.826667, train avg acc: 0.828592
Test 62, loss: 0.918373, test acc: 0.875000, test avg acc: 0.866667
Train 63, loss: 0.950801, train acc: 0.806667, train avg acc: 0.808212
Test 63, loss: 0.924167, test acc: 0.850000, test avg acc: 0.844444
Train 64, loss: 0.968632, train acc: 0.766667, train avg acc: 0.773903
Test 64, loss: 0.911763, test acc: 0.850000, test avg acc: 0.838889
Train 65, loss: 0.956273, train acc: 0.826667, train avg acc: 0.827096
Test 65, loss: 0.908684, test acc: 0.875000, test avg acc: 0.866667
Train 66, loss: 0.962361, train acc: 0.740000, train avg acc: 0.739827
Test 66, loss: 0.927599, test acc: 0.850000, test avg acc: 0.844444
Train 67, loss: 0.930811, train acc: 0.833333, train avg acc: 0.833570
Test 67, loss: 0.934751, test acc: 0.825000, test avg acc: 0.816667
Train 68, loss: 0.952360, train acc: 0.780000, train avg acc: 0.787171
Test 68, loss: 0.925241, test acc: 0.775000, test avg acc: 0.755556
Train 69, loss: 0.933429, train acc: 0.820000, train avg acc: 0.817119
Test 69, loss: 0.940220, test acc: 0.825000, test avg acc: 0.816667
Train 70, loss: 0.940949, train acc: 0.853333, train avg acc: 0.851351
Test 70, loss: 0.931785, test acc: 0.800000, test avg acc: 0.788889
Train 71, loss: 0.928976, train acc: 0.840000, train avg acc: 0.842689
Test 71, loss: 0.930466, test acc: 0.825000, test avg acc: 0.813889
Train 72, loss: 0.960912, train acc: 0.833333, train avg acc: 0.830850
Test 72, loss: 0.927221, test acc: 0.825000, test avg acc: 0.813889
Train 73, loss: 0.960268, train acc: 0.800000, train avg acc: 0.800045
Test 73, loss: 0.932641, test acc: 0.825000, test avg acc: 0.822222
Train 74, loss: 0.957269, train acc: 0.746667, train avg acc: 0.750000
Test 74, loss: 0.949644, test acc: 0.775000, test avg acc: 0.772222
Train 75, loss: 0.931262, train acc: 0.853333, train avg acc: 0.851135
Test 75, loss: 0.915158, test acc: 0.825000, test avg acc: 0.819444
Train 76, loss: 0.949925, train acc: 0.826667, train avg acc: 0.827525
Test 76, loss: 0.906139, test acc: 0.850000, test avg acc: 0.838889
Train 77, loss: 0.927814, train acc: 0.833333, train avg acc: 0.837377
Test 77, loss: 0.917364, test acc: 0.825000, test avg acc: 0.819444
Train 78, loss: 0.921747, train acc: 0.826667, train avg acc: 0.828482
Test 78, loss: 0.935882, test acc: 0.800000, test avg acc: 0.797222
Train 79, loss: 0.936435, train acc: 0.833333, train avg acc: 0.836876
Test 79, loss: 0.920823, test acc: 0.850000, test avg acc: 0.847222
Train 80, loss: 0.933626, train acc: 0.820000, train avg acc: 0.823413
Test 80, loss: 0.909272, test acc: 0.825000, test avg acc: 0.811111
Train 81, loss: 0.926163, train acc: 0.826667, train avg acc: 0.827159
Test 81, loss: 0.910393, test acc: 0.875000, test avg acc: 0.866667
Train 82, loss: 0.920201, train acc: 0.833333, train avg acc: 0.835349
Test 82, loss: 0.914004, test acc: 0.875000, test avg acc: 0.866667
Train 83, loss: 0.922459, train acc: 0.820000, train avg acc: 0.824224
Test 83, loss: 0.914771, test acc: 0.850000, test avg acc: 0.844444
Train 84, loss: 0.930503, train acc: 0.793333, train avg acc: 0.793030
Test 84, loss: 0.908508, test acc: 0.875000, test avg acc: 0.869444
Train 85, loss: 0.938782, train acc: 0.773333, train avg acc: 0.780586
Test 85, loss: 0.907143, test acc: 0.875000, test avg acc: 0.866667
Train 86, loss: 0.924228, train acc: 0.846667, train avg acc: 0.845484
Test 86, loss: 0.906510, test acc: 0.800000, test avg acc: 0.783333
Train 87, loss: 0.949284, train acc: 0.800000, train avg acc: 0.799787
Test 87, loss: 0.909941, test acc: 0.875000, test avg acc: 0.869444
Train 88, loss: 0.922104, train acc: 0.833333, train avg acc: 0.833036
Test 88, loss: 0.921783, test acc: 0.850000, test avg acc: 0.847222
Train 89, loss: 0.937484, train acc: 0.773333, train avg acc: 0.785197
Test 89, loss: 0.930388, test acc: 0.850000, test avg acc: 0.847222
Train 90, loss: 0.944523, train acc: 0.806667, train avg acc: 0.809033
Test 90, loss: 0.911734, test acc: 0.850000, test avg acc: 0.838889
Train 91, loss: 0.923125, train acc: 0.833333, train avg acc: 0.828947
Test 91, loss: 0.910209, test acc: 0.800000, test avg acc: 0.783333
Train 92, loss: 0.957939, train acc: 0.780000, train avg acc: 0.784481
Test 92, loss: 0.915308, test acc: 0.825000, test avg acc: 0.816667
Train 93, loss: 0.912109, train acc: 0.853333, train avg acc: 0.857119
Test 93, loss: 0.909116, test acc: 0.850000, test avg acc: 0.844444
Train 94, loss: 0.941164, train acc: 0.813333, train avg acc: 0.811038
Test 94, loss: 0.911519, test acc: 0.875000, test avg acc: 0.869444
Train 95, loss: 0.920632, train acc: 0.826667, train avg acc: 0.824502
Test 95, loss: 0.910107, test acc: 0.825000, test avg acc: 0.811111
Train 96, loss: 0.947541, train acc: 0.793333, train avg acc: 0.795697
Test 96, loss: 0.912774, test acc: 0.800000, test avg acc: 0.783333
Train 97, loss: 0.938976, train acc: 0.793333, train avg acc: 0.796053
Test 97, loss: 0.918227, test acc: 0.875000, test avg acc: 0.869444
Train 98, loss: 0.923663, train acc: 0.840000, train avg acc: 0.847917
Test 98, loss: 0.923820, test acc: 0.825000, test avg acc: 0.822222
Train 99, loss: 0.933480, train acc: 0.813333, train avg acc: 0.807500
Test 99, loss: 0.924695, test acc: 0.825000, test avg acc: 0.822222
Train 100, loss: 0.914384, train acc: 0.846667, train avg acc: 0.846154
Test 100, loss: 0.908969, test acc: 0.825000, test avg acc: 0.819444
Train 101, loss: 0.915041, train acc: 0.786667, train avg acc: 0.798139
Test 101, loss: 0.903902, test acc: 0.900000, test avg acc: 0.894444
Train 102, loss: 0.944649, train acc: 0.820000, train avg acc: 0.816689
Test 102, loss: 0.905124, test acc: 0.875000, test avg acc: 0.866667
Train 103, loss: 0.941573, train acc: 0.786667, train avg acc: 0.795462
Test 103, loss: 0.910840, test acc: 0.875000, test avg acc: 0.869444
Train 104, loss: 0.925160, train acc: 0.813333, train avg acc: 0.819979
Test 104, loss: 0.916637, test acc: 0.850000, test avg acc: 0.847222
Train 105, loss: 0.923320, train acc: 0.820000, train avg acc: 0.817842
Test 105, loss: 0.915319, test acc: 0.850000, test avg acc: 0.844444
Train 106, loss: 0.914319, train acc: 0.826667, train avg acc: 0.823634
Test 106, loss: 0.915874, test acc: 0.850000, test avg acc: 0.844444
Train 107, loss: 0.921912, train acc: 0.826667, train avg acc: 0.828947
Test 107, loss: 0.915245, test acc: 0.825000, test avg acc: 0.816667
Train 108, loss: 0.933432, train acc: 0.826667, train avg acc: 0.828357
